gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABL1,,,no,ENSG00000097007,Tyrosine-protein kinase ABL1,Cytoplasm,brown preadipocyte,,8.123,7.796,8.123,93037,91090,-0.059,curated,chromatin_transcription,True
ACAT1,,,no,ENSG00000075239,"Acetyl-CoA acetyltransferase, mitochondrial",Mitochondrion,kidney collecting duct intercalated cell;renal intercalated cell,,7.2,7.078,7.2,82463,82705,-0.025,curated,chromatin_transcription,True
ACTL6A,,,no,ENSG00000136518,Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K),Nucleus,,,5.843,5.495,5.843,66919,64210,-0.089,curated,chromatin_transcription,True
AGO1,,,no,ENSG00000092847,Protein argonaute-1 (Argonaute1) (hAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Putative RNA-binding protein Q99),Cytoplasm,,,4.66,4.546,4.66,53366,53121,-0.036,curated,chromatin_transcription,True
AGRP,,,no,ENSG00000159723,Agouti-related protein,Secreted,,,0.066,0.045,0.066,752,531,-0.531,curated,chromatin_transcription,True
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,21.471,16.765,21.471,245908,195890,-0.357,curated,chromatin_transcription,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,14.34,16.101,16.101,164236,188133,0.167,curated,chromatin_transcription,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,6.099,7.575,7.575,69847,88506,0.313,curated,chromatin_transcription,True
ALDH1B1,,,no,ENSG00000137124,"Aldehyde dehydrogenase X, mitochondrial",Mitochondrion matrix,intestinal crypt stem cell;intestinal crypt stem cell of colon,,5.797,5.269,5.797,66398,61569,-0.138,curated,chromatin_transcription,True
ALDH2,,,no,ENSG00000111275,"Aldehyde dehydrogenase, mitochondrial",Mitochondrion matrix,"microfold cell of epithelium of small intestine;alveolar macrophage;lung macrophage;myeloid dendritic cell, human",,14.451,12.373,14.451,165503,144576,-0.224,curated,chromatin_transcription,False
