gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio,HALLMARK,REACTOME,KEGG,n_pathways
AAR2,,,no,True,ENSG00000131043,Protein AAR2 homolog (AAR2 splicing factor homolog),,,,3.037,2.659,34781,31072,-0.192,,,,0
AARSD1,,,no,True,ENSG00000266967,Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1),Cytoplasm,,,3.496,4.187,40035,48920,0.26,,,,0
ABAT,,,no,True,ENSG00000183044,"4-aminobutyrate aminotransferase, mitochondrial",Mitochondrion matrix,,,11.983,12.785,137237,149384,0.093,Estrogen Response Early;p53 Pathway,"GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590;Neuronal System R-HSA-112316;Neurotransmitter Release Cycle R-HSA-112310;Transmission Across Chemical Synapses R-HSA-112315","Alanine, aspartate and glutamate metabolism;Butanoate metabolism;GABAergic synapse;Propanoate metabolism;Valine, leucine and isoleucine degradation;beta-Alanine metabolism",12
ABCA7,,,no,True,ENSG00000064687,Phospholipid-transporting ATPase ABCA7,Cell membrane,extravillous trophoblast,,4.959,3.792,56795,44304,-0.387,,ABC Transporters In Lipid Homeostasis R-HSA-1369062;ABC-family Proteins Mediated Transport R-HSA-382556;Transport Of Small Molecules R-HSA-382551,ABC transporters,4
ABCB4,,,no,True,ENSG00000005471,Phosphatidylcholine translocator ABCB4,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell,,0.121,0.148,1386,1724,0.286,Pperoxisome,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;PPARA Activates Gene Expression R-HSA-1989781;Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206;Transport Of Small Molecules R-HSA-382551,ABC transporters;Bile secretion,12
ABCB6,,,no,True,ENSG00000115657,ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6),Cell membrane,,,1.743,1.89,19967,22079,0.116,Glycolysis;heme Metabolism,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Transport Of Small Molecules R-HSA-382551,ABC transporters,8
ABCC1,,,no,True,ENSG00000103222,Multidrug resistance-associated protein 1,Cell membrane,,,6.524,7.135,74719,83365,0.129,Reactive Oxygen Species Pathway;UV Response Dn,"ABC-family Proteins Mediated Transport R-HSA-382556;Arachidonic Acid Metabolism R-HSA-2142753;Cellular Response To Chemical Stress R-HSA-9711123;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741;Cytoprotection By HMOX1 R-HSA-9707564;Drug ADME R-HSA-9748784;Fatty Acid Metabolism R-HSA-8978868;Heme Degradation R-HSA-189483;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Metabolism Of Porphyrins R-HSA-189445;Metabolism Of Vitamins And Cofactors R-HSA-196854;Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849;Paracetamol ADME R-HSA-9753281;Synthesis Of Leukotrienes (LT) And Eoxins (EX) R-HSA-2142691;Transport Of RCbl Within Body R-HSA-9758890;Transport Of Small Molecules R-HSA-382551",ABC transporters;MicroRNAs in cancer;Sphingolipid signaling pathway;Vitamin digestion and absorption,25
ABCC12,,,no,True,ENSG00000140798,ATP-binding cassette sub-family C member 12 (Multidrug resistance-associated protein 9),Endoplasmic reticulum membrane,,,0.042,,484,0,,,,ABC transporters,1
ABCC2,,,no,True,ENSG00000023839,ATP-binding cassette sub-family C member 2,Apical cell membrane,hepatocyte;centrilobular region hepatocyte,,0.46,0.506,5271,5912,0.137,Xenobiotic Metabolism,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Aspirin ADME R-HSA-9749641;Atorvastatin ADME R-HSA-9754706;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Drug ADME R-HSA-9748784;Heme Degradation R-HSA-189483;Metabolism R-HSA-1430728;Metabolism Of Porphyrins R-HSA-189445;Paracetamol ADME R-HSA-9753281;Transport Of Small Molecules R-HSA-382551,ABC transporters;Bile secretion,15
ABCC6,,,no,True,ENSG00000091262,ATP-binding cassette sub-family C member 6,Basal cell membrane,hepatoblast,,3.087,2.943,35358,34389,-0.069,,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Transport Of Small Molecules R-HSA-382551,ABC transporters,6
