gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio,HALLMARK,REACTOME,KEGG,n_pathways
AAR2,,,no,True,ENSG00000131043,Protein AAR2 homolog (AAR2 splicing factor homolog),,,,3.037,2.659,34781,31072,-0.192,,,,0
AARSD1,,,no,True,ENSG00000266967,Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1),Cytoplasm,,,3.496,4.187,40035,48920,0.26,,,,0
ABCF3,,,no,True,ENSG00000161204,ATP-binding cassette sub-family F member 3,,,,4.089,4.747,46827,55472,0.216,,,,0
ACPP,,,no,True,ENSG00000014257,ACPP protein,,,,0.373,0.298,4275,3477,-0.327,,,,0
ACTBL2,,,no,True,ENSG00000169067,Beta-actin-like protein 2 (Kappa-actin),Cytoplasm,,,0.063,0.024,723,275,-1.423,,,,0
ACTL7A,,,no,True,ENSG00000187003,Actin-like protein 7A (Actin-like-7-alpha),Cytoplasm,,,0.018,,210,0,,,,,0
ADGRA1,,,no,True,ENSG00000197177,Adhesion G protein-coupled receptor A1 (G-protein coupled receptor 123),Membrane,,,0.064,0.02,738,233,-1.692,,,,0
ADGRA3,,,no,True,ENSG00000152990,Adhesion G protein-coupled receptor A3 (G-protein coupled receptor 125),Membrane,cholangiocyte;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell,,4.918,4.801,56326,56096,-0.035,,,,0
ADGRB2,,,no,True,ENSG00000121753,Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2),Cell membrane,,ADGRB,0.21,0.141,2404,1647,-0.575,,,,0
ADGRD2,,,no,True,ENSG00000180264,Adhesion G-protein coupled receptor D2 (G-protein coupled receptor 144) (G-protein coupled receptor PGR24),Membrane,ependymal cell,,0.014,,159,0,,,,,0
ADGRG5,,,no,True,ENSG00000159618,Adhesion G-protein coupled receptor G5 (G-protein coupled receptor 114) (G-protein coupled receptor PGR27),Cell membrane,,,0.087,0.101,999,1176,0.206,,,,0
ADGRL1,,,no,True,ENSG00000072071,Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2),Cell membrane,,ADGRL,3.277,2.886,37534,33720,-0.183,,,,0
ADNP,,,no,True,ENSG00000101126,Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein),Nucleus,,,10.511,10.336,120382,120771,-0.024,,,,0
ADTRP,,,no,True,ENSG00000111863,Androgen-dependent TFPI-regulating protein (Fatty acid esters of hydroxy fatty acids hydrolase ADTRP) (FAHFA hydrolase ADTRP),Cell membrane,,,0.108,0.075,1236,878,-0.522,,,,0
AFF2,,,no,True,ENSG00000155966,AF4/FMR2 family member 2 (Protein FMR-2) (FMR2P) (Protein Ox19),Nucleus speckle,,,0.195,0.14,2239,1637,-0.481,,,,0
AFG1L,,,no,True,ENSG00000135537,AFG1-like ATPase (Lactation elevated protein 1),Mitochondrion membrane,,,1.391,1.358,15934,15873,-0.034,,,,0
AFM,,,no,True,ENSG00000079557,Afamin (Alpha-albumin) (Alpha-Alb),Secreted,,,0.221,0.095,2527,1108,-1.218,,,,0
AJAP1,,,no,True,ENSG00000196581,Adherens junction-associated protein 1 (Membrane protein shrew-1),Basolateral cell membrane,,,0.724,0.482,8295,5633,-0.587,,,,0
AKAP11,,,no,True,ENSG00000023516,A-kinase anchor protein 11 (AKAP-11) (A-kinase anchor protein 220 kDa) (AKAP 220) (hAKAP220) (Protein kinase A-anchoring protein 11) (PRKA11),Cytoplasm;Cytoplasm,,,7.687,6.672,88037,77955,-0.204,,,,0
AKAP8,,,no,True,ENSG00000105127,A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95),Nucleus,,,6.527,6.549,74752,76518,0.005,,,,0
AKTIP,,,no,True,ENSG00000166971,AKT-interacting protein (Ft1) (Fused toes protein homolog),Cytoplasm,,,6.324,6.247,72425,72991,-0.018,,,,0
ALPK3,,,no,True,ENSG00000136383,Alpha-protein kinase 3,Nucleus,,,4.835,2.537,55376,29649,-0.93,,,,0
ALX1,,,no,True,ENSG00000180318,ALX homeobox protein 1 (Cartilage homeoprotein 1) (CART-1),Nucleus,mesangial cell,,0.028,,323,0,,,,,0
AMIGO3,,,no,True,ENSG00000176020,Amphoterin-induced protein 3 (AMIGO-3) (Alivin-3),Membrane,,,0.37,0.332,4237,3881,-0.156,,,,0
