gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
A2ML1,,,,no,2.053,1.472,9529,3557,-0.48
AAMP,,,,no,5.934,3.543,27538,8562,-0.744
AAR2,,,,no,1.141,1.117,5297,2700,-0.031
AARSD1,,,,no,1.308,1.177,6068,2844,-0.152
ABAT,,,,no,1.47,0.668,6822,1615,-1.137
ABCA1,,,,no,21.667,19.735,100553,47698,-0.135
ABCA3,,,,no,1.981,0.957,9194,2312,-1.05
ABCA4,photoreceptor_retinal,Restricted to retinal photoreceptors / RPE; not present in pancreas or LN.,,yes,0.117,0.179,541,433,0.62
ABCA7,,,,no,6.652,5.121,30872,12376,-0.377
ABCB1,,,,no,0.968,1.187,4493,2870,0.295
ABCB4,,,,no,0.333,0.334,1544,807,0.005
ABCB6,,,,no,0.965,0.85,4478,2055,-0.182
ABCC1,,,,no,11.345,4.957,52649,11981,-1.194
ABCC12,,,,no,0.054,0.121,251,292,1.16
ABCC2,,,,no,0.183,0.267,850,645,0.543
ABCC3,,,,no,0.287,0.338,1332,818,0.238
ABCC4,,,,no,0.987,0.903,4579,2182,-0.128
ABCC6,,,,no,0.304,0.186,1413,450,-0.71
ABCC8,,,,no,0.05,0.07,233,168,0.469
ABCC9,,,,no,0.776,1.155,3600,2791,0.574
ABCD1,,,,no,1.646,1.377,7640,3327,-0.258
ABCD3,,,,no,3.368,1.488,15631,3596,-1.179
ABCD4,,,,no,2.535,2.032,11764,4912,-0.319
ABCF3,,,,no,2.945,2.129,13667,5146,-0.468
ABCG1,,,,no,7.844,8.047,36402,19448,0.037
ABCG2,,,,no,0.227,0.145,1053,350,-0.648
ABHD11,,,,no,0.67,0.372,3108,900,-0.847
ABHD6,,,,no,0.925,1.032,4291,2495,0.159
ABI3,,,,no,6.107,5.705,28342,13788,-0.098
ABI3BP,,,,no,0.573,0.628,2659,1517,0.132
ABL1,,,,no,4.255,3.473,19747,8394,-0.293
ABL2,,,,no,1.918,1.656,8900,4003,-0.211
ABO,,,,no,0.486,0.505,2254,1220,0.056
ABTB1,,,,no,3.208,1.987,14886,4803,-0.691
ABTB2,,,,no,1.176,0.604,5459,1459,-0.962
ACAA2,,,,no,3.283,2.262,15235,5468,-0.537
ACACA,,,,no,1.327,1.283,6160,3100,-0.049
ACACB,,,,no,2.137,1.634,9917,3950,-0.387
ACAP1,,,,no,13.552,9.46,62892,22864,-0.519
ACAP2,,,,no,2.363,2.205,10967,5330,-0.1
ACAT1,,,,no,0.695,0.662,3224,1601,-0.069
ACE,,,,no,0.325,0.537,1507,1299,0.727
ACE2,,,,no,0.274,0.283,1273,685,0.047
ACHE,,,,no,1.114,1.099,5170,2655,-0.02
ACKR3,,,,no,0.461,0.65,2141,1570,0.494
ACLY,,,,no,5.449,4.013,25288,9698,-0.441
ACOD1,,,,no,0.03,0.052,140,126,0.789
ACOXL,,,,no,0.285,0.287,1321,693,0.011
ACP5,,,,no,1.752,1.487,8129,3593,-0.237
ACPP,,,,no,0.237,0.228,1102,552,-0.056
ACRBP,,,,no,0.229,0.355,1063,858,0.632
ACRV1,,,,no,0.069,0.118,320,286,0.779
ACSL4,,,,no,3.611,2.767,16757,6688,-0.384
ACTA2,,,,no,2.811,2.156,13046,5212,-0.382
ACTBL2,,,,no,0.042,0.095,195,229,1.173
ACTL6A,,,,no,2.083,1.612,9665,3897,-0.369
ACTL7A,,,,no,0.026,0.043,121,104,0.723
ACTN1,,,,no,3.927,2.79,18227,6743,-0.493
ACTN2,skeletal_muscle,Skeletal-muscle-specific contractile machinery; not expressed in pancreas/LN smooth muscle or myofibroblasts.,,yes,0.128,0.166,593,402,0.38
ACTN4,,,,no,9.382,6.518,43542,15753,-0.526
ACVR1,,,,no,0.938,0.837,4352,2022,-0.165
ACVR1B,,,,no,3.302,2.494,15323,6027,-0.405
ACVR2A,,,,no,1.403,1.076,6510,2601,-0.382
ACVRL1,,,,no,0.962,1.069,4463,2583,0.152
ACYP2,,,,no,1.231,1.055,5715,2551,-0.222
ADA,,,,no,3.013,2.14,13981,5171,-0.494
ADAM10,,,,no,6.722,5.558,31197,13433,-0.274
ADAM12,,,,no,0.635,0.499,2945,1206,-0.347
ADAM17,,,,no,3.242,2.602,15045,6288,-0.317
ADAM28,,,,no,2.139,1.371,9928,3314,-0.642
ADAM33,,,,no,0.098,0.302,453,730,1.63
ADAM8,,,,no,3.762,2.957,17461,7147,-0.347
ADAM9,,,,no,2.075,1.73,9630,4181,-0.262
ADAMDEC1,,,,no,4.748,4.9,22037,11842,0.045
ADAMTS1,,,,no,1.521,0.92,7061,2224,-0.725
ADAMTS12,,,,no,0.242,0.331,1123,799,0.45
ADAMTS19,,,,no,0.037,0.072,171,175,0.975
ADAMTS2,,,,no,0.483,0.359,2240,867,-0.428
ADAMTS4,,,,no,0.111,0.139,516,335,0.318
ADAMTS5,,,,no,0.341,0.298,1584,720,-0.196
ADAMTSL3,,,,no,0.372,0.643,1727,1553,0.788
ADAR,,,,no,14.564,11.289,67589,27283,-0.368
ADCY2,,,,no,0.366,0.169,1700,408,-1.118
ADCY3,,,,no,8.191,4.7,38016,11359,-0.802
ADCYAP1,,,,no,0.056,0.064,262,155,0.184
ADCYAP1R1,,,,no,0.123,0.179,570,433,0.545
ADD1,,,,no,12.723,8.669,59045,20953,-0.553
ADGRA1,,,,no,0.028,0.049,130,118,0.802
ADGRA2,,,,no,1.691,2.406,7850,5814,0.508
ADGRA3,,,,no,1.203,0.834,5582,2015,-0.529
ADGRB1,,,,no,0.374,0.376,1736,908,0.006
ADGRB2,,,,no,1.74,0.698,8076,1687,-1.318
ADGRD1,,,,no,0.143,0.225,664,544,0.654
ADGRD2,,,,no,0.028,0.098,128,238,1.836
ADGRE1,,,,no,0.348,0.363,1615,877,0.06
ADGRE2,,,,no,0.872,0.71,4046,1717,-0.295
ADGRE5,,,,no,6.469,4.899,30020,11840,-0.401
ADGRG5,,,,no,1.067,0.6,4954,1451,-0.83
ADGRG6,,,,no,1.235,0.832,5732,2011,-0.57
ADGRL1,,,,no,1.235,0.938,5731,2268,-0.396
ADGRL4,,,,no,0.488,0.51,2266,1232,0.062
ADIPOQ,,,,no,0.062,0.219,289,530,1.816
ADIPOR1,,,,no,5.031,3.829,23349,9254,-0.394
ADIPOR2,,,,no,1.457,1.054,6763,2547,-0.468
ADM,,,,no,1.22,0.758,5664,1833,-0.686
ADNP,,,,no,7.4,5.817,34344,14059,-0.347
ADORA1,,,,no,0.26,0.194,1208,470,-0.421
ADORA2A,,,,no,1.108,1.269,5141,3067,0.196
ADORA2B,,,,no,0.069,0.086,322,209,0.318
ADORA3,,,,no,0.872,0.456,4049,1102,-0.936
ADRA1A,,,,no,0.133,0.195,617,471,0.552
ADRA1B,,,,no,0.051,0.059,236,143,0.218
ADRA1D,,,,no,0.038,0.041,176,100,0.126
ADRA2A,,,,no,0.18,0.392,837,948,1.121
ADRA2B,,,,no,0.271,0.126,1259,305,-1.104
ADRA2C,,,,no,0.268,0.163,1242,393,-0.719
ADRB1,,,,no,0.579,1.228,2689,2968,1.084
ADRB2,,,,no,0.385,0.4,1785,966,0.055
ADRB3,,,,no,0.04,,186,0,
ADTRP,,,,no,0.639,0.564,2965,1364,-0.179
AEBP1,,,,no,2.214,2.193,10277,5300,-0.014
AFAP1L2,,,,no,5.072,4.304,23538,10403,-0.237
AFF1,,,,no,6.146,3.463,28522,8370,-0.828
AFF2,,,,no,1.482,1.114,6877,2693,-0.411
AFF3,,,,no,2.844,1.676,13200,4050,-0.763
AFG1L,,,,no,0.477,0.576,2213,1393,0.273
AFM,,,,no,0.067,0.135,309,327,1.023
AGAP1,,,,no,1.321,1.279,6130,3090,-0.047
AGAP3,,,,no,2.994,2.11,13897,5099,-0.505
AGER,,,,no,1.469,1.037,6816,2507,-0.502
AGMAT,,,,no,0.91,1.492,4221,3605,0.714
AGO1,,,,no,2.754,2.526,12781,6106,-0.124
AGR3,,,,no,0.059,0.11,273,265,0.898
AGRP,,,,no,0.13,0.141,603,340,0.115
AGTR1,,,,no,0.434,0.359,2016,868,-0.274
AGTR2,,,,no,0.035,0.062,163,149,0.812
AGXT,,,,no,0.051,0.07,238,168,0.439
AHCY,,,,no,3.875,2.75,17982,6647,-0.495
AHR,,,,no,4.519,3.663,20974,8852,-0.303
AHRR,,,,no,0.1,0.121,464,293,0.278
AICDA,,,,no,0.148,0.166,686,401,0.167
AIF1L,,,,no,0.368,0.293,1706,708,-0.328
AIFM1,,,,no,2.888,2.23,13401,5390,-0.373
AIM2,,,,no,0.443,0.455,2058,1100,0.038
AIMP2,,,,no,1.702,1.217,7901,2941,-0.484
AIP,,,,no,3.782,2.065,17554,4990,-0.873
AIRE,,,,no,1.029,0.641,4777,1549,-0.684
AJAP1,,,,no,0.085,0.136,396,328,0.669
AKAP11,,,,no,5.055,5.701,23461,13779,0.173
AKAP4,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,,yes,0.03,0.059,139,143,0.982
AKAP8,,,,no,4.513,3.409,20944,8239,-0.405
AKR1B1,,,,no,4.968,3.814,23057,9217,-0.382
AKR1C3,,,,no,0.668,0.442,3098,1069,-0.594
AKT1,,,,no,4.956,3.876,23000,9367,-0.355
AKT2,,,,no,11.782,8.423,54677,20357,-0.484
AKT3,,,,no,3.288,3.692,15260,8923,0.167
AKTIP,,,,no,1.825,2.195,8468,5304,0.266
ALAD,,,,no,1.007,1.094,4672,2644,0.12
ALCAM,,,,no,2.496,1.287,11583,3110,-0.956
ALDH1A2,,,,no,0.371,0.372,1721,899,0.004
ALDH1B1,,,,no,0.854,0.899,3963,2172,0.074
ALDH2,,,,no,8.059,5.526,37399,13355,-0.544
ALDH3A2,,,,no,7.196,5.456,33396,13186,-0.399
ALDH7A1,,,,no,5.777,3.25,26810,7855,-0.83
ALDOA,,,,no,4.339,2.235,20136,5402,-0.957
ALG11,,,,no,4.198,5.285,19482,12774,0.332
ALG13,,,,no,2.011,2.227,9335,5382,0.147
ALG2,,,,no,2.33,2.174,10815,5255,-0.1
ALG6,,,,no,0.592,0.813,2746,1965,0.458
