gene,subtype_hint,evidence,note
AP3M2,,cellxgene,marks lineage (CL)
APOL2,,cellxgene,marks lineage (CL)
BCL11B,,cellxgene,marks lineage (CL)
CCDC86,,cellxgene,marks lineage (CL)
CCR4,,cellxgene,marks lineage (CL)
CCR6,,cellxgene,marks lineage (CL)
CCR9,,cellxgene,marks lineage (CL)
CD160,,cellxgene,marks lineage (CL)
CD1A,DP,both,canonical identity marker
CD1B,DP,both,canonical identity marker
CD1E,DP,both,canonical identity marker
CD2,,both,canonical identity marker
CD28,,cellxgene,marks lineage (CL)
CD3E,,both,canonical identity marker
CD3G,,both,canonical identity marker
CD4,CD4,both,canonical identity marker
CD40LG,,cellxgene,marks lineage (CL)
CD5,,cellxgene,marks lineage (CL)
CD6,,cellxgene,marks lineage (CL)
CD7,,both,canonical identity marker
CD70,,cellxgene,marks lineage (CL)
CD8A,CD8,both,canonical identity marker
CD8B,CD8,both,canonical identity marker
CORO1B,,cellxgene,marks lineage (CL)
CRTAM,,cellxgene,marks lineage (CL)
CTLA4,Treg,both,canonical identity marker
CXCR3,,cellxgene,marks lineage (CL)
CXCR6,,cellxgene,marks lineage (CL)
DNTT,DN,both,canonical identity marker
EIF2AK2,,cellxgene,marks lineage (CL)
ETS1,,cellxgene,marks lineage (CL)
FASLG,,cellxgene,marks lineage (CL)
FGFBP2,,cellxgene,marks lineage (CL)
FLT3LG,,cellxgene,marks lineage (CL)
FOXP3,Treg,both,canonical identity marker
GIMAP5,,cellxgene,marks lineage (CL)
GZMA,,cellxgene,marks lineage (CL)
GZMH,,cellxgene,marks lineage (CL)
GZMK,,cellxgene,marks lineage (CL)
ICOS,,cellxgene,marks lineage (CL)
IFITM1,,cellxgene,marks lineage (CL)
IFNG,,cellxgene,marks lineage (CL)
IL17F,,cellxgene,marks lineage (CL)
IL2,,cellxgene,marks lineage (CL)
IL22,,cellxgene,marks lineage (CL)
IL2RA,Treg,both,canonical identity marker
IL9,,cellxgene,marks lineage (CL)
ITGAL,,cellxgene,marks lineage (CL)
ITK,,cellxgene,marks lineage (CL)
KLRG1,,cellxgene,marks lineage (CL)
KLRK1,,cellxgene,marks lineage (CL)
LAG3,,cellxgene,marks lineage (CL)
LAIR2,,cellxgene,marks lineage (CL)
LAT,,cellxgene,marks lineage (CL)
LCK,,both,canonical identity marker
LEF1,,cellxgene,marks lineage (CL)
LEPROTL1,,cellxgene,marks lineage (CL)
LTA,,cellxgene,marks lineage (CL)
NEIL3,,cellxgene,marks lineage (CL)
PDCD1,,cellxgene,marks lineage (CL)
PMCH,,cellxgene,marks lineage (CL)
PRF1,,cellxgene,marks lineage (CL)
PTGER2,,cellxgene,marks lineage (CL)
PTPN2,,cellxgene,marks lineage (CL)
PTPN22,,cellxgene,marks lineage (CL)
RAG1,DN,both,canonical identity marker
RNF167,,cellxgene,marks lineage (CL)
S1PR5,,cellxgene,marks lineage (CL)
SATB1,,cellxgene,marks lineage (CL)
SEMA4D,,cellxgene,marks lineage (CL)
SH2D1A,,cellxgene,marks lineage (CL)
SHFL,,cellxgene,marks lineage (CL)
SIRPG,,cellxgene,marks lineage (CL)
SLAMF6,,cellxgene,marks lineage (CL)
SLC29A1,,cellxgene,marks lineage (CL)
STAT4,,cellxgene,marks lineage (CL)
TCF7,,cellxgene,marks lineage (CL)
THEMIS,,cellxgene,marks lineage (CL)
TIGIT,,cellxgene,marks lineage (CL)
TNF,,cellxgene,marks lineage (CL)
TNFRSF9,,cellxgene,marks lineage (CL)
TNFSF14,,cellxgene,marks lineage (CL)
TNFSF8,,cellxgene,marks lineage (CL)
TRAF3IP3,,cellxgene,marks lineage (CL)
TREX1,,cellxgene,marks lineage (CL)
ZAP70,,both,canonical identity marker
ZNF683,,cellxgene,marks lineage (CL)
