gene,subtype_hint,evidence,note
BCL11B,,cellxgene,marks lineage (CL)
CASP8,,cellxgene,marks lineage (CL)
CCR4,,cellxgene,marks lineage (CL)
CCR6,,cellxgene,marks lineage (CL)
CD2,,both,canonical identity marker
CD28,,cellxgene,marks lineage (CL)
CD3E,,both,canonical identity marker
CD3G,,both,canonical identity marker
CD4,CD4,both,canonical identity marker
CD5,,cellxgene,marks lineage (CL)
CD70,,cellxgene,marks lineage (CL)
CTLA4,Treg,both,canonical identity marker
CXCR3,,cellxgene,marks lineage (CL)
CXCR6,,cellxgene,marks lineage (CL)
ETS1,,cellxgene,marks lineage (CL)
FLT3LG,,cellxgene,marks lineage (CL)
FOXP3,Treg,both,canonical identity marker
GBP5,,cellxgene,marks lineage (CL)
ICOS,,cellxgene,marks lineage (CL)
IFNG,,cellxgene,marks lineage (CL)
IKZF2,Treg,both,canonical identity marker
IL17F,,cellxgene,marks lineage (CL)
IL2,,cellxgene,marks lineage (CL)
IL2RA,Treg,both,canonical identity marker
ITK,,cellxgene,marks lineage (CL)
JAK3,,cellxgene,marks lineage (CL)
LAG3,,cellxgene,marks lineage (CL)
LAIR2,,cellxgene,marks lineage (CL)
LAT,,cellxgene,marks lineage (CL)
LCK,,both,canonical identity marker
LEF1,,cellxgene,marks lineage (CL)
LEPROTL1,,cellxgene,marks lineage (CL)
LTA,,cellxgene,marks lineage (CL)
PDCD1,,cellxgene,marks lineage (CL)
PMCH,,cellxgene,marks lineage (CL)
RASGRP1,,cellxgene,marks lineage (CL)
SIRPG,,cellxgene,marks lineage (CL)
SLFN5,,cellxgene,marks lineage (CL)
TCF7,,cellxgene,marks lineage (CL)
TIGIT,,cellxgene,marks lineage (CL)
TNFRSF9,,cellxgene,marks lineage (CL)
TNFSF8,,cellxgene,marks lineage (CL)
TRAF3IP3,,cellxgene,marks lineage (CL)
ZAP70,,both,canonical identity marker
ZC3H12D,,cellxgene,marks lineage (CL)
