gene,subtype_hint,evidence,note
ADAM8,,cellxgene,marks lineage (CL)
ADGRE2,,cellxgene,marks lineage (CL)
ALDH2,,cellxgene,marks lineage (CL)
ARRB2,,cellxgene,marks lineage (CL)
BATF3,DC,both,canonical identity marker
BCL11A,pDC,both,canonical identity marker
BCL2A1,,cellxgene,marks lineage (CL)
BID,,cellxgene,marks lineage (CL)
C5AR1,,cellxgene,marks lineage (CL)
CCL18,,cellxgene,marks lineage (CL)
CCR1,,cellxgene,marks lineage (CL)
CCR2,monocyte,both,canonical identity marker
CD14,,both,canonical identity marker
CD163,,both,canonical identity marker
CD1C,DC,both,canonical identity marker
CD1D,,cellxgene,marks lineage (CL)
CD33,,both,canonical identity marker
CD68,,both,canonical identity marker
CD84,,cellxgene,marks lineage (CL)
CD86,,cellxgene,marks lineage (CL)
CIITA,,cellxgene,marks lineage (CL)
CLEC10A,DC,both,canonical identity marker
CLEC12A,,cellxgene,marks lineage (CL)
CLEC4A,,cellxgene,marks lineage (CL)
CLEC4C,pDC,both,canonical identity marker
CLEC7A,,cellxgene,marks lineage (CL)
CLEC9A,DC,both,canonical identity marker
CPVL,,cellxgene,marks lineage (CL)
CSF1R,,both,canonical identity marker
CSF2RB,,cellxgene,marks lineage (CL)
CXCL16,,cellxgene,marks lineage (CL)
FCER1A,DC,both,canonical identity marker
FCGR1A,,both,canonical identity marker
FCGR2A,,cellxgene,marks lineage (CL)
FCGR2B,,cellxgene,marks lineage (CL)
FCN1,monocyte,both,canonical identity marker
FLT3,DC,both,canonical identity marker
FOLR2,,cellxgene,marks lineage (CL)
FPR1,,cellxgene,marks lineage (CL)
GRN,,cellxgene,marks lineage (CL)
IL17RA,,cellxgene,marks lineage (CL)
IL1B,,cellxgene,marks lineage (CL)
IL3RA,pDC,both,canonical identity marker
IQGAP1,,cellxgene,marks lineage (CL)
IRF7,pDC,both,canonical identity marker
IRF8,DC,both,canonical identity marker
ITGAM,,both,canonical identity marker
ITGAX,,both,canonical identity marker
LGALS9,,cellxgene,marks lineage (CL)
LILRA4,pDC,both,canonical identity marker
LILRB1,,cellxgene,marks lineage (CL)
LILRB3,,cellxgene,marks lineage (CL)
LILRB4,,cellxgene,marks lineage (CL)
MAN2B1,,cellxgene,marks lineage (CL)
MARCO,macrophage,both,canonical identity marker
MERTK,macrophage,both,canonical identity marker
MRC1,macrophage,both,canonical identity marker
MSR1,macrophage,both,canonical identity marker
MYD88,,cellxgene,marks lineage (CL)
NAAA,,cellxgene,marks lineage (CL)
NCF2,,cellxgene,marks lineage (CL)
NR4A3,,cellxgene,marks lineage (CL)
PLA2G7,,cellxgene,marks lineage (CL)
PLEKHO1,,cellxgene,marks lineage (CL)
PLP2,,cellxgene,marks lineage (CL)
PLSCR1,,cellxgene,marks lineage (CL)
PNPLA6,,cellxgene,marks lineage (CL)
S1PR3,,cellxgene,marks lineage (CL)
SERPINB9,,cellxgene,marks lineage (CL)
SIGLEC6,,cellxgene,marks lineage (CL)
SIRPA,,canonical,canonical identity marker (CL-unannotated)
SLC11A1,,cellxgene,marks lineage (CL)
SLC7A7,,cellxgene,marks lineage (CL)
SLCO2B1,,cellxgene,marks lineage (CL)
SORL1,,cellxgene,marks lineage (CL)
SPI1,,both,canonical identity marker
TBXAS1,,cellxgene,marks lineage (CL)
TCF4,pDC,both,canonical identity marker
THEMIS2,,cellxgene,marks lineage (CL)
TLR2,,cellxgene,marks lineage (CL)
TNFRSF1B,,cellxgene,marks lineage (CL)
TREM2,macrophage,both,canonical identity marker
TYMP,,cellxgene,marks lineage (CL)
UBE2D3,,cellxgene,marks lineage (CL)
VASP,,cellxgene,marks lineage (CL)
VSIG4,,cellxgene,marks lineage (CL)
VSIR,,cellxgene,marks lineage (CL)
WAS,,cellxgene,marks lineage (CL)
WDFY4,,cellxgene,marks lineage (CL)
XCR1,DC,both,canonical identity marker
