gene,subtype_hint,evidence,note
AICDA,,cellxgene,marks lineage (CL)
AIM2,,cellxgene,marks lineage (CL)
ANKRD13A,,cellxgene,marks lineage (CL)
AP1B1,,cellxgene,marks lineage (CL)
BACH2,,cellxgene,marks lineage (CL)
BANK1,,both,canonical identity marker
BLK,,both,canonical identity marker
BTLA,,cellxgene,marks lineage (CL)
CD19,,both,canonical identity marker
CD22,,both,canonical identity marker
CD38,plasma,both,canonical identity marker
CD72,,both,canonical identity marker
CD79A,,both,canonical identity marker
CD79B,,both,canonical identity marker
CNR2,,cellxgene,marks lineage (CL)
CR2,,both,canonical identity marker
CXCR5,,cellxgene,marks lineage (CL)
CYBC1,,cellxgene,marks lineage (CL)
DERL3,plasma,both,canonical identity marker
DTX1,,cellxgene,marks lineage (CL)
EBF1,,canonical,canonical identity marker (CL-unannotated)
FCER2,,both,canonical identity marker
FCRL1,,both,canonical identity marker
FCRL2,,cellxgene,marks lineage (CL)
FCRL3,,cellxgene,marks lineage (CL)
FCRL5,,both,canonical identity marker
FCRLA,,cellxgene,marks lineage (CL)
FKBP11,plasma,both,canonical identity marker
IGHE,,cellxgene,marks lineage (CL)
KLHL14,,cellxgene,marks lineage (CL)
LY9,,cellxgene,marks lineage (CL)
MS4A1,,both,canonical identity marker
MZB1,plasma,both,canonical identity marker
OGG1,,cellxgene,marks lineage (CL)
PARP1,,cellxgene,marks lineage (CL)
PARP15,,cellxgene,marks lineage (CL)
PAX5,,both,canonical identity marker
PDIA4,,cellxgene,marks lineage (CL)
PLEKHA2,,cellxgene,marks lineage (CL)
POU2AF1,plasma,both,canonical identity marker
PRDM1,plasma,both,canonical identity marker
RPN1,,cellxgene,marks lineage (CL)
RUBCNL,,cellxgene,marks lineage (CL)
SDC1,plasma,canonical,canonical identity marker (CL-unannotated)
SH2B2,,cellxgene,marks lineage (CL)
SLAMF7,plasma,both,canonical identity marker
SP140,,cellxgene,marks lineage (CL)
SPIB,,both,canonical identity marker
SYVN1,,cellxgene,marks lineage (CL)
TCL1A,,both,canonical identity marker
TLR10,,cellxgene,marks lineage (CL)
TNFRSF13B,,both,canonical identity marker
TNFRSF13C,,cellxgene,marks lineage (CL)
TNFRSF17,plasma,both,canonical identity marker
TOR3A,,cellxgene,marks lineage (CL)
WASHC4,,cellxgene,marks lineage (CL)
XBP1,plasma,both,canonical identity marker
ZNF296,,cellxgene,marks lineage (CL)
