gene,subtype_hint,evidence,note
ABCG2,,cellxgene,marks lineage (CL)
ACVRL1,,cellxgene,marks lineage (CL)
ADGRL4,,cellxgene,marks lineage (CL)
APLN,,cellxgene,marks lineage (CL)
APLNR,,cellxgene,marks lineage (CL)
APOL3,,cellxgene,marks lineage (CL)
BMP6,,cellxgene,marks lineage (CL)
BMPR2,,cellxgene,marks lineage (CL)
CALCRL,,both,canonical identity marker
CAVIN2,,cellxgene,marks lineage (CL)
CCL14,,cellxgene,marks lineage (CL)
CCL21,lymphatic,canonical,canonical identity marker (CL-unannotated)
CCL23,,cellxgene,marks lineage (CL)
CD34,,both,canonical identity marker
CD93,,both,canonical identity marker
CDH5,,both,canonical identity marker
CDK17,,cellxgene,marks lineage (CL)
CEMIP2,,cellxgene,marks lineage (CL)
CLDN5,,both,canonical identity marker
CLEC14A,,both,canonical identity marker
DIP2B,,cellxgene,marks lineage (CL)
DOCK9,,cellxgene,marks lineage (CL)
ECE1,,cellxgene,marks lineage (CL)
EGFL7,,both,canonical identity marker
ELK3,,cellxgene,marks lineage (CL)
ENG,,both,canonical identity marker
EPAS1,,cellxgene,marks lineage (CL)
ERG,,both,canonical identity marker
ESM1,,cellxgene,marks lineage (CL)
F2R,,cellxgene,marks lineage (CL)
F2RL3,,cellxgene,marks lineage (CL)
F8,,cellxgene,marks lineage (CL)
FLI1,,both,canonical identity marker
FLT4,lymphatic,both,canonical identity marker
HEXIM1,,cellxgene,marks lineage (CL)
HSPG2,,cellxgene,marks lineage (CL)
ICAM1,,cellxgene,marks lineage (CL)
ICAM2,,both,canonical identity marker
IFI16,,cellxgene,marks lineage (CL)
IFIT1,,cellxgene,marks lineage (CL)
IL13RA2,,cellxgene,marks lineage (CL)
JAM2,,cellxgene,marks lineage (CL)
KDR,,both,canonical identity marker
KLHL4,,cellxgene,marks lineage (CL)
LIFR,,cellxgene,marks lineage (CL)
LRRC32,,cellxgene,marks lineage (CL)
LYVE1,lymphatic,canonical,canonical identity marker (CL-unannotated)
MAP4K3,,cellxgene,marks lineage (CL)
MICAL2,,cellxgene,marks lineage (CL)
MMRN2,,cellxgene,marks lineage (CL)
MOB2,,cellxgene,marks lineage (CL)
MYLK2,,cellxgene,marks lineage (CL)
NODAL,,cellxgene,marks lineage (CL)
NOSTRIN,,cellxgene,marks lineage (CL)
NOTCH4,,both,canonical identity marker
NRN1,,cellxgene,marks lineage (CL)
PCDH17,,cellxgene,marks lineage (CL)
PDGFB,,cellxgene,marks lineage (CL)
PDPN,lymphatic,both,canonical identity marker
PECAM1,,both,canonical identity marker
PFKP,,cellxgene,marks lineage (CL)
PINK1,,cellxgene,marks lineage (CL)
PKD1L1,,cellxgene,marks lineage (CL)
PLVAP,,both,canonical identity marker
PODXL,,cellxgene,marks lineage (CL)
PRCP,,cellxgene,marks lineage (CL)
PROX1,lymphatic,both,canonical identity marker
ROBO4,,both,canonical identity marker
SELE,,cellxgene,marks lineage (CL)
SELP,,cellxgene,marks lineage (CL)
SH2D3C,,cellxgene,marks lineage (CL)
SHANK3,,cellxgene,marks lineage (CL)
SLC9A3R2,,cellxgene,marks lineage (CL)
SNTG2,,cellxgene,marks lineage (CL)
SOST,,cellxgene,marks lineage (CL)
SOX17,,both,canonical identity marker
SOX18,,both,canonical identity marker
TEK,,both,canonical identity marker
TGFBR2,,cellxgene,marks lineage (CL)
THBD,,cellxgene,marks lineage (CL)
TIE1,,both,canonical identity marker
TMEM100,,cellxgene,marks lineage (CL)
TNFRSF6B,,cellxgene,marks lineage (CL)
TSPAN7,,cellxgene,marks lineage (CL)
VAMP3,,cellxgene,marks lineage (CL)
VAMP5,,cellxgene,marks lineage (CL)
VEGFC,,cellxgene,marks lineage (CL)
WWTR1,,cellxgene,marks lineage (CL)
ZFHX4,,cellxgene,marks lineage (CL)
