gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
ACSL4,,,no,True,ENSG00000068366,Long-chain-fatty-acid--CoA ligase 4,Mitochondrion outer membrane,hepatoblast;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;intestinal tuft cell;tuft cell of colon;kidney distal convoluted tubule epithelial cell;mast cell;lung secretory cell,,3.611,2.767,3.611,16757,6688,-0.384
ADGRG6,,,no,True,ENSG00000112414,Adhesion G-protein coupled receptor G6 (Developmentally regulated G-protein-coupled receptor) (G-protein coupled receptor 126) (Vascular inducible G protein-coupled receptor),Cell membrane,brush cell;intestinal tuft cell;tuft cell of colon;parietal epithelial cell;muscle cell;smooth muscle cell,ADGRG,1.235,0.832,1.235,5732,2011,-0.57
AFAP1L2,,,no,True,ENSG00000169129,Actin filament-associated protein 1-like 2 (AFAP1-like protein 2),Cytoplasm,"brush cell;intestinal tuft cell;tuft cell of colon;decidual natural killer cell, human",,5.072,4.304,5.072,23538,10403,-0.237
AKR1B1,,,no,True,ENSG00000085662,Aldo-keto reductase family 1 member B1,Cytoplasm,pulmonary ionocyte;kidney loop of Henle thin ascending limb epithelial cell;ionocyte;Hofbauer cell;sperm;extravillous trophoblast;placental villous trophoblast;syncytiotrophoblast cell,,4.968,3.814,4.968,23057,9217,-0.382
ALCAM,,,no,True,ENSG00000170017,CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166),Cell membrane,corneal endothelial cell;neuroendocrine cell;chromaffin cell;type I pneumocyte;lung goblet cell;pancreatic A cell;visceromotor neuron;sebaceous gland cell,CD6,2.496,1.287,2.496,11583,3110,-0.956
ALK,,,no,True,ENSG00000171094,ALK tyrosine kinase receptor,Cell membrane,neuroendocrine cell;chromaffin cell;skeletal muscle fiber;cell of skeletal muscle;Schwann cell;visceromotor neuron;medium spiny neuron,MK;PTN,0.131,0.085,0.131,608,205,-0.627
ALOX5,,,no,True,ENSG00000012779,Polyunsaturated fatty acid 5-lipoxygenase,Cytoplasm,brush cell;intestinal tuft cell;tuft cell of colon;macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;basophil;eosinophil;Langerhans cell;B-1b B cell;mast cell,,2.944,2.156,2.944,13665,5210,-0.45
AMACR,,,no,True,ENSG00000242110,Alpha-methylacyl-CoA racemase,Peroxisome,pulmonary ionocyte;ionocyte,,0.567,0.495,0.567,2633,1196,-0.197
ASCL1,,,no,True,ENSG00000139352,Achaete-scute homolog 1 (ASH-1) (hASH1) (Class A basic helix-loop-helix protein 46) (bHLHa46),Nucleus,glioblast;Schwann cell precursor;neural crest cell;neuroendocrine cell;lung neuroendocrine cell;epithelial cell of thymus;medullary thymic epithelial cell;enteric neuron;peripheral nervous system neuron,,2.914,3.607,3.607,13524,8717,0.308
ATP1A1,,,no,True,ENSG00000163399,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit),Basolateral cell membrane,intestinal crypt stem cell of small intestine;enterocyte of epithelium of small intestine;pancreatic ductal cell;intrahepatic cholangiocyte;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;pulmonary ionocyte;microfold cell of epithelium of small intestine;epithelial cell of small intestine;kidney distal convoluted tubule epithelial cell;macula densa epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle medullary thick ascending limb epithelial cell;kidney loop of Henle cortical thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney loop of Henle epithelial cell;ionocyte;transit amplifying cell of small intestine;serous cell of epithelium of trachea;lung secretory cell,,13.987,9.437,13.987,64914,22807,-0.568
ATP6V1B1,,,no,True,ENSG00000116039,"V-type proton ATPase subunit B, kidney isoform (V-ATPase subunit B 1) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 1)",Apical cell membrane,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;ionocyte,,0.195,0.153,0.195,905,370,-0.349
ATP7A,,,no,True,ENSG00000165240,Copper-transporting ATPase 1,Golgi apparatus,pulmonary ionocyte;ionocyte,,1.149,1.123,1.149,5333,2715,-0.033
BCAM,,,no,True,ENSG00000187244,Basal cell adhesion molecule (Auberger B antigen) (B-CAM cell surface glycoprotein) (F8/G253 antigen) (Lutheran antigen) (Lutheran blood group glycoprotein) (CD antigen CD239),Membrane,basal cell of epithelium of trachea;lung neuroendocrine cell;blood vessel endothelial cell;vasa recta descending limb cell;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;pancreatic PP cell;pancreatic epsilon cell;PP cell;fallopian tube secretory epithelial cell;club cell;endothelial cell of uterus;kidney loop of Henle thin ascending limb epithelial cell;kidney glomerular epithelial cell;parietal epithelial cell;ovarian surface epithelial cell;placental villous trophoblast,,12.516,8.987,12.516,58086,21721,-0.478
BIK,,,no,True,ENSG00000100290,Bcl-2-interacting killer (Apoptosis inducer NBK) (BIP1) (BP4),Endomembrane system,pulmonary ionocyte;brush cell;brush cell of trachebronchial tree;brush cell of bronchus;intestinal tuft cell;tuft cell of colon;ionocyte,,0.357,0.355,0.357,1657,859,-0.007
BMPR1B,,,no,True,ENSG00000138696,Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B),Cell membrane,kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney collecting duct intercalated cell;neuroendocrine cell;chromaffin cell;renal principal cell;renal beta-intercalated cell;lung goblet cell;taste receptor cell;luminal cell of prostate epithelium;kidney connecting tubule epithelial cell;astrocyte;Bergmann glial cell;sympathetic neuron;fibroblast;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell;kidney collecting duct cell,BMP,0.04,0.056,0.056,185,135,0.487
CALCA,,,no,True,ENSG00000110680,Calcitonin,Secreted,neuroendocrine cell;lung neuroendocrine cell,CALCR;CALC,0.034,0.051,0.051,157,124,0.601
CALML3,,,no,True,ENSG00000178363,Calmodulin-like protein 3 (CaM-like protein) (CLP) (Calmodulin-related protein NB-1),,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of trachea;epithelial cell of stratum germinativum of esophagus;epithelial cell;keratinocyte;stratified epithelial cell;pulmonary ionocyte;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;epidermal cell;ionocyte;conjunctival epithelial cell,,0.248,0.374,0.374,1152,905,0.593
CASP6,,,no,True,ENSG00000138794,Caspase-6 (CASP-6) (CSP-6),Cytoplasm,intestinal tuft cell;tuft cell of colon,,1.519,1.247,1.519,7051,3013,-0.285
CBR1,,,no,True,ENSG00000159228,Carbonyl reductase [NADPH] 1,Cytoplasm,epithelial cell of stratum germinativum of esophagus;enterocyte;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;pulmonary ionocyte;paneth cell of epithelium of small intestine;M cell of gut;epithelial cell of small intestine;ionocyte;transit amplifying cell of small intestine,,1.263,0.758,1.263,5860,1833,-0.735
CCDC14,,,no,True,ENSG00000175455,Coiled-coil domain-containing protein 14,Cytoplasm,intestinal crypt stem cell of colon;large intestine goblet cell;enteroendocrine cell of colon;brush cell;intestinal tuft cell;tuft cell of colon,,1.119,1.418,1.418,5191,3428,0.343
CD46,,,no,True,ENSG00000117335,Membrane cofactor protein (TLX) (Trophoblast leukocyte common antigen) (CD antigen CD46),Cytoplasmic vesicle,intrahepatic cholangiocyte;urothelial cell;bladder urothelial cell;intestinal tuft cell;tuft cell of colon;salivary gland cell;serous cell of epithelium of trachea;bladder cell,CD46,6.364,4.582,6.364,29537,11073,-0.474
CDH1,,,no,True,ENSG00000039068,Cadherin-1 (CAM 120/80) (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324),Cell junction,ciliated cell of the bronchus;kidney collecting duct epithelial cell;lung neuroendocrine cell;type I pneumocyte;type II pneumocyte;pulmonary ionocyte;brush cell of bronchus;club cell;basal epithelial cell of tracheobronchial tree;kidney distal convoluted tubule epithelial cell;macula densa epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle medullary thick ascending limb epithelial cell;kidney loop of Henle cortical thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney connecting tubule epithelial cell;kidney loop of Henle thin descending limb epithelial cell;lung ciliated cell,CDH;CDH1,8.095,4.528,8.095,37567,10943,-0.838
CDX1,,,no,True,ENSG00000113722,Homeobox protein CDX-1 (Caudal-type homeobox protein 1),Nucleus,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;intestinal crypt stem cell of colon;enterocyte of epithelium of large intestine;intestine goblet cell;large intestine goblet cell;colon goblet cell;enteroendocrine cell of colon;paneth cell;paneth cell of colon;tuft cell of colon;M cell of gut;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;transit amplifying cell of colon;transit amplifying cell of small intestine,,0.16,0.12,0.16,743,289,-0.421
CFC1,,,no,True,ENSG00000136698,Cryptic protein (Cryptic family protein 1),Cell membrane,lung neuroendocrine cell,,0.074,0.119,0.119,342,287,0.688
CFTR,,,no,True,ENSG00000001626,Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase),Apical cell membrane,intestinal crypt stem cell of colon;pancreatic ductal cell;cholangiocyte;columnar/cuboidal epithelial cell;pulmonary ionocyte;lung goblet cell;bronchial goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;periportal region hepatocyte;M cell of gut;ionocyte,,0.187,0.161,0.187,869,388,-0.222
CHGA,,,no,False,,,,,,0.311,0.24,0.311,1444,580,-0.375
CHRM3,,,no,True,ENSG00000133019,Muscarinic acetylcholine receptor M3,Cell membrane,kidney capillary endothelial cell;epithelial cell of sweat gland;smooth muscle cell of sphincter of pupil;ciliary muscle cell;stellate neuron;visceromotor neuron,Ach,0.041,0.043,0.043,192,104,0.057
CHRNA3,,,no,True,ENSG00000080644,Neuronal acetylcholine receptor subunit alpha-3,Postsynaptic cell membrane,neuroendocrine cell;chromaffin cell;immature alpha-beta T cell;enteric neuron;visceromotor neuron;peripheral nervous system neuron;sympathetic neuron,SLURP,0.121,0.097,0.121,563,235,-0.319
CHRNA7,,,no,True,ENSG00000175344,Neuronal acetylcholine receptor subunit alpha-7,Postsynaptic cell membrane,neuroendocrine cell;chromaffin cell;cortical cell of adrenal gland,SLURP;Ach,0.134,0.139,0.139,622,336,0.053
CLNK,,,no,True,ENSG00000109684,Cytokine-dependent hematopoietic cell linker (Mast cell immunoreceptor signal transducer),Cytoplasm,kidney collecting duct epithelial cell;kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;ionocyte;kidney collecting duct cell,,1.565,0.883,1.565,7265,2135,-0.825
CREG1,,,no,True,ENSG00000143162,Protein CREG1 (Cellular repressor of E1A-stimulated genes 1),Secreted,intestinal tuft cell;tuft cell of colon;elicited macrophage;alternatively activated macrophage;Hofbauer cell,,8.319,6.734,8.319,38607,16275,-0.305
CRNDE,,,no,True,ENSG00000245694,,,multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;luminal epithelial cell of mammary gland;lung neuroendocrine cell;bronchial epithelial cell;mammary gland epithelial cell;ovarian surface epithelial cell;neuron;tracheobronchial serous cell,,0.256,0.432,0.432,1186,1044,0.757
CYP11A1,,,no,True,ENSG00000140459,"Cholesterol side-chain cleavage enzyme, mitochondrial",Mitochondrion inner membrane,Sertoli cell;neuroendocrine cell;chromaffin cell;mesothelial cell;glandular epithelial cell;cortical cell of adrenal gland;Leydig cell;extravillous trophoblast;syncytiotrophoblast cell;sympathetic neuron;theca cell,,0.057,0.057,0.057,263,138,0.011
CYP17A1,,,no,True,ENSG00000148795,"Steroid 17-alpha-hydroxylase/17,20 lyase",Endoplasmic reticulum membrane,epithelial cell;neuroendocrine cell;chromaffin cell;glandular epithelial cell;cortical cell of adrenal gland;Leydig cell;sympathetic neuron,,0.194,0.125,0.194,901,302,-0.636
DCLK1,,,no,True,ENSG00000133083,Serine/threonine-protein kinase DCLK1,,brush cell of bronchus;intestinal tuft cell;skeletal muscle fibroblast;neural cell;astrocyte;neuron;ganglion interneuron;Purkinje cell;GABAergic neuron;glutamatergic neuron;alveolar type 2 fibroblast cell;preadipocyte;fibroblast of cardiac tissue;adventitial cell;fibro/adipogenic progenitor cell,,0.231,0.401,0.401,1070,970,0.8
DDC,,,no,True,ENSG00000132437,Aromatic-L-amino-acid decarboxylase (AADC),,neuroendocrine cell;type EC enteroendocrine cell;lung neuroendocrine cell;type L enteroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of small intestine;enteroendocrine cell of colon;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal rod cell,,0.066,0.132,0.132,308,319,0.992
DKK3,,,no,True,ENSG00000050165,Dickkopf-related protein 3 (Dickkopf-3) (Dkk-3) (hDkk-3),Secreted,myoepithelial cell;myoepithelial cell of mammary gland;brush cell;intestinal tuft cell;tuft cell of colon;muscle cell;smooth muscle cell;radial glial cell;Mueller cell;neuron;pulmonary interstitial fibroblast;bronchus fibroblast of lung,,0.379,0.401,0.401,1760,968,0.079
DLL3,,,no,True,ENSG00000090932,Delta-like protein 3 (Drosophila Delta homolog 3) (Delta3),Membrane,glioblast;Schwann cell precursor;lung neuroendocrine cell;enteric neuron;peripheral nervous system neuron,NOTCH,0.074,0.074,0.074,343,180,0.011
DMRT2,,,no,True,ENSG00000173253,Doublesex- and mab-3-related transcription factor 2 (Doublesex-like 2 protein) (DSXL-2),Nucleus,kidney collecting duct epithelial cell;kidney collecting duct intercalated cell;renal intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;epithelial cell of thymus;ionocyte;kidney collecting duct cell,,2.255,1.841,2.255,10465,4450,-0.292
