gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
ACAP1,,,no,True,ENSG00000072818,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)",Recycling endosome membrane,"hematopoietic cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector CD4-positive, alpha-beta T cell;DN3 thymocyte;decidual natural killer cell, human;group 2 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;DN1 thymic pro-T cell",,13.552,9.46,13.552,62892,22864,-0.519
ADA,,,no,True,ENSG00000196839,Adenosine deaminase,Cell membrane,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",,3.013,2.14,3.013,13981,5171,-0.494
AEBP1,,,no,True,ENSG00000106624,Adipocyte enhancer-binding protein 1 (AE-binding protein 1) (Aortic carboxypeptidase-like protein),Cytoplasm,"preosteoblast;bronchial smooth muscle cell;smooth muscle cell of prostate;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;connective tissue cell;fibroblast;keratocyte;reticular cell;pancreatic stellate cell;fibroblast of mammary gland;skin fibroblast;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;tendon cell;adventitial cell",,2.214,2.193,2.214,10277,5300,-0.014
AIP,,,no,True,ENSG00000110711,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),Cytoplasm,DN4 thymocyte;B cell,,3.782,2.065,3.782,17554,4990,-0.873
ALYREF,,,no,True,ENSG00000183684,THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF),Nucleus,DN4 thymocyte;erythroid progenitor cell;proerythroblast;common dendritic progenitor;hematopoietic precursor cell;myeloid lineage restricted progenitor cell,,6.057,3.903,6.057,28111,9434,-0.634
ANP32E,,,no,True,ENSG00000143401,Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L),Cytoplasm,"double-positive, alpha-beta thymocyte;T-helper 17 cell;DN4 thymocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",,2.649,2.556,2.649,12292,6178,-0.051
AP3M2,,,no,True,ENSG00000070718,AP-3 complex subunit mu-2 (Adaptor-related protein complex 3 subunit mu-2) (Clathrin assembly protein assembly protein complex 3 mu-2 medium chain) (Clathrin coat assembly protein AP47 homolog 2) (Clathrin coat-associated protein AP47 homolog 2) (Golgi adaptor AP-1 47 kDa protein homolog 2) (HA1 47 kDa subunit homolog 2) (Mu3B-adaptin) (P47B),Golgi apparatus;Cytoplasmic vesicle membrane,"CD4-positive, alpha-beta memory T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte",,0.492,0.442,0.492,2282,1069,-0.153
APEX1,,,no,True,ENSG00000100823,DNA-(apurinic or apyrimidinic site) endonuclease,Nucleus,glioblast;Schwann cell precursor;bone marrow cell;granulocyte monocyte progenitor cell;professional antigen presenting cell;dendritic cell;common dendritic progenitor;macrophage dendritic cell progenitor;basophil mast progenitor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;early T lineage precursor,,10.997,6.287,10.997,51036,15195,-0.807
ASPM,,,no,True,ENSG00000066279,Abnormal spindle-like microcephaly-associated protein (Abnormal spindle protein homolog) (Asp homolog),Cytoplasm,DN4 thymocyte;erythroid lineage cell;pro-B cell;salivary gland cell;transit amplifying cell of small intestine,,0.325,0.285,0.325,1508,690,-0.187
BCL11B,,,no,True,ENSG00000127152,B-cell lymphoma/leukemia 11B (BCL-11B) (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein) (hRit1),Nucleus,"lymphocyte;T cell;alpha-beta T cell;double-positive, alpha-beta thymocyte;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;naive thymus-derived CD8-positive, alpha-beta T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;central memory CD8-positive, alpha-beta T cell;type I NK T cell;mature T cell;memory T cell;regulatory T cell;naive T cell;immature T cell;thymocyte;double negative thymocyte;DN3 thymocyte;DN4 thymocyte;DN1 thymic pro-T cell;early T lineage precursor",,3.184,3.17,3.184,14778,7662,-0.006
