gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio
ACAP1,,,no,True,ENSG00000072818,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)",Recycling endosome membrane,"hematopoietic cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector CD4-positive, alpha-beta T cell;DN3 thymocyte;decidual natural killer cell, human;group 2 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;DN1 thymic pro-T cell",,13.552,9.46,13.552,62892,22864,-0.519
ADA,,,no,True,ENSG00000196839,Adenosine deaminase,Cell membrane,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",,3.013,2.14,3.013,13981,5171,-0.494
AEBP1,,,no,True,ENSG00000106624,Adipocyte enhancer-binding protein 1 (AE-binding protein 1) (Aortic carboxypeptidase-like protein),Cytoplasm,"preosteoblast;bronchial smooth muscle cell;smooth muscle cell of prostate;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;connective tissue cell;fibroblast;keratocyte;reticular cell;pancreatic stellate cell;fibroblast of mammary gland;skin fibroblast;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;tendon cell;adventitial cell",,2.214,2.193,2.214,10277,5300,-0.014
AMFR,,,no,True,ENSG00000159461,E3 ubiquitin-protein ligase AMFR,Endoplasmic reticulum membrane,"kidney collecting duct intercalated cell;phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;CD8-positive, alpha-beta T cell;mature gamma-delta T cell;megakaryocyte",,3.438,2.55,3.438,15955,6163,-0.431
AOAH,,,no,True,ENSG00000136250,Acyloxyacyl hydrolase,Secreted,"macrophage;tissue-resident macrophage;Kupffer cell;central nervous system macrophage;microglial cell;mature microglial cell;hematopoietic cell;leukocyte;myeloid leukocyte;activated CD8-positive, alpha-beta T cell;innate lymphoid cell;CD16-positive, CD56-dim natural killer cell, human;immature innate lymphoid cell;myeloid cell",,5.485,4.466,5.485,25454,10793,-0.297
AP3M2,,,no,True,ENSG00000070718,AP-3 complex subunit mu-2 (Adaptor-related protein complex 3 subunit mu-2) (Clathrin assembly protein assembly protein complex 3 mu-2 medium chain) (Clathrin coat assembly protein AP47 homolog 2) (Clathrin coat-associated protein AP47 homolog 2) (Golgi adaptor AP-1 47 kDa protein homolog 2) (HA1 47 kDa subunit homolog 2) (Mu3B-adaptin) (P47B),Golgi apparatus;Cytoplasmic vesicle membrane,"CD4-positive, alpha-beta memory T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte",,0.492,0.442,0.492,2282,1069,-0.153
APOBEC3G,,,no,True,ENSG00000239713,DNA dC->dU-editing enzyme APOBEC-3G,Cytoplasm;Nucleus;Cytoplasm,"plasmablast;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mucosal invariant T cell;mature gamma-delta T cell;mature T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;decidual natural killer cell, human;ILC1, human",,1.213,1.137,1.213,5628,2748,-0.093
APOL2,,,no,True,ENSG00000128335,Apolipoprotein L2 (Apolipoprotein L-II) (ApoL-II),Cytoplasm,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell,,4.081,4.157,4.157,18938,10048,0.027
ARF6,,,no,True,ENSG00000165527,ADP-ribosylation factor 6,Cytoplasm,"epithelial cell of urethra;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;decidual natural killer cell, human",,2.899,2.614,2.899,13452,6318,-0.149
ATG2A,,,no,True,ENSG00000110046,Autophagy-related protein 2 homolog A,Preautophagosomal structure membrane,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",,1.93,0.981,1.93,8959,2371,-0.977
