gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio
DNTT,,,no,True,ENSG00000107447,DNA nucleotidylexotransferase,Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;hematopoietic precursor cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor",,0.348,0.396,0.396,1613,956,0.187
LIG4,,,no,True,ENSG00000174405,DNA ligase 4,Nucleus,,,1.272,1.671,1.671,5903,4038,0.393
PRKDC,,,no,True,ENSG00000253729,DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs),Nucleus,fallopian tube secretory epithelial cell,,7.546,7.858,7.858,35020,18992,0.058
PTCRA,,,no,False,,,,,,0.259,0.19,0.259,1201,458,-0.45
RAG1,,,no,True,ENSG00000166349,V(D)J recombination-activating protein 1 (RAG-1) (RING finger protein 74),Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;precursor B cell;small pre-B-II cell;pre-B-I cell;late pro-B cell;hematopoietic precursor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;common lymphoid progenitor",,0.169,0.27,0.27,785,653,0.676
RAG2,,,no,False,,,,,,0.086,0.185,0.185,401,446,1.095
TRAC,,,no,False,,,,,,31.423,40.729,40.729,145832,98438,0.374
TRAV1-2,,,no,False,,,,,,0.395,0.883,0.883,1835,2134,1.159
TRAV24,,,no,False,,,,,,0.334,0.523,0.523,1550,1264,0.647
TRBC2,,,no,False,,,,,,27.44,36.46,36.46,127346,88119,0.41
TRBV6-4,,,no,False,,,,,,0.08,0.125,0.125,369,302,0.652
TRDC,,,no,True,ENSG00000211829,T cell receptor delta constant,Cell membrane,"mononuclear cell;lymphocyte;T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;gamma-delta T cell;mature gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;innate lymphoid cell;natural killer cell;immature natural killer cell;CD16-negative, CD56-bright natural killer cell, human;decidual natural killer cell, human;ILC1, human;group 2 innate lymphoid cell;group 2 innate lymphoid cell, human;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;lymphoid lineage restricted progenitor cell;pro-T cell",,0.545,0.69,0.69,2530,1668,0.34
TRGC2,,,no,False,,,,,,0.894,1.575,1.575,4149,3806,0.817
XRCC4,,,no,True,ENSG00000152422,DNA repair protein XRCC4 (hXRCC4) (X-ray repair cross-complementing protein 4),Nucleus,,,0.895,0.74,0.895,4154,1788,-0.275
XRCC6,,,no,True,ENSG00000196419,X-ray repair cross-complementing protein 6,Nucleus,,,13.659,10.125,13.659,63388,24470,-0.432
