gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio
AIRE,,,no,True,ENSG00000160224,Autoimmune regulator (Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein) (APECED protein),Nucleus,medullary thymic epithelial cell,,1.029,0.641,1.029,4777,1549,-0.684
B2M,,,no,False,,,,,,63.118,52.943,63.118,292926,127957,-0.254
BAD,,,no,True,ENSG00000002330,Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death),Mitochondrion outer membrane;Cytoplasm,,,1.013,0.479,1.013,4702,1158,-1.08
BAX,,,no,True,ENSG00000087088,Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4),Cytoplasm,,,2.609,1.904,2.609,12106,4602,-0.454
BCL2,,,no,True,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,3.767,2.743,3.767,17483,6629,-0.458
BCL2L11,,,no,True,ENSG00000153094,Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death),Endomembrane system,,,1.843,0.807,1.843,8555,1951,-1.191
CASP3,,,no,True,ENSG00000164305,Caspase-3 (CASP-3),Cytoplasm,"erythroid progenitor cell;erythroid progenitor cell, mammalian",,3.016,3.198,3.198,13998,7729,0.084
CASP9,,,no,True,ENSG00000132906,Caspase-9 (CASP-9),,,,0.967,0.979,0.979,4488,2367,0.018
CD74,,,no,False,,,,,,46.075,30.027,46.075,213830,72571,-0.618
CIITA,,,no,True,ENSG00000179583,MHC class II transactivator (CIITA),Nucleus,professional antigen presenting cell;dendritic cell;CD141-positive myeloid dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell,,8.247,9.514,9.514,38273,22993,0.206
CYCS,,,no,True,ENSG00000172115,Cytochrome c,Mitochondrion intermembrane space,epithelial cell of urethra;osteoclast;fibroblast of connective tissue of nonglandular part of prostate,,1.368,1.938,1.938,6349,4684,0.502
ERAP1,,,no,True,ENSG00000164307,Endoplasmic reticulum aminopeptidase 1,Endoplasmic reticulum membrane,skeletal muscle fiber;cell of skeletal muscle,,6.917,4.776,6.917,32099,11542,-0.534
FEZF2,,,no,True,ENSG00000153266,Fez family zinc finger protein 2 (Forebrain embryonic zinc finger-like protein 2) (Zinc finger protein 312) (Zinc finger protein Fez-like),Nucleus,,,0.707,0.539,0.707,3280,1303,-0.391
HRK,,,no,False,,,,,,0.19,0.307,0.307,881,741,0.692
NR4A1,,,no,True,ENSG00000123358,Nuclear receptor subfamily 4immunitygroup A member 1 (Early response protein NAK1) (Nuclear hormone receptor NUR/77) (Nur77) (Orphan nuclear receptor HMR) (Orphan nuclear receptor TR3) (ST-59) (Testicular receptor 3),Nucleus,intestinal crypt stem cell of large intestine;paneth cell of epithelium of small intestine;vascular associated smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;B cell;tendon cell,,1.832,3.614,3.614,8504,8735,0.98
NR4A3,,,no,True,ENSG00000119508,Nuclear receptor subfamily 4 group A member 3 (Mitogen-induced nuclear orphan receptor) (Neuron-derived orphan receptor 1) (Nuclear hormone receptor NOR-1),Nucleus,inflammatory macrophage;dendritic cell;liver dendritic cell;fibroblast of connective tissue of nonglandular part of prostate,,0.193,0.278,0.278,897,671,0.522
PMAIP1,,,no,True,ENSG00000141682,Phorbol-12-myristate-13-acetate-induced protein 1 (PMA-induced protein 1) (Immediate-early-response protein APR) (Protein Noxa),Mitochondrion,stem cell of epidermis;epithelial cell of lacrimal sac;keratinocyte;urothelial cell;bladder urothelial cell;epithelial cell of uterus;cortical thymic epithelial cell;epidermal cell;conjunctival epithelial cell;naive regulatory T cell;bladder cell,,0.592,0.446,0.592,2746,1077,-0.409
PSMB10,,,no,False,,,,,,14.328,8.84,14.328,66497,21365,-0.697
PSMB8,,,no,False,,,,,,8.06,5.111,8.06,37404,12352,-0.657
PSMB9,,,no,False,,,,,,8.718,5.961,8.718,40459,14407,-0.548
TAP1,,,no,True,ENSG00000168394,Antigen peptide transporter 1 (APT1),Endoplasmic reticulum membrane,"leukocyte;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;plasmablast;mononuclear cell;alpha-beta T cell;mature alpha-beta T cell;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;mucosal invariant T cell;mature T cell;exhausted T cell;pre-conventional dendritic cell",,8.411,4.719,8.411,39035,11405,-0.834
TAP2,,,no,True,ENSG00000204267,Antigen peptide transporter 2 (APT2),Endoplasmic reticulum membrane,CD141-positive myeloid dendritic cell,,7.004,5.138,7.004,32507,12417,-0.447
