gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
ACP5,,,no,True,ENSG00000102575,Tartrate-resistant acid phosphatase type 5 (TR-AP),Lysosome,macrophage;tissue-resident macrophage;alveolar macrophage;colon macrophage;lung macrophage;mononuclear phagocyte;osteoclast;basophil;professional antigen presenting cell;Langerhans cell;intermediate monocyte;mononuclear cell;lymphocyte;B cell,,1.752,1.487,1.752,8129,3593,-0.237
ACVRL1,,,no,True,ENSG00000139567,Serine/threonine-protein kinase receptor R3 (SKR3),Cell membrane,mesenchymal stem cell;epithelial cell;blood vessel endothelial cell;endothelial cell of umbilical vein;vasa recta descending limb cell;endothelial cell of artery;capillary endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;fibroblast of breast,BMP10,0.962,1.069,1.069,4463,2583,0.152
ADA,,,no,True,ENSG00000196839,Adenosine deaminase,Cell membrane,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",,3.013,2.14,3.013,13981,5171,-0.494
ADAM28,,,no,True,ENSG00000042980,Disintegrin and metalloproteinase domain-containing protein 28 (ADAM 28),Secreted,basal cell of epithelium of trachea;lung goblet cell;macrophage;tissue-resident macrophage;central nervous system macrophage;microglial cell;mature microglial cell;professional antigen presenting cell;memory B cell;unswitched memory B cell;class switched memory B cell,,2.139,1.371,2.139,9928,3314,-0.642
ADAMTS1,,,no,True,ENSG00000154734,A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1),Secreted,vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;lung microvascular endothelial cell;lung endothelial cell;muscle cell;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;smooth muscle cell of prostate;myofibroblast cell;pericyte;mural cell,,1.521,0.92,1.521,7061,2224,-0.725
ADAMTS4,,,no,True,ENSG00000158859,A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta ascending limb cell;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;smooth muscle cell of prostate;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;myofibroblast cell;pericyte;mural cell,,0.111,0.139,0.139,516,335,0.318
ADGRL4,,,no,True,ENSG00000162618,"Adhesion G protein-coupled receptor L4 (EGF, latrophilin and seven transmembrane domain-containing protein 1) (EGF-TM7-latrophilin-related protein) (ETL protein)",Cell membrane,epithelial cell;squamous epithelial cell;blood vessel endothelial cell;endothelial tip cell;vein endothelial cell;endothelial cell of umbilical vein;vasa recta ascending limb cell;vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;kidney capillary endothelial cell;glomerular capillary endothelial cell;capillary endothelial cell;lung microvascular endothelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;endothelial cell of uterus;cardiac endothelial cell,,0.488,0.51,0.51,2266,1232,0.062
AICDA,,,no,True,ENSG00000111732,Single-stranded DNA cytosine deaminase,Nucleus,germinal center B cell,,0.148,0.166,0.166,686,401,0.167
AIF1L,,,no,True,ENSG00000126878,Allograft inflammatory factor 1-like (Ionized calcium-binding adapter molecule 2),Cytoplasm,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;vasa recta descending limb cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle thin descending limb epithelial cell;extravillous trophoblast;kidney cell;kidney collecting duct cell,,0.368,0.293,0.368,1706,708,-0.328
AIM2,,,no,True,ENSG00000163568,Interferon-inducible protein AIM2 (Absent in melanoma 2),Cytoplasm,memory B cell;class switched memory B cell;follicular B cell,,0.443,0.455,0.455,2058,1100,0.038
AIP,,,no,True,ENSG00000110711,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),Cytoplasm,DN4 thymocyte;B cell,,3.782,2.065,3.782,17554,4990,-0.873
AKR1C3,,,no,True,ENSG00000196139,Aldo-keto reductase family 1 member C3,Cytoplasm,intestinal crypt stem cell of small intestine;enterocyte of epithelium of small intestine;intrahepatic cholangiocyte;paneth cell of epithelium of small intestine;urothelial cell;bladder urothelial cell;microfold cell of epithelium of small intestine;epithelial cell of small intestine;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;transit amplifying cell of small intestine;bladder cell,,0.668,0.442,0.668,3098,1069,-0.594
ALOX15,,,no,True,ENSG00000161905,"Polyunsaturated fatty acid lipoxygenase ALOX15 (12/15-lipoxygenase) (Arachidonate 12-lipoxygenase, leukocyte-type) (12-LOX)",Cytoplasm,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of trachea;multi-ciliated epithelial cell;lung goblet cell;glandular epithelial cell;goblet cell;respiratory goblet cell;tracheal goblet cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;bronchial epithelial cell;erythroid lineage cell,,0.409,0.29,0.409,1897,700,-0.497
ALOX5,,,no,True,ENSG00000012779,Polyunsaturated fatty acid 5-lipoxygenase,Cytoplasm,brush cell;intestinal tuft cell;tuft cell of colon;macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;basophil;eosinophil;Langerhans cell;B-1b B cell;mast cell,,2.944,2.156,2.944,13665,5210,-0.45
