gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
CXCL12,,,no,True,ENSG00000107562,Stromal cell-derived factor 1 (SDF-1) (hSDF-1) (C-X-C motif chemokine 12) (Intercrine reduced in hepatomas) (IRH) (hIRH) (Pre-B cell growth-stimulating factor) (PBSF),Secreted,mesenchymal stem cell;endothelial cell of artery;epithelial cell of thymus;cortical thymic epithelial cell;mesodermal cell;connective tissue cell;fibroblast;keratocyte;reticular cell;pulmonary interstitial fibroblast;fibroblast of lung;bronchus fibroblast of lung;fibroblast of mammary gland;skin fibroblast;mesenchymal cell;inflammatory cell,CXCL,6.174,5.534,6.174,28652,13374,-0.158
CXCR4,,,no,True,ENSG00000121966,C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184),Cell membrane,"mononuclear phagocyte;hematopoietic cell;leukocyte;mature conventional dendritic cell;liver dendritic cell;mature B cell;memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;follicular B cell;mononuclear cell;lymphocyte;CD4-positive helper T cell;T-helper 1 cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;type I NK T cell;DN3 thymocyte;B cell;immature B cell;precursor B cell;immature natural killer cell;DN1 thymic pro-T cell",CXCL;MIF,28.494,10.433,28.494,132239,25215,-1.45
DLK1,,,no,True,ENSG00000185559,Protein delta homolog 1 (DLK-1) (pG2),Membrane,skeletal muscle satellite stem cell;acinar cell;cortical cell of adrenal gland;Leydig cell;skeletal muscle satellite cell;neuron;sympathetic neuron;chondrocyte;stromal cell of ovary;interstitial cell of ovary;mesenchymal cell,NOTCH,0.428,0.495,0.495,1986,1197,0.211
DLL1,,,no,True,ENSG00000198719,Delta-like protein 1 (Drosophila Delta homolog 1) (Delta1) (H-Delta-1),Apical cell membrane,small intestine goblet cell;group 3 innate lymphoid cell,NOTCH,0.584,0.681,0.681,2711,1646,0.221
DLL3,,,no,True,ENSG00000090932,Delta-like protein 3 (Drosophila Delta homolog 3) (Delta3),Membrane,glioblast;Schwann cell precursor;lung neuroendocrine cell;enteric neuron;peripheral nervous system neuron,NOTCH,0.074,0.074,0.074,343,180,0.011
DLL4,,,no,True,ENSG00000128917,Delta-like protein 4 (Drosophila Delta homolog 4) (Delta4),Cell membrane,intestinal crypt stem cell of large intestine;endothelial cell of artery;small intestine goblet cell;fenestrated cell;glomerular endothelial cell,NOTCH,0.344,0.278,0.344,1597,671,-0.31
DTX1,,,no,True,ENSG00000135144,E3 ubiquitin-protein ligase DTX1,Cytoplasm;Nucleus,immature B cell;precursor B cell,,1.115,1.377,1.377,5174,3327,0.304
FLT3,,,no,True,ENSG00000122025,Receptor-type tyrosine-protein kinase FLT3,Membrane,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;dendritic cell;plasmacytoid dendritic cell, human;CD141-positive myeloid dendritic cell;conventional dendritic cell;hematopoietic multipotent progenitor cell;subcutaneous fat cell",FLT3,0.692,0.377,0.692,3211,912,-0.875
HES1,,,no,True,ENSG00000114315,Transcription factor HES-1 (Class B basic helix-loop-helix protein 39) (bHLHb39) (Hairy and enhancer of split 1) (Hairy homolog) (Hairy-like protein) (hHL),Nucleus,intestinal crypt stem cell of large intestine;basal cell of epithelium of bronchus;enterocyte;vasa recta ascending limb cell;glomerular capillary endothelial cell;fenestrated cell;glomerular endothelial cell;gut endothelial cell;endothelial cell of uterus;radial glial cell;Mueller cell;forebrain radial glial cell,,0.669,0.953,0.953,3106,2304,0.51
HEY1,,,no,True,ENSG00000164683,Hairy/enhancer-of-split related with YRPW motif protein 1 (Cardiovascular helix-loop-helix factor 2) (CHF-2) (Class B basic helix-loop-helix protein 31) (bHLHb31) (HES-related repressor protein 1) (Hairy and enhancer of split-related protein 1) (HESR-1) (Hairy-related transcription factor 1) (HRT-1) (hHRT1),Nucleus,endothelial cell of artery;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;preosteoblast,,1.072,0.72,1.072,4974,1740,-0.574
IL2RG,,,no,True,ENSG00000147168,Cytokine receptor common subunit gamma (Interleukin-2 receptor subunit gamma) (IL-2 receptor subunit gamma) (IL-2R subunit gamma) (IL-2RG) (gammaC) (p64) (CD antigen CD132),Cell membrane,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T-helper 17 cell;effector memory CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta cytotoxic T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;effector CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mucosal invariant T cell;exhausted T cell;intraepithelial lymphocyte;double negative thymocyte;innate lymphoid cell;natural killer cell;immature natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;group 2 innate lymphoid cell, human;group 3 innate lymphoid cell;hematopoietic multipotent progenitor cell;early T lineage precursor",IL2,6.388,5.975,6.388,29647,14441,-0.096
IL7,,,no,True,ENSG00000104432,Interleukin-7 (IL-7),Secreted,neuroendocrine cell;chromaffin cell,IL2,0.337,0.393,0.393,1565,950,0.221
IL7R,,,no,False,,,,,,27.132,10.793,27.132,125919,26085,-1.33
JAG2,,,no,False,,,,,,4.28,3.376,4.28,19863,8160,-0.342
JAK1,,,no,True,ENSG00000162434,Tyrosine-protein kinase JAK1,Endomembrane system,"mature conventional dendritic cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;mucosal invariant T cell;mature T cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;group 2 innate lymphoid cell, human;fibro/adipogenic progenitor cell",,8.522,4.606,8.522,39549,11131,-0.888
JAK3,,,no,True,ENSG00000105639,Tyrosine-protein kinase JAK3,Endomembrane system,"CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;mature NK T cell",,5.762,4.755,5.762,26740,11492,-0.277
KIT,,,no,True,ENSG00000157404,Mast/stem cell growth factor receptor Kit (SCFR),Cytoplasm,"kidney collecting duct intercalated cell;interstitial cell of Cajal;renal intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;brush cell;brush cell of trachebronchial tree;brush cell of trachea;brush cell of bronchus;intestinal tuft cell;tuft cell of colon;ionocyte;melanocyte of skin;granulocyte;basophil;mast cell;mucosal type mast cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",KIT,0.404,0.291,0.404,1875,703,-0.474
NOTCH1,,,no,True,ENSG00000148400,Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1),Cell membrane,,CNTN;NOTCH,4.537,7.153,7.153,21056,17287,0.657
NOTCH2,,,no,True,ENSG00000134250,Neurogenic locus notch homolog protein 2 (Notch 2) (hN2),Nucleus,,CNTN;NOTCH,9.305,7.074,9.305,43182,17098,-0.395
NOTCH3,,,no,True,ENSG00000074181,Neurogenic locus notch homolog protein 3 (Notch 3),Cell membrane,smooth muscle cell;vascular associated smooth muscle cell;smooth muscle cell of the pulmonary artery;myometrial cell;bronchial smooth muscle cell;smooth muscle myoblast;pericyte;renal interstitial pericyte;mural cell,NOTCH,1.209,1.179,1.209,5612,2850,-0.036
NOTCH4,,,no,True,ENSG00000204301,Neurogenic locus notch homolog protein 4 (Notch 4) (hNotch4),Cell membrane,squamous epithelial cell;blood vessel endothelial cell;endothelial tip cell;vasa recta ascending limb cell;vasa recta descending limb cell;endothelial cell of artery;kidney capillary endothelial cell;glomerular capillary endothelial cell;capillary endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree;endothelial cell of uterus;cardiac endothelial cell,NOTCH,1.714,1.852,1.852,7953,4476,0.112
NUMB,,,no,True,ENSG00000133961,Protein numb homolog (h-Numb) (Protein S171),Cell membrane,,,1.638,1.641,1.641,7601,3967,0.003
PSEN1,,,no,True,ENSG00000080815,Presenilin-1 (PS-1),Endoplasmic reticulum,,,0.65,0.597,0.65,3018,1442,-0.124
PSEN2,,,no,True,ENSG00000143801,Presenilin-2 (PS-2),Endoplasmic reticulum membrane,,,0.326,0.304,0.326,1511,734,-0.1
