gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
CD40,,,no,True,ENSG00000101017,Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40),Secreted,"medullary thymic epithelial cell;dendritic cell;myeloid dendritic cell, human;memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;B-1a B cell;germinal center B cell",CD40,1.403,1.077,1.403,6511,2604,-0.381
CD40LG,,,no,True,ENSG00000102245,CD40 ligand (CD40-L) (T-cell antigen Gp39) (TNF-related activation protein) (TRAP) (Tumor necrosis factor ligand superfamily member 5) (CD antigen CD154),Cell membrane,"T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T-helper 17 cell;T follicular helper cell;activated CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;type I NK T cell;mucosal invariant T cell;mature T cell;memory T cell;group 3 innate lymphoid cell",CD40,0.795,0.799,0.799,3689,1930,0.007
CYSLTR1,,,no,True,ENSG00000173198,Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor) (G-protein coupled receptor HG55) (HMTMF81),Cell membrane,mast cell;mucosal type mast cell;common dendritic progenitor,CysLTs,0.217,0.287,0.287,1008,693,0.401
CYSLTR2,,,no,True,ENSG00000152207,Cysteinyl leukotriene receptor 2 (CysLTR2) (G-protein coupled receptor GPCR21) (hGPCR21) (G-protein coupled receptor HG57) (HPN321),Cell membrane,pericyte;mural cell,CysLTs,0.123,0.234,0.234,572,565,0.923
FLT3,,,no,True,ENSG00000122025,Receptor-type tyrosine-protein kinase FLT3,Membrane,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;dendritic cell;plasmacytoid dendritic cell, human;CD141-positive myeloid dendritic cell;conventional dendritic cell;hematopoietic multipotent progenitor cell;subcutaneous fat cell",FLT3,0.692,0.377,0.692,3211,912,-0.875
ITGA2B,,,no,True,ENSG00000005961,Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41),Membrane,"hematopoietic stem cell;blood cell;basophil;platelet;megakaryocyte-erythroid progenitor cell;megakaryocyte;erythroid progenitor cell, mammalian;common myeloid progenitor",CD40;FN1;VTN;TENASCIN;VWF,0.048,0.049,0.049,222,119,0.042
ITGA5,,,no,True,ENSG00000161638,Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e),Cell membrane,squamous epithelial cell;blood vessel endothelial cell;endothelial tip cell;retinal blood vessel endothelial cell;endothelial cell;endothelial cell of vascular tree;surface ectodermal cell;smooth muscle cell of prostate;extravillous trophoblast;fibroblast of breast,CD40;SPP1;VISFATIN;ANGPTL;ANGPT;FN1,1.457,1.255,1.457,6763,3032,-0.216
ITGAM,,,no,True,ENSG00000169896,Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b),Cell membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;neutrophil;immature neutrophil;leukocyte;myeloid leukocyte;myelocyte;granulocytopoietic cell",CD40;COMPLEMENT;CD23;GP1BA;ICAM;JAM;THY1,0.905,1.456,1.456,4202,3520,0.686
ITGB2,,,no,True,ENSG00000160255,"Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)",Cell membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mononuclear cell;CD8-positive, alpha-beta cytotoxic T cell;innate lymphoid cell;natural killer cell;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;myeloid cell",CD40;COMPLEMENT;CD23;GP1BA;ICAM;JAM;THY1;VCAM,15.158,14.186,15.158,70345,34286,-0.096
ITGB3,,,no,True,ENSG00000259207,Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61),Cell membrane,blood cell;platelet;megakaryocyte-erythroid progenitor cell;megakaryocyte,NRG;IGF;CD40;SPP1;ANGPTL;PTN;PERIOSTIN;FN1;THBS;VTN;TENASCIN;VWF;BSP;DMP1;CD23;L1CAM;THY1;ADGRA;ADGRE;MMP,0.348,0.478,0.478,1615,1156,0.459
