gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
ACACA,,,no,ENSG00000278540,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,preadipocyte;brown preadipocyte;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,,1.327,1.283,1.327,6160,3100,-0.049,HALLMARK,mTORC1 Signaling,True
ACLY,,,no,ENSG00000131473,ATP-citrate synthase,Cytoplasm,type B pancreatic cell;pancreatic PP cell;PP cell;brown fat cell;epicardial adipocyte,,5.449,4.013,5.449,25288,9698,-0.441,HALLMARK,mTORC1 Signaling,True
ADIPOR2,,,no,ENSG00000006831,Adiponectin receptor protein 2 (Progestin and adipoQ receptor family member 2) (Progestin and adipoQ receptor family member II),Cell membrane,melanocyte;brown fat cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,ADIPONECTIN,1.457,1.054,1.457,6763,2547,-0.468,HALLMARK,mTORC1 Signaling,True
ALDOA,,,no,ENSG00000149925,Fructose-bisphosphate aldolase A,Cytoplasm,osteoclast;myeloid leukocyte;myeloid cell;rod bipolar cell;OFF-bipolar cell;glycinergic neuron,,4.339,2.235,4.339,20136,5402,-0.957,HALLMARK,mTORC1 Signaling,False
ATP2A2,,,no,ENSG00000174437,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2),Endoplasmic reticulum membrane,muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;slow muscle cell;smooth muscle cell of sphincter of pupil;ciliary muscle cell;muscle precursor cell;cardiac muscle myoblast,,7.083,5.048,7.083,32872,12200,-0.489,HALLMARK,mTORC1 Signaling,False
AURKA,,,no,ENSG00000087586,Aurora kinase A,Cytoplasm,,,0.408,0.389,0.408,1892,941,-0.066,HALLMARK,mTORC1 Signaling,True
BUB1,,,no,ENSG00000169679,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1),Nucleus;Chromosome,,,0.451,0.357,0.451,2092,862,-0.338,HALLMARK,mTORC1 Signaling,True
CACYBP,,,no,ENSG00000116161,Calcyclin-binding protein (CacyBP) (hCacyBP) (S100A6-binding protein) (Siah-interacting protein),Nucleus,pancreatic D cell;mast cell;mucosal type mast cell;double negative thymocyte;proerythroblast;early T lineage precursor,,1.782,1.796,1.796,8270,4341,0.011,HALLMARK,mTORC1 Signaling,False
CANX,,,no,ENSG00000127022,Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90),Endoplasmic reticulum membrane,fallopian tube secretory epithelial cell;IgG plasmablast;IgA plasmablast;serous cell of epithelium of bronchus,,7.354,4.775,7.354,34127,11541,-0.623,HALLMARK,mTORC1 Signaling,True
CCT6A,,,no,ENSG00000146731,T-complex protein 1 subunit zeta (TCP-1-zeta) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (HTR3) (Tcp20),Cytoplasm,"activated CD4-positive, alpha-beta T cell;proerythroblast",,5.99,4.025,5.99,27797,9729,-0.573,HALLMARK,mTORC1 Signaling,False
CD9,,,no,,,,,,6.846,5.546,6.846,31773,13405,-0.304,HALLMARK,mTORC1 Signaling,True
CDC25A,,,no,ENSG00000164045,M-phase inducer phosphatase 1,,,,0.204,0.159,0.204,947,384,-0.361,HALLMARK,mTORC1 Signaling,True
CDKN1A,,,no,ENSG00000124762,Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21),Cytoplasm,skeletal muscle satellite stem cell;epithelial cell of lacrimal sac;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;vascular associated smooth muscle cell;myometrial cell;skeletal muscle satellite cell;mature conventional dendritic cell;tendon cell,,5.455,6.248,6.248,25314,15101,0.196,HALLMARK,mTORC1 Signaling,False
CFP,,,no,ENSG00000126759,Properdin (Complement factor P),Secreted,"phagocyte;colon macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;leukocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mononuclear cell;peripheral blood mononuclear cell;myeloid cell;promonocyte;myelocyte;myeloid lineage restricted progenitor cell;granulocytopoietic cell",,2.338,1.315,2.338,10851,3178,-0.83,HALLMARK,mTORC1 Signaling,False
COPS5,,,no,ENSG00000121022,COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5),Cytoplasm,,,3.643,3.493,3.643,16908,8442,-0.061,HALLMARK,mTORC1 Signaling,True
CTH,,,no,ENSG00000116761,Cystathionine gamma-lyase (CGL) (CSE),Cytoplasm,,,0.212,0.374,0.374,982,904,0.822,HALLMARK,mTORC1 Signaling,True
CTSC,,,no,ENSG00000109861,Dipeptidyl peptidase 1,Lysosome,"type II pneumocyte;club cell;alveolar macrophage;lung macrophage;Hofbauer cell;plasmacytoid dendritic cell, human;lung secretory cell",,4.986,4.393,4.986,23141,10618,-0.183,HALLMARK,mTORC1 Signaling,False
CXCR4,,,no,ENSG00000121966,C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184),Cell membrane,"mononuclear phagocyte;hematopoietic cell;leukocyte;mature conventional dendritic cell;liver dendritic cell;mature B cell;memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;follicular B cell;mononuclear cell;lymphocyte;CD4-positive helper T cell;T-helper 1 cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;type I NK T cell;DN3 thymocyte;B cell;immature B cell;precursor B cell;immature natural killer cell;DN1 thymic pro-T cell",CXCL;MIF,28.494,10.433,28.494,132239,25215,-1.45,HALLMARK,mTORC1 Signaling,False
DDIT3,,,no,ENSG00000175197,DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153),Cytoplasm,epithelial cell of uterus;B cell;Mueller cell,,0.739,0.738,0.739,3428,1783,-0.002,HALLMARK,mTORC1 Signaling,False
DHCR24,,,no,ENSG00000116133,Delta(24)-sterol reductase,Endoplasmic reticulum membrane,intrahepatic cholangiocyte;cortical cell of adrenal gland;Leydig cell;serous cell of epithelium of trachea,,1.757,1.01,1.757,8154,2440,-0.799,HALLMARK,mTORC1 Signaling,True
DHCR7,,,no,ENSG00000172893,7-dehydrocholesterol reductase (7-DHC reductase),Endoplasmic reticulum membrane,cortical cell of adrenal gland;Leydig cell,,0.217,0.22,0.22,1009,532,0.018,HALLMARK,mTORC1 Signaling,True
DHFR,,,no,ENSG00000228716,Dihydrofolate reductase,Mitochondrion,primitive red blood cell,,1.023,1.143,1.143,4748,2762,0.16,HALLMARK,mTORC1 Signaling,True
EBP,,,no,ENSG00000147155,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",Endoplasmic reticulum membrane,T-helper 17 cell;exhausted T cell;transit amplifying cell of small intestine,,1.79,1.175,1.79,8306,2840,-0.607,HALLMARK,mTORC1 Signaling,True
EGLN3,,,no,ENSG00000129521,Prolyl hydroxylase EGLN3,Nucleus,epithelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;melanocyte of skin,,0.342,0.345,0.345,1588,835,0.014,HALLMARK,mTORC1 Signaling,False
FADS1,,,no,ENSG00000149485,Acyl-CoA (8-3)-desaturase,Endoplasmic reticulum membrane,connective tissue cell;fibroblast;fibroblast of lung;brown fat cell;sebaceous gland cell,,0.184,0.166,0.184,854,402,-0.146,HALLMARK,mTORC1 Signaling,False
