gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABAT,,,no,ENSG00000183044,"4-aminobutyrate aminotransferase, mitochondrial",Mitochondrion matrix,,,1.47,0.668,1.47,6822,1615,-1.137,HALLMARK,p53 Pathway,True
ACVR1B,,,no,ENSG00000135503,Activin receptor type-1B,Cell membrane,,TGFb;GDF;MSTN;NODAL;ACTIVIN,3.302,2.494,3.302,15323,6027,-0.405,HALLMARK,p53 Pathway,True
ADA,,,no,ENSG00000196839,Adenosine deaminase,Cell membrane,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",,3.013,2.14,3.013,13981,5171,-0.494,HALLMARK,p53 Pathway,False
APAF1,,,no,ENSG00000120868,Apoptotic protease-activating factor 1 (APAF-1),Cytoplasm,,,1.167,1.348,1.348,5418,3257,0.207,HALLMARK,p53 Pathway,True
APP,,,no,ENSG00000142192,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II),Cell membrane,epithelial cell;lens epithelial cell;anterior lens cell;endothelial tip cell;kidney capillary endothelial cell;glomerular capillary endothelial cell;lung endothelial cell;type B pancreatic cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;kidney loop of Henle thin ascending limb epithelial cell;surface ectodermal cell,APP,17.331,11.755,17.331,80430,28411,-0.56,HALLMARK,p53 Pathway,False
ATF3,,,no,ENSG00000162772,Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3),Nucleus,ileal goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;epithelial cell of uterus;vascular associated smooth muscle cell,,0.126,0.293,0.293,587,709,1.214,HALLMARK,p53 Pathway,False
BAIAP2,,,no,ENSG00000175866,Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2) (Protein BAP2) (Fas ligand-associated factor 3) (FLAF3) (Insulin receptor substrate p53/p58) (IRS-58) (IRSp53/58) (Insulin receptor substrate protein of 53 kDa) (IRSp53) (Insulin receptor substrate p53),Cytoplasm;Membrane,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte,,2.933,0.989,2.933,13614,2390,-1.569,HALLMARK,p53 Pathway,True
BAK1,,,no,ENSG00000030110,Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK) (Bcl-2-like protein 7) (Bcl2-L-7),Mitochondrion outer membrane,,,1.89,2.317,2.317,8771,5601,0.294,HALLMARK,p53 Pathway,True
BAX,,,no,ENSG00000087088,Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4),Cytoplasm,,,2.609,1.904,2.609,12106,4602,-0.454,HALLMARK,p53 Pathway,False
BMP2,,,no,ENSG00000125845,Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A),Secreted,endothelial cell of lymphatic vessel,BMP,0.232,0.248,0.248,1078,600,0.096,HALLMARK,p53 Pathway,False
CASP1,,,no,ENSG00000137752,Caspase-1 (CASP-1),Cytoplasm,"classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell;transit amplifying cell of small intestine",,2.138,2.158,2.158,9923,5215,0.013,HALLMARK,p53 Pathway,False
CCND2,,,no,ENSG00000118971,G1/S-specific cyclin-D2,Nucleus,"intestinal crypt stem cell of small intestine;IgG plasmablast;IgA plasmablast;activated CD4-positive, alpha-beta T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;neural progenitor cell",,3.517,5.864,5.864,16320,14172,0.738,HALLMARK,p53 Pathway,False
CCND3,,,no,ENSG00000112576,G1/S-specific cyclin-D3,Nucleus,"platelet;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;late pro-B cell;immature natural killer cell;CD16-positive, CD56-dim natural killer cell, human;megakaryocyte;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",,3.737,2.546,3.737,17341,6153,-0.554,HALLMARK,p53 Pathway,False
CD82,,,no,ENSG00000085117,CD82 antigen (C33 antigen) (IA4) (Inducible membrane protein R2) (Metastasis suppressor Kangai-1) (Suppressor of tumorigenicity 6 protein) (Tetraspanin-27) (Tspan-27) (CD antigen CD82),Cell membrane,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;follicular dendritic cell;eosinophil;erythroid progenitor cell, mammalian;basophil mast progenitor cell;pro-T cell;early T lineage precursor",,3.463,2.54,3.463,16073,6140,-0.447,HALLMARK,p53 Pathway,False
CDH13,,,no,ENSG00000140945,Cadherin-13 (Heart cadherin) (H-cadherin) (P105) (Truncated cadherin) (T-cad) (T-cadherin),Cell membrane,basal cell of epidermis;stem cell of epidermis;basal epithelial cell of prostatic duct;lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast,,0.345,0.501,0.501,1599,1211,0.54,HALLMARK,p53 Pathway,True
CDKN1A,,,no,ENSG00000124762,Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21),Cytoplasm,skeletal muscle satellite stem cell;epithelial cell of lacrimal sac;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;vascular associated smooth muscle cell;myometrial cell;skeletal muscle satellite cell;mature conventional dendritic cell;tendon cell,,5.455,6.248,6.248,25314,15101,0.196,HALLMARK,p53 Pathway,False
