gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
ADD1,,,no,ENSG00000087274,Alpha-adducin (Erythrocyte adducin subunit alpha),Cytoplasm,neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal rod cell,,12.723,8.669,12.723,59045,20953,-0.553,HALLMARK,Apoptosis,True
APP,,,no,ENSG00000142192,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II),Cell membrane,epithelial cell;lens epithelial cell;anterior lens cell;endothelial tip cell;kidney capillary endothelial cell;glomerular capillary endothelial cell;lung endothelial cell;type B pancreatic cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;kidney loop of Henle thin ascending limb epithelial cell;surface ectodermal cell,APP,17.331,11.755,17.331,80430,28411,-0.56,HALLMARK,Apoptosis,False
ATF3,,,no,ENSG00000162772,Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3),Nucleus,ileal goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;epithelial cell of uterus;vascular associated smooth muscle cell,,0.126,0.293,0.293,587,709,1.214,HALLMARK,Apoptosis,False
AVPR1A,,,no,ENSG00000166148,Vasopressin V1a receptor (V1aR) (AVPR V1a) (Antidiuretic hormone receptor 1a) (Vascular/hepatic-type arginine vasopressin receptor),Cell membrane,smooth muscle cell;vascular associated smooth muscle cell;uterine smooth muscle cell;smooth muscle cell of prostate;pericyte;mural cell,AVP,0.327,0.422,0.422,1516,1019,0.368,HALLMARK,Apoptosis,False
BAX,,,no,ENSG00000087088,Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4),Cytoplasm,,,2.609,1.904,2.609,12106,4602,-0.454,HALLMARK,Apoptosis,False
BCL10,,,no,ENSG00000142867,B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (CARD-containing molecule enhancing NF-kappa-B) (CARD-like apoptotic protein) (hCLAP) (CED-3/ICH-1 prodomain homologous E10-like regulator) (CIPER) (Cellular homolog of vCARMEN) (cCARMEN) (Cellular-E10) (c-E10) (Mammalian CARD-containing adapter molecule E10) (mE10),Cytoplasm,luminal epithelial cell of mammary gland;epithelial cell of uterus;mammary gland epithelial cell;epithelial cell of urethra,,1.649,1.333,1.649,7653,3222,-0.307,HALLMARK,Apoptosis,True
BCL2L1,,,no,ENSG00000171552,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),Mitochondrion inner membrane,erythrocyte;enucleate erythrocyte;reticulocyte;enucleated reticulocyte,,5.766,4.478,5.766,26759,10823,-0.365,HALLMARK,Apoptosis,True
BCL2L11,,,no,ENSG00000153094,Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death),Endomembrane system,,,1.843,0.807,1.843,8555,1951,-1.191,HALLMARK,Apoptosis,False
BCL2L2,,,no,ENSG00000129473,Bcl-2-like protein 2 (Bcl2-L-2) (Apoptosis regulator Bcl-W),Mitochondrion membrane,,,3.394,3.369,3.394,15752,8142,-0.011,HALLMARK,Apoptosis,True
BID,,,no,ENSG00000015475,BH3-interacting domain death agonist (p22 BID) (BID),Cytoplasm,"CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;non-classical monocyte;pre-conventional dendritic cell",,0.9,1.172,1.172,4178,2833,0.381,HALLMARK,Apoptosis,False
BIK,,,no,ENSG00000100290,Bcl-2-interacting killer (Apoptosis inducer NBK) (BIP1) (BP4),Endomembrane system,pulmonary ionocyte;brush cell;brush cell of trachebronchial tree;brush cell of bronchus;intestinal tuft cell;tuft cell of colon;ionocyte,,0.357,0.355,0.357,1657,859,-0.007,HALLMARK,Apoptosis,False
BMF,,,no,,,,,,4.771,3.45,4.771,22142,8339,-0.468,HALLMARK,Apoptosis,True
BMP2,,,no,ENSG00000125845,Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A),Secreted,endothelial cell of lymphatic vessel,BMP,0.232,0.248,0.248,1078,600,0.096,HALLMARK,Apoptosis,False
BRCA1,,,no,ENSG00000012048,Breast cancer type 1 susceptibility protein,Nucleus,,,0.335,0.46,0.46,1556,1111,0.455,HALLMARK,Apoptosis,True
CASP1,,,no,ENSG00000137752,Caspase-1 (CASP-1),Cytoplasm,"classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell;transit amplifying cell of small intestine",,2.138,2.158,2.158,9923,5215,0.013,HALLMARK,Apoptosis,False
CASP2,,,no,ENSG00000106144,Caspase-2 (CASP-2),,,,5.403,5.34,5.403,25076,12905,-0.017,HALLMARK,Apoptosis,True
CASP3,,,no,ENSG00000164305,Caspase-3 (CASP-3),Cytoplasm,"erythroid progenitor cell;erythroid progenitor cell, mammalian",,3.016,3.198,3.198,13998,7729,0.084,HALLMARK,Apoptosis,False
CASP6,,,no,ENSG00000138794,Caspase-6 (CASP-6) (CSP-6),Cytoplasm,intestinal tuft cell;tuft cell of colon,,1.519,1.247,1.519,7051,3013,-0.285,HALLMARK,Apoptosis,False
CASP7,,,no,ENSG00000165806,Caspase-7 (CASP-7),Cytoplasm,respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell,,0.798,1.029,1.029,3703,2488,0.368,HALLMARK,Apoptosis,False
