gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
ACKR3,,,no,ENSG00000144476,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),Cell membrane,mesenchymal stem cell;endothelial cell of lymphatic vessel;endocardial cell;endosteal cell;surface ectodermal cell;keratocyte;fibroblast of breast;myofibroblast cell,CXCL;MIF,0.461,0.65,0.65,2141,1570,0.494,HALLMARK,Hypoxia,False
ADM,,,no,ENSG00000148926,Pro-adrenomedullin,Secreted,glomerular capillary endothelial cell;trophoblast giant cell;extravillous trophoblast;myeloid cell;fibroblast of breast;white fat cell,CALCR;ADM,1.22,0.758,1.22,5664,1833,-0.686,HALLMARK,Hypoxia,False
ADORA2B,,,no,ENSG00000170425,Adenosine receptor A2b,Cell membrane,,CD39;Adenosine,0.069,0.086,0.086,322,209,0.318,HALLMARK,Hypoxia,True
ALDOA,,,no,ENSG00000149925,Fructose-bisphosphate aldolase A,Cytoplasm,osteoclast;myeloid leukocyte;myeloid cell;rod bipolar cell;OFF-bipolar cell;glycinergic neuron,,4.339,2.235,4.339,20136,5402,-0.957,HALLMARK,Hypoxia,False
ANGPTL4,,,no,ENSG00000167772,Angiopoietin-related protein 4 (Angiopoietin-like protein 4) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP),Secreted,endothelial tip cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;mature astrocyte;subcutaneous fat cell;epicardial adipocyte,ANGPTL,0.159,0.079,0.159,737,192,-0.999,HALLMARK,Hypoxia,False
ANKZF1,,,no,ENSG00000163516,tRNA endonuclease ANKZF1,Cytoplasm,,,7.148,4.551,7.148,33175,10999,-0.651,HALLMARK,Hypoxia,True
ANXA2,,,no,ENSG00000182718,Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36),Secreted,basal cell of epithelium of bronchus;pancreatic ductal cell;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;bronchial epithelial cell;epithelial cell of urethra;conjunctival epithelial cell;T cell,,16.021,9.825,16.021,74352,23747,-0.705,HALLMARK,Hypoxia,True
ATF3,,,no,ENSG00000162772,Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3),Nucleus,ileal goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;epithelial cell of uterus;vascular associated smooth muscle cell,,0.126,0.293,0.293,587,709,1.214,HALLMARK,Hypoxia,False
ATP7A,,,no,ENSG00000165240,Copper-transporting ATPase 1,Golgi apparatus,pulmonary ionocyte;ionocyte,,1.149,1.123,1.149,5333,2715,-0.033,HALLMARK,Hypoxia,False
BCAN,,,no,ENSG00000132692,Brevican core protein (Brain-enriched hyaluronan-binding protein) (BEHAB) (Chondroitin sulfate proteoglycan 7),Secreted,radial glial cell;forebrain radial glial cell;neural progenitor cell,,0.102,0.091,0.102,472,220,-0.16,HALLMARK,Hypoxia,True
BCL2,,,no,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,3.767,2.743,3.767,17483,6629,-0.458,HALLMARK,Hypoxia,False
CA12,,,no,ENSG00000074410,Carbonic anhydrase 12,Membrane,kidney collecting duct epithelial cell;kidney collecting duct intercalated cell;corneal endothelial cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;mesothelial fibroblast;kidney cell;kidney collecting duct cell,,0.133,0.131,0.133,618,317,-0.022,HALLMARK,Hypoxia,False
CASP6,,,no,ENSG00000138794,Caspase-6 (CASP-6) (CSP-6),Cytoplasm,intestinal tuft cell;tuft cell of colon,,1.519,1.247,1.519,7051,3013,-0.285,HALLMARK,Hypoxia,False
CAVIN3,,,no,ENSG00000170955,Caveolae-associated protein 3 (Cavin-3) (Protein kinase C delta-binding protein) (Serum deprivation response factor-related gene product that binds to C-kinase) (hSRBC),Cytoplasm,vasa recta descending limb cell;cerebral cortex endothelial cell;endosteal cell;follicular dendritic cell;smooth muscle cell;vascular associated smooth muscle cell;smooth muscle fiber of ileum;myometrial cell;bronchial smooth muscle cell;reticular cell;pancreatic stellate cell,,0.985,0.758,0.985,4569,1832,-0.377,HALLMARK,Hypoxia,False
CCN1,,,no,ENSG00000142871,CCN family member 1 (Cellular communication network factor 1) (Cysteine-rich angiogenic inducer 61) (Insulin-like growth factor-binding protein 10) (IBP-10) (IGF-binding protein 10) (IGFBP-10) (Protein CYR61) (Protein GIG1),Secreted,glioblast;Schwann cell precursor;skeletal muscle satellite stem cell;myoepithelial cell;myoepithelial cell of mammary gland;epithelial cell of uterus;basal cell of prostate epithelium;uterine smooth muscle cell;tracheobronchial smooth muscle cell;skeletal muscle satellite cell;decidual cell;tendon cell;theca cell,,0.187,0.302,0.302,869,731,0.692,HALLMARK,Hypoxia,False
CCN2,,,no,ENSG00000118523,CCN family member 2 (Cellular communication network factor 2) (Connective tissue growth factor) (Hypertrophic chondrocyte-specific protein 24) (Insulin-like growth factor-binding protein 8) (IBP-8) (IGF-binding protein 8) (IGFBP-8),Secreted,multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;endothelial cell of umbilical vein;pancreatic PP cell;PP cell;endothelial cell of uterus;kidney glomerular epithelial cell;parietal epithelial cell;enteric smooth muscle cell;glutamatergic neuron;tendon cell,,1.489,1.559,1.559,6909,3769,0.067,HALLMARK,Hypoxia,False
CCN5,,,no,ENSG00000064205,CCN family member 5 (Connective tissue growth factor-like protein) (CTGF-L) (Connective tissue growth factor-related protein 58) (WNT1-inducible-signaling pathway protein 2) (WISP-2),Secreted,stem cell;mesenchymal stem cell;smooth muscle cell;myometrial cell;bronchial smooth muscle cell;skeletal muscle fibroblast;connective tissue cell;fibroblast;keratocyte;reticular cell;fibroblast of mammary gland;skin fibroblast;stromal cell;tendon cell;theca cell;adventitial cell;inflammatory cell,,,0.17,0.17,0,410,,HALLMARK,Hypoxia,False
CDKN1A,,,no,ENSG00000124762,Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21),Cytoplasm,skeletal muscle satellite stem cell;epithelial cell of lacrimal sac;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;vascular associated smooth muscle cell;myometrial cell;skeletal muscle satellite cell;mature conventional dendritic cell;tendon cell,,5.455,6.248,6.248,25314,15101,0.196,HALLMARK,Hypoxia,False
CDKN1B,,,no,ENSG00000111276,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1),Nucleus;Cytoplasm;Endosome,"CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte",,11.379,10.381,11.379,52808,25090,-0.132,HALLMARK,Hypoxia,False
CDKN1C,,,no,ENSG00000129757,Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57Kip2),Nucleus,"intestinal crypt stem cell of large intestine;paneth cell;epithelial cell of thymus;cortical thymic epithelial cell;club cell;extravillous trophoblast;placental villous trophoblast;syncytiotrophoblast cell;CD14-low, CD16-positive monocyte;connective tissue cell;fibroblast;keratocyte;fibroblast of lung;myofibroblast cell",,0.657,0.862,0.862,3051,2084,0.391,HALLMARK,Hypoxia,False
COL5A1,,,no,ENSG00000130635,Collagen alpha-1(V) chain,Secreted,endosteal cell;preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;brown preadipocyte;pancreatic stellate cell;fibroblast of cardiac tissue;fibroblast of lung;bronchus fibroblast of lung;mesothelial fibroblast;osteoblast;stromal cell;stromal cell of ovary;interstitial cell of ovary;mesenchymal cell,,1.562,2.361,2.361,7251,5706,0.596,HALLMARK,Hypoxia,False
CP,,,no,ENSG00000047457,Ceruloplasmin,Secreted,non-pigmented ciliary epithelial cell;respiratory goblet cell;tracheal goblet cell;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;chorionic trophoblast cell;serous cell of epithelium of trachea,,0.126,0.194,0.194,585,468,0.619,HALLMARK,Hypoxia,False
CXCR4,,,no,ENSG00000121966,C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184),Cell membrane,"mononuclear phagocyte;hematopoietic cell;leukocyte;mature conventional dendritic cell;liver dendritic cell;mature B cell;memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;follicular B cell;mononuclear cell;lymphocyte;CD4-positive helper T cell;T-helper 1 cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;type I NK T cell;DN3 thymocyte;B cell;immature B cell;precursor B cell;immature natural killer cell;DN1 thymic pro-T cell",CXCL;MIF,28.494,10.433,28.494,132239,25215,-1.45,HALLMARK,Hypoxia,False
DDIT3,,,no,ENSG00000175197,DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153),Cytoplasm,epithelial cell of uterus;B cell;Mueller cell,,0.739,0.738,0.739,3428,1783,-0.002,HALLMARK,Hypoxia,False
DTNA,,,no,ENSG00000134769,Dystrobrevin alpha (DTN-A) (Alpha-dystrobrevin) (Dystrophin-related protein 3),Cytoplasm;Synapse;Cell membrane,smooth muscle cell of sphincter of pupil;ciliary muscle cell;muscle precursor cell;cardiac muscle myoblast;astrocyte;Bergmann glial cell;mature astrocyte,,1.514,1.744,1.744,7025,4214,0.204,HALLMARK,Hypoxia,False
EGFR,,,no,ENSG00000146648,Epidermal growth factor receptor,Cell membrane,basal epithelial cell of prostatic duct;trophoblast giant cell;syncytiotrophoblast cell,EGF;EPGN,5.938,3.547,5.938,27556,8572,-0.743,HALLMARK,Hypoxia,True
ENO2,,,no,ENSG00000111674,Gamma-enolase,Cytoplasm,ON-bipolar cell;rod bipolar cell;OFF-bipolar cell;Cajal-Retzius cell;retinal ganglion cell;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;glycinergic neuron,,0.265,0.327,0.327,1229,791,0.306,HALLMARK,Hypoxia,True
