gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
ACACA,,,no,ENSG00000278540,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,preadipocyte;brown preadipocyte;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,,1.327,1.283,1.327,6160,3100,-0.049,HALLMARK,PI3K/AKT/mTOR  Signaling,True
ADCY2,,,no,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,,0.366,0.169,0.366,1700,408,-1.118,HALLMARK,PI3K/AKT/mTOR  Signaling,False
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,4.956,3.876,4.956,23000,9367,-0.355,HALLMARK,PI3K/AKT/mTOR  Signaling,True
AP2M1,,,no,ENSG00000161203,AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein),Cell membrane,fallopian tube secretory epithelial cell;Hofbauer cell,,16.272,9.636,16.272,75519,23288,-0.756,HALLMARK,PI3K/AKT/mTOR  Signaling,True
ARF1,,,no,ENSG00000143761,ADP-ribosylation factor 1,Golgi apparatus membrane,pancreatic D cell,,7.633,5.798,7.633,35426,14013,-0.397,HALLMARK,PI3K/AKT/mTOR  Signaling,True
ATF1,,,no,ENSG00000123268,Cyclic AMP-dependent transcription factor ATF-1 (cAMP-dependent transcription factor ATF-1) (Activating transcription factor 1) (Protein TREB36),Nucleus,,,1.963,2.076,2.076,9110,5017,0.081,HALLMARK,PI3K/AKT/mTOR  Signaling,True
CAMK4,,,no,,,,,,8.577,6.329,8.577,39807,15296,-0.439,HALLMARK,PI3K/AKT/mTOR  Signaling,True
CDK1,,,no,ENSG00000170312,Cyclin-dependent kinase 1 (CDK1),Nucleus,"double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;erythroid lineage cell;pro-B cell;fraction A pre-pro B cell",,0.252,0.316,0.316,1169,763,0.326,HALLMARK,PI3K/AKT/mTOR  Signaling,False
CDK2,,,no,ENSG00000123374,Cyclin-dependent kinase 2,Cytoplasm,,,1.08,1.003,1.08,5012,2424,-0.107,HALLMARK,PI3K/AKT/mTOR  Signaling,True
CDK4,,,no,ENSG00000135446,Cyclin-dependent kinase 4,Cytoplasm,glioblast;Schwann cell precursor;macrophage dendritic cell progenitor,,1.306,0.871,1.306,6061,2104,-0.585,HALLMARK,PI3K/AKT/mTOR  Signaling,False
CDKN1A,,,no,ENSG00000124762,Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21),Cytoplasm,skeletal muscle satellite stem cell;epithelial cell of lacrimal sac;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;vascular associated smooth muscle cell;myometrial cell;skeletal muscle satellite cell;mature conventional dendritic cell;tendon cell,,5.455,6.248,6.248,25314,15101,0.196,HALLMARK,PI3K/AKT/mTOR  Signaling,False
CDKN1B,,,no,ENSG00000111276,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1),Nucleus;Cytoplasm;Endosome,"CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte",,11.379,10.381,11.379,52808,25090,-0.132,HALLMARK,PI3K/AKT/mTOR  Signaling,False
CLTC,,,no,ENSG00000141367,Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17),Cytoplasmic vesicle membrane,,,13.336,10.576,13.336,61890,25560,-0.335,HALLMARK,PI3K/AKT/mTOR  Signaling,True
CSNK2B,,,no,ENSG00000204435,Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a),Nucleus,"erythroid progenitor cell, mammalian",,17.162,10.038,17.162,79649,24260,-0.774,HALLMARK,PI3K/AKT/mTOR  Signaling,True
CXCR4,,,no,ENSG00000121966,C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184),Cell membrane,"mononuclear phagocyte;hematopoietic cell;leukocyte;mature conventional dendritic cell;liver dendritic cell;mature B cell;memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;follicular B cell;mononuclear cell;lymphocyte;CD4-positive helper T cell;T-helper 1 cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;type I NK T cell;DN3 thymocyte;B cell;immature B cell;precursor B cell;immature natural killer cell;DN1 thymic pro-T cell",CXCL;MIF,28.494,10.433,28.494,132239,25215,-1.45,HALLMARK,PI3K/AKT/mTOR  Signaling,False
DDIT3,,,no,ENSG00000175197,DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153),Cytoplasm,epithelial cell of uterus;B cell;Mueller cell,,0.739,0.738,0.739,3428,1783,-0.002,HALLMARK,PI3K/AKT/mTOR  Signaling,False
E2F1,,,no,ENSG00000101412,Transcription factor E2F1 (E2F-1) (PBR3) (Retinoblastoma-associated protein 1) (RBAP-1) (Retinoblastoma-binding protein 3) (RBBP-3) (pRB-binding protein E2F-1),Nucleus,,,0.465,0.367,0.465,2156,886,-0.342,HALLMARK,PI3K/AKT/mTOR  Signaling,True
ECSIT,,,no,ENSG00000130159,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial (Protein SITPEC)",Cytoplasm,,,1.51,1.104,1.51,7008,2669,-0.451,HALLMARK,PI3K/AKT/mTOR  Signaling,True
