gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABCA1,,,no,ENSG00000165029,Phospholipid-transporting ATPase ABCA1,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;alternatively activated macrophage;Kupffer cell;immature innate lymphoid cell;medium spiny neuron;connective tissue cell;fibroblast;hepatic stellate cell;fibroblast of lung;mesothelial fibroblast;fat cell;white fat cell;brown fat cell;epicardial adipocyte,ApoA,21.667,19.735,21.667,100553,47698,-0.135,HALLMARK,TNF-alpha Signaling via NF-kB,False
ACKR3,,,no,ENSG00000144476,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),Cell membrane,mesenchymal stem cell;endothelial cell of lymphatic vessel;endocardial cell;endosteal cell;surface ectodermal cell;keratocyte;fibroblast of breast;myofibroblast cell,CXCL;MIF,0.461,0.65,0.65,2141,1570,0.494,HALLMARK,TNF-alpha Signaling via NF-kB,False
ATF3,,,no,ENSG00000162772,Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3),Nucleus,ileal goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;epithelial cell of uterus;vascular associated smooth muscle cell,,0.126,0.293,0.293,587,709,1.214,HALLMARK,TNF-alpha Signaling via NF-kB,False
ATP2B1,,,no,ENSG00000070961,Plasma membrane calcium-transporting ATPase 1,Cell membrane,,,2.23,2.117,2.23,10347,5117,-0.075,HALLMARK,TNF-alpha Signaling via NF-kB,True
BCL2A1,,,no,ENSG00000140379,Bcl-2-related protein A1 (Bcl-2-like protein 5) (Bcl2-L-5) (Hemopoietic-specific early response protein) (Protein BFL-1) (Protein GRS),Cytoplasm,"phagocyte;macrophage;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;colon macrophage;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;follicular dendritic cell;hematopoietic cell;blood cell;granulocyte;neutrophil;leukocyte;professional antigen presenting cell;myeloid dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;myeloid cell;myelocyte",,0.402,0.518,0.518,1864,1251,0.366,HALLMARK,TNF-alpha Signaling via NF-kB,False
BCL3,,,no,ENSG00000069399,B-cell lymphoma 3 protein (BCL-3) (Proto-oncogene BCL3),Nucleus;Cytoplasm,,,1.798,2.747,2.747,8345,6638,0.611,HALLMARK,TNF-alpha Signaling via NF-kB,True
BCL6,,,no,ENSG00000113916,B-cell lymphoma 6 protein (BCL-6) (B-cell lymphoma 5 protein) (BCL-5) (Protein LAZ-3) (Zinc finger and BTB domain-containing protein 27) (Zinc finger protein 51),Nucleus,skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;white fat cell;subcutaneous fat cell;sebaceous gland cell,,1.846,1.746,1.846,8568,4221,-0.08,HALLMARK,TNF-alpha Signaling via NF-kB,False
BIRC2,,,no,ENSG00000110330,Baculoviral IAP repeat-containing protein 2,Cytoplasm;Nucleus,,,5.748,5.06,5.748,26675,12230,-0.184,HALLMARK,TNF-alpha Signaling via NF-kB,True
BMP2,,,no,ENSG00000125845,Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A),Secreted,endothelial cell of lymphatic vessel,BMP,0.232,0.248,0.248,1078,600,0.096,HALLMARK,TNF-alpha Signaling via NF-kB,False
CCL20,,,no,ENSG00000115009,C-C motif chemokine 20 (Beta-chemokine exodus-1) (CC chemokine LARC) (Liver and activation-regulated chemokine) (Macrophage inflammatory protein 3 alpha) (MIP-3-alpha) (Small-inducible cytokine A20),Secreted,epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;paneth cell;M cell of gut;club cell;epithelial cell of urethra;inflammatory macrophage;T-helper 1 cell;lung secretory cell,CCL,0.178,0.15,0.178,827,362,-0.251,HALLMARK,TNF-alpha Signaling via NF-kB,False
CCL5,,,no,,,,,,93.621,96.949,96.949,434488,234313,0.05,HALLMARK,TNF-alpha Signaling via NF-kB,True
CCN1,,,no,ENSG00000142871,CCN family member 1 (Cellular communication network factor 1) (Cysteine-rich angiogenic inducer 61) (Insulin-like growth factor-binding protein 10) (IBP-10) (IGF-binding protein 10) (IGFBP-10) (Protein CYR61) (Protein GIG1),Secreted,glioblast;Schwann cell precursor;skeletal muscle satellite stem cell;myoepithelial cell;myoepithelial cell of mammary gland;epithelial cell of uterus;basal cell of prostate epithelium;uterine smooth muscle cell;tracheobronchial smooth muscle cell;skeletal muscle satellite cell;decidual cell;tendon cell;theca cell,,0.187,0.302,0.302,869,731,0.692,HALLMARK,TNF-alpha Signaling via NF-kB,False
CCND1,,,no,ENSG00000110092,G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene),Nucleus,glioblast;Schwann cell precursor;epithelial cell;type I pneumocyte;epithelial cell of uterus;epithelial cell of thymus;cortical thymic epithelial cell,,0.821,1.147,1.147,3809,2772,0.483,HALLMARK,TNF-alpha Signaling via NF-kB,False
CCRL2,,,no,ENSG00000121797,C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (Chemokine receptor X) (Putative MCP-1 chemokine receptor),Cell membrane,,,0.332,0.45,0.45,1539,1087,0.44,HALLMARK,TNF-alpha Signaling via NF-kB,True
CD44,,,no,ENSG00000026508,CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),Cell membrane,intestinal crypt stem cell of large intestine;pancreatic ductal cell;pancreatic acinar cell;elicited macrophage;alternatively activated macrophage;hematopoietic cell;granulocyte;leukocyte;myeloid leukocyte;mast cell;B cell;myeloid cell;early T lineage precursor;fibroblast of breast,MIF;SPP1;GALECTIN;COLLAGEN;FN1;LAMININ;SELE,9.984,9.665,9.984,46337,23358,-0.047,HALLMARK,TNF-alpha Signaling via NF-kB,False
CD69,,,no,,,,,,4.95,3.819,4.95,22972,9230,-0.374,HALLMARK,TNF-alpha Signaling via NF-kB,False
CD80,,,no,ENSG00000121594,T-lymphocyte activation antigen CD80 (Activation B7-1 antigen) (BB1) (CTLA-4 counter-receptor B7.1) (B7) (CD antigen CD80),Membrane,,CD80,0.325,0.238,0.325,1509,575,-0.451,HALLMARK,TNF-alpha Signaling via NF-kB,False
CD83,,,no,ENSG00000112149,CD83 antigen (hCD83) (B-cell activation protein) (Cell surface protein HB15) (CD antigen CD83),Membrane,"elicited macrophage;inflammatory macrophage;colon macrophage;leukocyte;professional antigen presenting cell;dendritic cell;CD141-positive myeloid dendritic cell;conventional dendritic cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;mature conventional dendritic cell;liver dendritic cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1a B cell;B-1b B cell;germinal center B cell;B cell;immature B cell",,2.278,2.046,2.278,10571,4944,-0.155,HALLMARK,TNF-alpha Signaling via NF-kB,False
CDKN1A,,,no,ENSG00000124762,Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21),Cytoplasm,skeletal muscle satellite stem cell;epithelial cell of lacrimal sac;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;vascular associated smooth muscle cell;myometrial cell;skeletal muscle satellite cell;mature conventional dendritic cell;tendon cell,,5.455,6.248,6.248,25314,15101,0.196,HALLMARK,TNF-alpha Signaling via NF-kB,False
