gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
ABCB1,,,no,ENSG00000085563,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1),Cell membrane,renal principal cell;cardiac endothelial cell,,0.968,1.187,1.187,4493,2870,0.295,HALLMARK,IL-2/STAT5 Signaling,False
AGER,,,no,ENSG00000204305,Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products),Cell membrane,epithelial cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;lung secretory cell,,1.469,1.037,1.469,6816,2507,-0.502,HALLMARK,IL-2/STAT5 Signaling,True
AHCY,,,no,ENSG00000101444,Adenosylhomocysteinase (AdoHcyase),Cytoplasm,macrophage dendritic cell progenitor,,3.875,2.75,3.875,17982,6647,-0.495,HALLMARK,IL-2/STAT5 Signaling,False
AHR,,,no,ENSG00000106546,Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76),Cytoplasm,"lung goblet cell;mast cell;group 2 innate lymphoid cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",,4.519,3.663,4.519,20974,8852,-0.303,HALLMARK,IL-2/STAT5 Signaling,False
ALCAM,,,no,ENSG00000170017,CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166),Cell membrane,corneal endothelial cell;neuroendocrine cell;chromaffin cell;type I pneumocyte;lung goblet cell;pancreatic A cell;visceromotor neuron;sebaceous gland cell,CD6,2.496,1.287,2.496,11583,3110,-0.956,HALLMARK,IL-2/STAT5 Signaling,False
AMACR,,,no,ENSG00000242110,Alpha-methylacyl-CoA racemase,Peroxisome,pulmonary ionocyte;ionocyte,,0.567,0.495,0.567,2633,1196,-0.197,HALLMARK,IL-2/STAT5 Signaling,False
BATF,,,no,ENSG00000156127,Basic leucine zipper transcriptional factor ATF-like (B-cell-activating transcription factor) (B-ATF) (SF-HT-activated gene 2 protein) (SFA-2),Nucleus,"duct epithelial cell;luminal epithelial cell of mammary gland;mammary gland epithelial cell;mast cell;CD4-positive helper T cell;T-helper 17 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;type I NK T cell;regulatory T cell;exhausted T cell;group 2 innate lymphoid cell",,2.356,1.408,2.356,10935,3402,-0.743,HALLMARK,IL-2/STAT5 Signaling,False
BATF3,,,no,ENSG00000123685,Basic leucine zipper transcriptional factor ATF-like 3 (B-ATF-3) (21 kDa small nuclear factor isolated from T-cells) (Jun dimerization protein p21SNFT),Nucleus,"hematopoietic cell;blood cell;granulocyte;CD141-positive myeloid dendritic cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;pre-conventional dendritic cell",,0.808,0.544,0.808,3750,1314,-0.572,HALLMARK,IL-2/STAT5 Signaling,False
BCL2,,,no,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,3.767,2.743,3.767,17483,6629,-0.458,HALLMARK,IL-2/STAT5 Signaling,False
BCL2L1,,,no,ENSG00000171552,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),Mitochondrion inner membrane,erythrocyte;enucleate erythrocyte;reticulocyte;enucleated reticulocyte,,5.766,4.478,5.766,26759,10823,-0.365,HALLMARK,IL-2/STAT5 Signaling,True
BMP2,,,no,ENSG00000125845,Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A),Secreted,endothelial cell of lymphatic vessel,BMP,0.232,0.248,0.248,1078,600,0.096,HALLMARK,IL-2/STAT5 Signaling,False
BMPR2,,,no,ENSG00000204217,Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2),Cell membrane,epithelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;cardiac endothelial cell,BMP;BMP10;GDF,4.503,3.858,4.503,20896,9325,-0.223,HALLMARK,IL-2/STAT5 Signaling,False
CAPN3,,,no,ENSG00000092529,Calpain-3,Cytoplasm;Nucleus,,,0.492,0.667,0.667,2283,1613,0.44,HALLMARK,IL-2/STAT5 Signaling,True
CASP3,,,no,ENSG00000164305,Caspase-3 (CASP-3),Cytoplasm,"erythroid progenitor cell;erythroid progenitor cell, mammalian",,3.016,3.198,3.198,13998,7729,0.084,HALLMARK,IL-2/STAT5 Signaling,False
CCND2,,,no,ENSG00000118971,G1/S-specific cyclin-D2,Nucleus,"intestinal crypt stem cell of small intestine;IgG plasmablast;IgA plasmablast;activated CD4-positive, alpha-beta T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;neural progenitor cell",,3.517,5.864,5.864,16320,14172,0.738,HALLMARK,IL-2/STAT5 Signaling,False
CCND3,,,no,ENSG00000112576,G1/S-specific cyclin-D3,Nucleus,"platelet;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;late pro-B cell;immature natural killer cell;CD16-positive, CD56-dim natural killer cell, human;megakaryocyte;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",,3.737,2.546,3.737,17341,6153,-0.554,HALLMARK,IL-2/STAT5 Signaling,False
CCNE1,,,no,ENSG00000105173,G1/S-specific cyclin-E1,Nucleus,extravillous trophoblast;erythroblast,,0.268,0.159,0.268,1243,385,-0.75,HALLMARK,IL-2/STAT5 Signaling,True
CCR4,,,no,ENSG00000183813,C-C chemokine receptor type 4 (C-C CKR-4) (CC-CKR-4) (CCR-4) (CCR4) (K5-5) (CD antigen CD194),Cell membrane,"CD4-positive helper T cell;T follicular helper cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;memory T cell;regulatory T cell",CCL,1.19,0.793,1.19,5522,1917,-0.585,HALLMARK,IL-2/STAT5 Signaling,False
CD44,,,no,ENSG00000026508,CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),Cell membrane,intestinal crypt stem cell of large intestine;pancreatic ductal cell;pancreatic acinar cell;elicited macrophage;alternatively activated macrophage;hematopoietic cell;granulocyte;leukocyte;myeloid leukocyte;mast cell;B cell;myeloid cell;early T lineage precursor;fibroblast of breast,MIF;SPP1;GALECTIN;COLLAGEN;FN1;LAMININ;SELE,9.984,9.665,9.984,46337,23358,-0.047,HALLMARK,IL-2/STAT5 Signaling,False
CD79B,,,no,ENSG00000007312,B-cell antigen receptor complex-associated protein beta chain (B-cell-specific glycoprotein B29) (Ig-beta) (Immunoglobulin-associated B29 protein) (CD antigen CD79b),Cell membrane,hematopoietic cell;leukocyte;professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1a B cell;B-1b B cell;follicular B cell;germinal center B cell;plasmablast;mononuclear cell;lymphocyte;B cell;immature B cell;precursor B cell;small pre-B-II cell;large pre-B-II cell;pre-B-I cell;late pro-B cell;transitional stage B cell;IgM plasma cell;hematopoietic precursor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;early T lineage precursor,,3.321,2.048,3.321,15413,4950,-0.697,HALLMARK,IL-2/STAT5 Signaling,False
CD83,,,no,ENSG00000112149,CD83 antigen (hCD83) (B-cell activation protein) (Cell surface protein HB15) (CD antigen CD83),Membrane,"elicited macrophage;inflammatory macrophage;colon macrophage;leukocyte;professional antigen presenting cell;dendritic cell;CD141-positive myeloid dendritic cell;conventional dendritic cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;mature conventional dendritic cell;liver dendritic cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1a B cell;B-1b B cell;germinal center B cell;B cell;immature B cell",,2.278,2.046,2.278,10571,4944,-0.155,HALLMARK,IL-2/STAT5 Signaling,False
CD86,,,no,ENSG00000114013,T-lymphocyte activation antigen CD86 (Activation B7-2 antigen) (B70) (BU63) (CTLA-4 counter-receptor B7.2) (FUN-1) (CD antigen CD86),Cell membrane,"phagocyte;macrophage;inflammatory macrophage;tissue-resident macrophage;colon macrophage;mononuclear phagocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;myeloid leukocyte;myeloid cell",CD86,1.293,0.775,1.293,6003,1874,-0.738,HALLMARK,IL-2/STAT5 Signaling,False
CDC6,,,no,ENSG00000094804,Cell division control protein 6 homolog (CDC6-related protein) (Cdc18-related protein) (HsCdc18) (p62(cdc6)) (HsCDC6),Nucleus,,,0.234,0.23,0.234,1085,557,-0.021,HALLMARK,IL-2/STAT5 Signaling,True
