gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
AAMP,,,no,ENSG00000127837,Angio-associated migratory cell protein,Cell membrane;Cytoplasm,pancreatic A cell,,5.934,3.543,5.934,27538,8562,-0.744,REACTOME,Immune System R-HSA-168256,True
ABL1,,,no,ENSG00000097007,Tyrosine-protein kinase ABL1,Cytoplasm,brown preadipocyte,,4.255,3.473,4.255,19747,8394,-0.293,REACTOME,Immune System R-HSA-168256,True
ABL2,,,no,ENSG00000143322,Tyrosine-protein kinase ABL2,Cytoplasm,,,1.918,1.656,1.918,8900,4003,-0.211,REACTOME,Immune System R-HSA-168256,True
ACLY,,,no,ENSG00000131473,ATP-citrate synthase,Cytoplasm,type B pancreatic cell;pancreatic PP cell;PP cell;brown fat cell;epicardial adipocyte,,5.449,4.013,5.449,25288,9698,-0.441,REACTOME,Immune System R-HSA-168256,True
ADAM10,,,no,ENSG00000137845,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10),Cell membrane,papillary tips cell,,6.722,5.558,6.722,31197,13433,-0.274,REACTOME,Immune System R-HSA-168256,True
ADAM17,,,no,ENSG00000151694,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17),Membrane,alveolar macrophage;lung macrophage,,3.242,2.602,3.242,15045,6288,-0.317,REACTOME,Immune System R-HSA-168256,False
ADAM8,,,no,ENSG00000151651,Disintegrin and metalloproteinase domain-containing protein 8 (ADAM 8),Membrane,"blood cell;granulocyte;basophil;eosinophil;conventional dendritic cell;Langerhans cell;myeloid dendritic cell, human;ILC1, human",,3.762,2.957,3.762,17461,7147,-0.347,REACTOME,Immune System R-HSA-168256,False
ADAR,,,no,ENSG00000160710,Double-stranded RNA-specific adenosine deaminase (DRADA),Cytoplasm,epithelial cell;endothelial cell;endothelial cell of vascular tree;IgA plasmablast,,14.564,11.289,14.564,67589,27283,-0.368,REACTOME,Immune System R-HSA-168256,False
ADGRE5,,,no,ENSG00000123146,Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97),Cell membrane,"alveolar macrophage;lung macrophage;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;T-helper 1 cell;mature NK T cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;group 3 innate lymphoid cell;peripheral blood mononuclear cell",ADGRE,6.469,4.899,6.469,30020,11840,-0.401,REACTOME,Immune System R-HSA-168256,False
AGER,,,no,ENSG00000204305,Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products),Cell membrane,epithelial cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;lung secretory cell,,1.469,1.037,1.469,6816,2507,-0.502,REACTOME,Immune System R-HSA-168256,True
AIM2,,,no,ENSG00000163568,Interferon-inducible protein AIM2 (Absent in melanoma 2),Cytoplasm,memory B cell;class switched memory B cell;follicular B cell,,0.443,0.455,0.455,2058,1100,0.038,REACTOME,Immune System R-HSA-168256,False
