gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
AAMP,,,no,ENSG00000127837,Angio-associated migratory cell protein,Cell membrane;Cytoplasm,pancreatic A cell,,5.934,3.543,5.934,27538,8562,-0.744,REACTOME,Innate Immune System R-HSA-168249,True
ABL1,,,no,ENSG00000097007,Tyrosine-protein kinase ABL1,Cytoplasm,brown preadipocyte,,4.255,3.473,4.255,19747,8394,-0.293,REACTOME,Innate Immune System R-HSA-168249,True
ACLY,,,no,ENSG00000131473,ATP-citrate synthase,Cytoplasm,type B pancreatic cell;pancreatic PP cell;PP cell;brown fat cell;epicardial adipocyte,,5.449,4.013,5.449,25288,9698,-0.441,REACTOME,Innate Immune System R-HSA-168249,True
ADAM10,,,no,ENSG00000137845,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10),Cell membrane,papillary tips cell,,6.722,5.558,6.722,31197,13433,-0.274,REACTOME,Innate Immune System R-HSA-168249,True
ADAM8,,,no,ENSG00000151651,Disintegrin and metalloproteinase domain-containing protein 8 (ADAM 8),Membrane,"blood cell;granulocyte;basophil;eosinophil;conventional dendritic cell;Langerhans cell;myeloid dendritic cell, human;ILC1, human",,3.762,2.957,3.762,17461,7147,-0.347,REACTOME,Innate Immune System R-HSA-168249,False
ADGRE5,,,no,ENSG00000123146,Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97),Cell membrane,"alveolar macrophage;lung macrophage;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;T-helper 1 cell;mature NK T cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;group 3 innate lymphoid cell;peripheral blood mononuclear cell",ADGRE,6.469,4.899,6.469,30020,11840,-0.401,REACTOME,Innate Immune System R-HSA-168249,False
AGER,,,no,ENSG00000204305,Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products),Cell membrane,epithelial cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;lung secretory cell,,1.469,1.037,1.469,6816,2507,-0.502,REACTOME,Innate Immune System R-HSA-168249,True
AIM2,,,no,ENSG00000163568,Interferon-inducible protein AIM2 (Absent in melanoma 2),Cytoplasm,memory B cell;class switched memory B cell;follicular B cell,,0.443,0.455,0.455,2058,1100,0.038,REACTOME,Innate Immune System R-HSA-168249,False
ALAD,,,no,ENSG00000148218,Delta-aminolevulinic acid dehydratase (ALADH),,erythrocyte;erythroid lineage cell;erythroblast;primitive red blood cell,,1.007,1.094,1.094,4672,2644,0.12,REACTOME,Innate Immune System R-HSA-168249,True
ALOX5,,,no,ENSG00000012779,Polyunsaturated fatty acid 5-lipoxygenase,Cytoplasm,brush cell;intestinal tuft cell;tuft cell of colon;macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;basophil;eosinophil;Langerhans cell;B-1b B cell;mast cell,,2.944,2.156,2.944,13665,5210,-0.45,REACTOME,Innate Immune System R-HSA-168249,False
ALPK1,,,no,ENSG00000073331,Alpha-protein kinase 1,Cytoplasm,,,1.917,1.693,1.917,8895,4092,-0.179,REACTOME,Innate Immune System R-HSA-168249,True
ANPEP,,,no,ENSG00000166825,Aminopeptidase N (AP-N) (hAPN),Cell membrane,intestinal crypt stem cell of small intestine;ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;intrahepatic cholangiocyte;columnar/cuboidal epithelial cell;pancreatic acinar cell;enteroendocrine cell of small intestine;M cell of gut;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;transit amplifying cell of small intestine,,1.506,1.269,1.506,6988,3067,-0.247,REACTOME,Innate Immune System R-HSA-168249,False
ANXA2,,,no,ENSG00000182718,Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36),Secreted,basal cell of epithelium of bronchus;pancreatic ductal cell;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;bronchial epithelial cell;epithelial cell of urethra;conjunctival epithelial cell;T cell,,16.021,9.825,16.021,74352,23747,-0.705,REACTOME,Innate Immune System R-HSA-168249,True
AP1M1,,,no,ENSG00000072958,AP-1 complex subunit mu-1 (AP-mu chain family member mu1A) (Adaptor protein complex AP-1 subunit mu-1) (Adaptor-related protein complex 1 subunit mu-1) (Clathrin assembly protein complex 1 mu-1 medium chain 1) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor HA1/AP1 adaptin mu-1 subunit) (Mu-adaptin 1) (Mu1A-adaptin),Golgi apparatus;Cytoplasmic vesicle,,,5.618,4.537,5.618,26072,10966,-0.308,REACTOME,Innate Immune System R-HSA-168249,True
AP2A2,,,no,ENSG00000183020,AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9) (HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit),Cell membrane,Kupffer cell;immature innate lymphoid cell,,9.949,5.567,9.949,46173,13455,-0.838,REACTOME,Innate Immune System R-HSA-168249,False
APAF1,,,no,ENSG00000120868,Apoptotic protease-activating factor 1 (APAF-1),Cytoplasm,,,1.167,1.348,1.348,5418,3257,0.207,REACTOME,Innate Immune System R-HSA-168249,True
APOB,,,no,ENSG00000084674,Apolipoprotein B-100 (Apo B-100),Cytoplasm,hepatoblast;epithelial cell;ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;cholangiocyte;intrahepatic cholangiocyte;columnar/cuboidal epithelial cell;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;M cell of gut;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;Kupffer cell;hepatic stellate cell,ApoB,0.034,0.062,0.062,159,151,0.867,REACTOME,Innate Immune System R-HSA-168249,False
APP,,,no,ENSG00000142192,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II),Cell membrane,epithelial cell;lens epithelial cell;anterior lens cell;endothelial tip cell;kidney capillary endothelial cell;glomerular capillary endothelial cell;lung endothelial cell;type B pancreatic cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;kidney loop of Henle thin ascending limb epithelial cell;surface ectodermal cell,APP,17.331,11.755,17.331,80430,28411,-0.56,REACTOME,Innate Immune System R-HSA-168249,False
