gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
ABHD6,,,no,ENSG00000163686,Monoacylglycerol lipase ABHD6,Late endosome membrane,,,0.925,1.032,1.032,4291,2495,0.159,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ACKR3,,,no,ENSG00000144476,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),Cell membrane,mesenchymal stem cell;endothelial cell of lymphatic vessel;endocardial cell;endosteal cell;surface ectodermal cell;keratocyte;fibroblast of breast;myofibroblast cell,CXCL;MIF,0.461,0.65,0.65,2141,1570,0.494,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
ADCY2,,,no,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,,0.366,0.169,0.366,1700,408,-1.118,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
ADCYAP1,,,no,ENSG00000141433,Pituitary adenylate cyclase-activating polypeptide (PACAP),Secreted,type B pancreatic cell;enteroendocrine cell;endocrine cell;basophil;mast cell,PACAP,0.056,0.064,0.064,262,155,0.184,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ADCYAP1R1,,,no,ENSG00000078549,Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1),Cell membrane,,PACAP,0.123,0.179,0.179,570,433,0.545,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ADM,,,no,ENSG00000148926,Pro-adrenomedullin,Secreted,glomerular capillary endothelial cell;trophoblast giant cell;extravillous trophoblast;myeloid cell;fibroblast of breast;white fat cell,CALCR;ADM,1.22,0.758,1.22,5664,1833,-0.686,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
ADORA1,,,no,ENSG00000163485,Adenosine receptor A1,Cell membrane,,CD39;Adenosine,0.26,0.194,0.26,1208,470,-0.421,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ADORA2A,,,no,ENSG00000128271,Adenosine receptor A2a,Cell membrane,,CD39;Adenosine,1.108,1.269,1.269,5141,3067,0.196,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ADORA2B,,,no,ENSG00000170425,Adenosine receptor A2b,Cell membrane,,CD39;Adenosine,0.069,0.086,0.086,322,209,0.318,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ADORA3,,,no,ENSG00000282608,Adenosine receptor A3,Cell membrane,microglial cell,CD39;Adenosine,0.872,0.456,0.872,4049,1102,-0.936,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ADRA1A,,,no,ENSG00000120907,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c),Nucleus membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,Adrenaline;Noradrenaline,0.133,0.195,0.195,617,471,0.552,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
ADRA1B,,,no,ENSG00000170214,Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor),Nucleus membrane,,Adrenaline;Noradrenaline,0.051,0.059,0.059,236,143,0.218,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ADRA1D,,,no,ENSG00000171873,Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor) (Alpha-adrenergic receptor 1a),Cell membrane,,Adrenaline;Noradrenaline,0.038,0.041,0.041,176,100,0.126,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ADRA2A,,,no,ENSG00000150594,Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR),Cell membrane,vascular associated smooth muscle cell;mural cell,Adrenaline;Noradrenaline,0.18,0.392,0.392,837,948,1.121,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
ADRA2B,,,no,ENSG00000274286,Alpha-2B adrenergic receptor (Alpha-2 adrenergic receptor subtype C2) (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR),Cell membrane,,Adrenaline;Noradrenaline,0.271,0.126,0.271,1259,305,-1.104,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ADRA2C,,,no,ENSG00000184160,Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR),Cell membrane,uterine smooth muscle cell;myometrial cell;smooth muscle cell of prostate;myofibroblast cell;stromal cell;stromal cell of ovary;pericyte;mural cell,Adrenaline;Noradrenaline,0.268,0.163,0.268,1242,393,-0.719,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
ADRB1,,,no,ENSG00000043591,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),Cell membrane,,Adrenaline;Noradrenaline,0.579,1.228,1.228,2689,2968,1.084,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ADRB2,,,no,ENSG00000169252,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),Cell membrane,stem cell of epidermis;keratinocyte;epidermal cell;mast cell,Adrenaline;Noradrenaline,0.385,0.4,0.4,1785,966,0.055,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ADRB3,,,no,ENSG00000188778,Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor),Cell membrane,,Adrenaline;Noradrenaline,0.04,,0.04,186,0,,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
AGTR1,,,no,ENSG00000144891,Type-1 angiotensin II receptor (AT1AR) (AT1BR) (Angiotensin II type-1 receptor) (AT1 receptor),Cell membrane,,,0.434,0.359,0.434,2016,868,-0.274,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
AGTR2,,,no,ENSG00000180772,Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2 receptor),Cell membrane,,AGT,0.035,0.062,0.062,163,149,0.812,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
AGXT,,,no,ENSG00000172482,Alanine--glyoxylate aminotransferase (AGT),Peroxisome,hepatoblast;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;hepatic stellate cell,,0.051,0.07,0.07,238,168,0.439,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,4.956,3.876,4.956,23000,9367,-0.355,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,11.782,8.423,11.782,54677,20357,-0.484,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,3.288,3.692,3.692,15260,8923,0.167,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
APLN,,,no,ENSG00000171388,Apelin (APJ endogenous ligand),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;endothelial cell of vascular tree;cerebral cortex endothelial cell,APELIN,0.035,0.065,0.065,161,156,0.896,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
APLNR,,,no,ENSG00000134817,Apelin receptor (Angiotensin receptor-like 1) (G-protein coupled receptor APJ) (G-protein coupled receptor HG11),Cell membrane,endothelial tip cell;glomerular capillary endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;gut endothelial cell,APELIN;APJ,0.18,1.132,1.132,834,2735,2.655,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
APP,,,no,ENSG00000142192,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II),Cell membrane,epithelial cell;lens epithelial cell;anterior lens cell;endothelial tip cell;kidney capillary endothelial cell;glomerular capillary endothelial cell;lung endothelial cell;type B pancreatic cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;kidney loop of Henle thin ascending limb epithelial cell;surface ectodermal cell,APP,17.331,11.755,17.331,80430,28411,-0.56,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
ARHGEF2,,,no,ENSG00000116584,Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (Microtubule-regulated Rho-GEF) (Proliferating cell nucleolar antigen p40),Cytoplasm,,,9.258,8.688,9.258,42966,20998,-0.092,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ARHGEF7,,,no,ENSG00000102606,Rho guanine nucleotide exchange factor 7 (Beta-Pix) (COOL-1) (PAK-interacting exchange factor beta) (p85),Cell junction,smooth muscle myoblast;renal interstitial pericyte,,3.783,1.921,3.783,17557,4643,-0.978,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
ARRB1,,,no,ENSG00000137486,Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2),Cytoplasm;Nucleus;Cell membrane;Membrane,,,2.412,3.219,3.219,11193,7780,0.417,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
ARRB2,,,no,ENSG00000141480,Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3),Cytoplasm;Nucleus;Cell membrane;Membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;granulocyte;neutrophil;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;myeloid cell",,9.649,7.288,9.649,44780,17614,-0.405,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
AVPR1A,,,no,ENSG00000166148,Vasopressin V1a receptor (V1aR) (AVPR V1a) (Antidiuretic hormone receptor 1a) (Vascular/hepatic-type arginine vasopressin receptor),Cell membrane,smooth muscle cell;vascular associated smooth muscle cell;uterine smooth muscle cell;smooth muscle cell of prostate;pericyte;mural cell,AVP,0.327,0.422,0.422,1516,1019,0.368,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
AVPR1B,,,no,ENSG00000198049,Vasopressin V1b receptor (V1bR) (AVPR V1b) (AVPR V3) (Antidiuretic hormone receptor 1b) (Vasopressin V3 receptor),Cell membrane,,AVP,0.065,0.102,0.102,303,247,0.646,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
AVPR2,,,no,ENSG00000126895,Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor),Cell membrane,,AVP,0.27,0.203,0.27,1253,490,-0.413,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
BDKRB1,,,no,ENSG00000100739,B1 bradykinin receptor (B1R) (BK-1 receptor),Cell membrane,fibroblast;fibroblast of mammary gland,BRADYKININ,0.03,0.05,0.05,139,121,0.741,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
BDKRB2,,,no,ENSG00000168398,B2 bradykinin receptor (B2R) (BK-2 receptor),Cell membrane,,BRADYKININ,0.114,0.177,0.177,530,428,0.633,REACTOME,GPCR Downstream Signaling R-HSA-388396,True
BTK,,,no,ENSG00000010671,Tyrosine-protein kinase BTK,Cytoplasm,basophil;eosinophil;B-1a B cell;B-1b B cell;small pre-B-II cell;pre-B-I cell,,2.919,2.369,2.919,13545,5725,-0.301,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
C1QTNF1,,,no,ENSG00000173918,Complement C1q tumor necrosis factor-related protein 1 (G protein-coupled receptor-interacting protein) (GIP),Secreted,preosteoblast;vascular associated smooth muscle cell;osteoblast,,0.858,0.825,0.858,3983,1993,-0.058,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
C3AR1,,,no,ENSG00000171860,C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R),Cell membrane,phagocyte;macrophage;elicited macrophage;alternatively activated macrophage;tissue-resident macrophage;alveolar macrophage;microglial cell;colon macrophage;lung macrophage;hematopoietic cell;blood cell;granulocyte;leukocyte;professional antigen presenting cell;myeloid leukocyte;myeloid cell;myelocyte;granulocytopoietic cell,COMPLEMENT,1.053,0.919,1.053,4886,2220,-0.197,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
C5,,,no,ENSG00000106804,Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4),Secreted,hepatoblast;intrahepatic cholangiocyte;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell;lung secretory cell,,0.19,0.373,0.373,882,902,0.974,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
C5AR1,,,no,ENSG00000197405,C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88),Cell membrane,"phagocyte;macrophage;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;alveolar macrophage;lung macrophage;classical monocyte;hematopoietic cell;granulocyte;neutrophil;leukocyte;professional antigen presenting cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;myeloid cell",COMPLEMENT,0.66,1.128,1.128,3065,2727,0.773,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
CALCA,,,no,ENSG00000110680,Calcitonin,Secreted,neuroendocrine cell;lung neuroendocrine cell,CALCR;CALC,0.034,0.051,0.051,157,124,0.601,REACTOME,GPCR Downstream Signaling R-HSA-388396,False
