gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,4.956,3.876,4.956,23000,9367,-0.355,REACTOME,Adaptive Immune System R-HSA-1280218,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,11.782,8.423,11.782,54677,20357,-0.484,REACTOME,Adaptive Immune System R-HSA-1280218,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,3.288,3.692,3.692,15260,8923,0.167,REACTOME,Adaptive Immune System R-HSA-1280218,True
ANAPC1,,,no,ENSG00000153107,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),,,,3.825,3.491,3.825,17751,8438,-0.132,REACTOME,Adaptive Immune System R-HSA-1280218,True
AP1B1,,,no,ENSG00000100280,AP-1 complex subunit beta-1 (Adaptor protein complex AP-1 subunit beta-1) (Adaptor-related protein complex 1 subunit beta-1) (Beta-1-adaptin) (Beta-adaptin 1) (Clathrin assembly protein complex 1 beta large chain) (Golgi adaptor HA1/AP1 adaptin beta subunit),Golgi apparatus;Cytoplasmic vesicle,late pro-B cell,,16.241,9.102,16.241,75373,21999,-0.835,REACTOME,Adaptive Immune System R-HSA-1280218,False
AP1M1,,,no,ENSG00000072958,AP-1 complex subunit mu-1 (AP-mu chain family member mu1A) (Adaptor protein complex AP-1 subunit mu-1) (Adaptor-related protein complex 1 subunit mu-1) (Clathrin assembly protein complex 1 mu-1 medium chain 1) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor HA1/AP1 adaptin mu-1 subunit) (Mu-adaptin 1) (Mu1A-adaptin),Golgi apparatus;Cytoplasmic vesicle,,,5.618,4.537,5.618,26072,10966,-0.308,REACTOME,Adaptive Immune System R-HSA-1280218,True
AP1S3,,,no,ENSG00000152056,AP-1 complex subunit sigma-3 (Adaptor protein complex AP-1 subunit sigma-1C) (Adaptor-related protein complex 1 subunit sigma-1C) (Clathrin assembly protein complex 1 sigma-1C small chain) (Golgi adaptor HA1/AP1 adaptin sigma-1C subunit) (Sigma 1C subunit of AP-1 clathrin) (Sigma-adaptin 1C) (Sigma1C-adaptin),Golgi apparatus;Cytoplasmic vesicle membrane,,,0.802,0.855,0.855,3720,2066,0.093,REACTOME,Adaptive Immune System R-HSA-1280218,True
AP2A1,,,no,ENSG00000196961,AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit),Cell membrane,Leydig cell;erythroid lineage cell,,5.695,4.115,5.695,26428,9945,-0.469,REACTOME,Adaptive Immune System R-HSA-1280218,True
AP2A2,,,no,ENSG00000183020,AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9) (HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit),Cell membrane,Kupffer cell;immature innate lymphoid cell,,9.949,5.567,9.949,46173,13455,-0.838,REACTOME,Adaptive Immune System R-HSA-1280218,False
AP2M1,,,no,ENSG00000161203,AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein),Cell membrane,fallopian tube secretory epithelial cell;Hofbauer cell,,16.272,9.636,16.272,75519,23288,-0.756,REACTOME,Adaptive Immune System R-HSA-1280218,True
