gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
AGO1,,,no,ENSG00000092847,Protein argonaute-1 (Argonaute1) (hAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Putative RNA-binding protein Q99),Cytoplasm,,,2.754,2.526,2.754,12781,6106,-0.124,REACTOME,Transcriptional Regulation By TP53 R-HSA-3700989,True
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,4.956,3.876,4.956,23000,9367,-0.355,REACTOME,Transcriptional Regulation By TP53 R-HSA-3700989,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,11.782,8.423,11.782,54677,20357,-0.484,REACTOME,Transcriptional Regulation By TP53 R-HSA-3700989,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,3.288,3.692,3.692,15260,8923,0.167,REACTOME,Transcriptional Regulation By TP53 R-HSA-3700989,True
APAF1,,,no,ENSG00000120868,Apoptotic protease-activating factor 1 (APAF-1),Cytoplasm,,,1.167,1.348,1.348,5418,3257,0.207,REACTOME,Transcriptional Regulation By TP53 R-HSA-3700989,True
ATM,,,no,ENSG00000149311,Serine-protein kinase ATM,Nucleus,"central nervous system macrophage;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;mucosal invariant T cell;mature T cell",,8.935,8.097,8.935,41468,19570,-0.142,REACTOME,Transcriptional Regulation By TP53 R-HSA-3700989,False
AURKA,,,no,ENSG00000087586,Aurora kinase A,Cytoplasm,,,0.408,0.389,0.408,1892,941,-0.066,REACTOME,Transcriptional Regulation By TP53 R-HSA-3700989,True
AURKB,,,no,ENSG00000178999,Aurora kinase B,Nucleus,precursor B cell;large pre-B-II cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell,,0.494,0.325,0.494,2291,786,-0.602,REACTOME,Transcriptional Regulation By TP53 R-HSA-3700989,False
BARD1,,,no,ENSG00000138376,BRCA1-associated RING domain protein 1 (BARD-1),Nucleus,,,0.697,0.472,0.697,3233,1141,-0.561,REACTOME,Transcriptional Regulation By TP53 R-HSA-3700989,True
BAX,,,no,ENSG00000087088,Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4),Cytoplasm,,,2.609,1.904,2.609,12106,4602,-0.454,REACTOME,Transcriptional Regulation By TP53 R-HSA-3700989,False
BBC3,,,no,ENSG00000105327,"Bcl-2-binding component 3, isoforms 3/4 (JFY-1) (p53 up-regulated modulator of apoptosis)",,duct epithelial cell;luminal epithelial cell of mammary gland;epithelial cell of uterus;mammary gland epithelial cell,,2.248,0.913,2.248,10434,2206,-1.301,REACTOME,Transcriptional Regulation By TP53 R-HSA-3700989,True
