gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABL1,,,no,ENSG00000097007,Tyrosine-protein kinase ABL1,Cytoplasm,brown preadipocyte,,4.255,3.473,4.255,19747,8394,-0.293,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,4.956,3.876,4.956,23000,9367,-0.355,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,11.782,8.423,11.782,54677,20357,-0.484,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,3.288,3.692,3.692,15260,8923,0.167,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
ANAPC1,,,no,ENSG00000153107,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),,,,3.825,3.491,3.825,17751,8438,-0.132,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
AURKA,,,no,ENSG00000087586,Aurora kinase A,Cytoplasm,,,0.408,0.389,0.408,1892,941,-0.066,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
AURKB,,,no,ENSG00000178999,Aurora kinase B,Nucleus,precursor B cell;large pre-B-II cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell,,0.494,0.325,0.494,2291,786,-0.602,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",False
BIRC5,,,no,ENSG00000089685,Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin),Cytoplasm,"double-positive, alpha-beta thymocyte;large pre-B-II cell",,0.559,0.511,0.559,2594,1234,-0.131,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",False
BTRC,,,no,ENSG00000166167,F-box/WD repeat-containing protein 1A (E3RSIkappaB) (Epididymis tissue protein Li 2a) (F-box and WD repeats protein beta-TrCP) (pIkappaBalpha-E3 receptor subunit),Cytoplasm,,,1.88,1.689,1.88,8727,4082,-0.155,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
BUB1,,,no,ENSG00000169679,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1),Nucleus;Chromosome,,,0.451,0.357,0.451,2092,862,-0.338,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
BUB1B,,,no,ENSG00000156970,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,Cytoplasm;Nucleus;Chromosome,,,0.223,0.196,0.223,1036,473,-0.19,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
CCNA1,,,no,ENSG00000133101,Cyclin-A1,Nucleus,,,0.124,0.105,0.124,574,254,-0.235,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
CCNA2,,,no,ENSG00000145386,Cyclin-A2 (Cyclin-A) (Cyclin A),Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;fraction A pre-pro B cell",,0.277,0.271,0.277,1287,655,-0.033,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",False
CCNB1,,,no,ENSG00000134057,G2/mitotic-specific cyclin-B1,Cytoplasm;Nucleus;Cytoplasm,enucleated reticulocyte,,0.715,0.48,0.715,3319,1160,-0.575,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
CCNB2,,,no,ENSG00000157456,G2/mitotic-specific cyclin-B2,,"double-positive, alpha-beta thymocyte;DN4 thymocyte",,0.312,0.206,0.312,1449,498,-0.6,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",False
CCND1,,,no,ENSG00000110092,G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene),Nucleus,glioblast;Schwann cell precursor;epithelial cell;type I pneumocyte;epithelial cell of uterus;epithelial cell of thymus;cortical thymic epithelial cell,,0.821,1.147,1.147,3809,2772,0.483,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",False
CCND2,,,no,ENSG00000118971,G1/S-specific cyclin-D2,Nucleus,"intestinal crypt stem cell of small intestine;IgG plasmablast;IgA plasmablast;activated CD4-positive, alpha-beta T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;neural progenitor cell",,3.517,5.864,5.864,16320,14172,0.738,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",False
CCND3,,,no,ENSG00000112576,G1/S-specific cyclin-D3,Nucleus,"platelet;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;late pro-B cell;immature natural killer cell;CD16-positive, CD56-dim natural killer cell, human;megakaryocyte;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",,3.737,2.546,3.737,17341,6153,-0.554,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",False
CCNE1,,,no,ENSG00000105173,G1/S-specific cyclin-E1,Nucleus,extravillous trophoblast;erythroblast,,0.268,0.159,0.268,1243,385,-0.75,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
CDC14A,,,no,ENSG00000079335,Dual specificity protein phosphatase CDC14A,Nucleus,"kidney glomerular epithelial cell;podocyte;activated CD4-positive, alpha-beta T cell, human",,2.95,2.224,2.95,13691,5376,-0.407,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",False
CDC20,,,no,ENSG00000117399,Cell division cycle protein 20 homolog (p55CDC),Cytoplasm,,,0.644,0.347,0.644,2990,839,-0.892,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
CDC25A,,,no,ENSG00000164045,M-phase inducer phosphatase 1,,,,0.204,0.159,0.204,947,384,-0.361,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
CDC25C,,,no,ENSG00000158402,M-phase inducer phosphatase 3,Nucleus,,,0.141,0.159,0.159,655,384,0.171,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
CDC27,,,no,ENSG00000004897,Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC),Nucleus,enucleate erythrocyte;erythroblast,,3.214,4.181,4.181,14918,10106,0.379,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
CDC6,,,no,ENSG00000094804,Cell division control protein 6 homolog (CDC6-related protein) (Cdc18-related protein) (HsCdc18) (p62(cdc6)) (HsCDC6),Nucleus,,,0.234,0.23,0.234,1085,557,-0.021,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
CDK1,,,no,ENSG00000170312,Cyclin-dependent kinase 1 (CDK1),Nucleus,"double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;erythroid lineage cell;pro-B cell;fraction A pre-pro B cell",,0.252,0.316,0.316,1169,763,0.326,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",False
CDK2,,,no,ENSG00000123374,Cyclin-dependent kinase 2,Cytoplasm,,,1.08,1.003,1.08,5012,2424,-0.107,REACTOME,"Cell Cycle, Mitotic R-HSA-69278",True
