gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ACTL6A,,,no,ENSG00000136518,Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K),Nucleus,,,2.083,1.612,2.083,9665,3897,-0.369,REACTOME,Deubiquitination R-HSA-5688426,True
ADRB2,,,no,ENSG00000169252,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),Cell membrane,stem cell of epidermis;keratinocyte;epidermal cell;mast cell,Adrenaline;Noradrenaline,0.385,0.4,0.4,1785,966,0.055,REACTOME,Deubiquitination R-HSA-5688426,True
ARRB1,,,no,ENSG00000137486,Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2),Cytoplasm;Nucleus;Cell membrane;Membrane,,,2.412,3.219,3.219,11193,7780,0.417,REACTOME,Deubiquitination R-HSA-5688426,True
ARRB2,,,no,ENSG00000141480,Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3),Cytoplasm;Nucleus;Cell membrane;Membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;granulocyte;neutrophil;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;myeloid cell",,9.649,7.288,9.649,44780,17614,-0.405,REACTOME,Deubiquitination R-HSA-5688426,False
ASXL1,,,no,ENSG00000171456,Polycomb group protein ASXL1 (Additional sex combs-like protein 1),Nucleus,renal beta-intercalated cell,,4.713,2.969,4.713,21871,7176,-0.667,REACTOME,Deubiquitination R-HSA-5688426,True
ATXN3,,,no,ENSG00000066427,Ataxin-3,Nucleus matrix,,,3.633,3.969,3.969,16859,9593,0.128,REACTOME,Deubiquitination R-HSA-5688426,True
AXIN1,,,no,ENSG00000103126,Axin-1 (Axis inhibition protein 1) (hAxin),Cytoplasm,,,7.513,4.483,7.513,34865,10834,-0.745,REACTOME,Deubiquitination R-HSA-5688426,True
AXIN2,,,no,ENSG00000168646,Axin-2 (Axin-like protein) (Axil) (Axis inhibition protein 2) (Conductin),Cytoplasm,,,1.464,1.203,1.464,6792,2908,-0.283,REACTOME,Deubiquitination R-HSA-5688426,True
BARD1,,,no,ENSG00000138376,BRCA1-associated RING domain protein 1 (BARD-1),Nucleus,,,0.697,0.472,0.697,3233,1141,-0.561,REACTOME,Deubiquitination R-HSA-5688426,True
BECN1,,,no,ENSG00000126581,Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197),Cytoplasm,,,5.496,3.778,5.496,25506,9131,-0.541,REACTOME,Deubiquitination R-HSA-5688426,True
BIRC2,,,no,ENSG00000110330,Baculoviral IAP repeat-containing protein 2,Cytoplasm;Nucleus,,,5.748,5.06,5.748,26675,12230,-0.184,REACTOME,Deubiquitination R-HSA-5688426,True
BRCA1,,,no,ENSG00000012048,Breast cancer type 1 susceptibility protein,Nucleus,,,0.335,0.46,0.46,1556,1111,0.455,REACTOME,Deubiquitination R-HSA-5688426,True
CCNA1,,,no,ENSG00000133101,Cyclin-A1,Nucleus,,,0.124,0.105,0.124,574,254,-0.235,REACTOME,Deubiquitination R-HSA-5688426,True
CCNA2,,,no,ENSG00000145386,Cyclin-A2 (Cyclin-A) (Cyclin A),Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;fraction A pre-pro B cell",,0.277,0.271,0.277,1287,655,-0.033,REACTOME,Deubiquitination R-HSA-5688426,False
CDC20,,,no,ENSG00000117399,Cell division cycle protein 20 homolog (p55CDC),Cytoplasm,,,0.644,0.347,0.644,2990,839,-0.892,REACTOME,Deubiquitination R-HSA-5688426,True
CDC25A,,,no,ENSG00000164045,M-phase inducer phosphatase 1,,,,0.204,0.159,0.204,947,384,-0.361,REACTOME,Deubiquitination R-HSA-5688426,True
CDK1,,,no,ENSG00000170312,Cyclin-dependent kinase 1 (CDK1),Nucleus,"double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;erythroid lineage cell;pro-B cell;fraction A pre-pro B cell",,0.252,0.316,0.316,1169,763,0.326,REACTOME,Deubiquitination R-HSA-5688426,False
