gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
AGO1,,,no,ENSG00000092847,Protein argonaute-1 (Argonaute1) (hAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Putative RNA-binding protein Q99),Cytoplasm,,,2.754,2.526,2.754,12781,6106,-0.124,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
ANGPT1,,,no,ENSG00000154188,Angiopoietin-1 (ANG-1),Secreted,preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell,ANGPT,0.517,0.291,0.517,2401,704,-0.829,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
ARHGEF7,,,no,ENSG00000102606,Rho guanine nucleotide exchange factor 7 (Beta-Pix) (COOL-1) (PAK-interacting exchange factor beta) (p85),Cell junction,smooth muscle myoblast;renal interstitial pericyte,,3.783,1.921,3.783,17557,4643,-0.978,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
ARRB1,,,no,ENSG00000137486,Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2),Cytoplasm;Nucleus;Cell membrane;Membrane,,,2.412,3.219,3.219,11193,7780,0.417,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
ARRB2,,,no,ENSG00000141480,Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3),Cytoplasm;Nucleus;Cell membrane;Membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;granulocyte;neutrophil;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;myeloid cell",,9.649,7.288,9.649,44780,17614,-0.405,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
BCL2L1,,,no,ENSG00000171552,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),Mitochondrion inner membrane,erythrocyte;enucleate erythrocyte;reticulocyte;enucleated reticulocyte,,5.766,4.478,5.766,26759,10823,-0.365,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
BRAF,,,no,ENSG00000157764,Serine/threonine-protein kinase B-raf,Nucleus,,,4.781,4.622,4.781,22187,11172,-0.049,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
CAMK2A,,,no,ENSG00000070808,Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha),Synapse,,,0.039,0.055,0.055,182,134,0.5,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
CAMK2B,,,no,ENSG00000058404,Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta),Cytoplasm,bipolar neuron;retinal bipolar neuron;ON-bipolar cell;rod bipolar cell;OFF-bipolar cell,,0.364,0.163,0.364,1690,393,-1.163,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
CAMK2D,,,no,ENSG00000145349,Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta),Cell membrane,cardiac muscle cell;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast;preadipocyte;brown preadipocyte,,3.368,2.622,3.368,15631,6337,-0.361,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
CAMK2G,,,no,ENSG00000148660,Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma),Sarcoplasmic reticulum membrane,astrocyte,,3.396,2.603,3.396,15759,6291,-0.384,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
CCND3,,,no,ENSG00000112576,G1/S-specific cyclin-D3,Nucleus,"platelet;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;late pro-B cell;immature natural killer cell;CD16-positive, CD56-dim natural killer cell, human;megakaryocyte;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",,3.737,2.546,3.737,17341,6153,-0.554,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
CDC14A,,,no,ENSG00000079335,Dual specificity protein phosphatase CDC14A,Nucleus,"kidney glomerular epithelial cell;podocyte;activated CD4-positive, alpha-beta T cell, human",,2.95,2.224,2.95,13691,5376,-0.407,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
CDC42,,,no,ENSG00000070831,Cell division control protein 42 homolog,Cell membrane,mast cell;mucosal type mast cell;peripheral blood mononuclear cell,,9.594,7.743,9.594,44523,18714,-0.309,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
CDK1,,,no,ENSG00000170312,Cyclin-dependent kinase 1 (CDK1),Nucleus,"double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;erythroid lineage cell;pro-B cell;fraction A pre-pro B cell",,0.252,0.316,0.316,1169,763,0.326,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
CSF2,,,no,ENSG00000164400,Granulocyte-macrophage colony-stimulating factor (GM-CSF) (Colony-stimulating factor) (CSF) (Molgramostin) (Sargramostim),Secreted,"endothelial cell of umbilical vein;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;type I NK T cell;group 3 innate lymphoid cell",IL4,0.041,0.053,0.053,189,127,0.368,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
CSF2RA,,,no,ENSG00000198223,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (GM-CSF-R-alpha) (GMCSFR-alpha) (GMR-alpha) (CDw116) (CD antigen CD116),Cell membrane,"elicited macrophage;inflammatory macrophage;microglial cell;colon macrophage;mononuclear phagocyte;placental villous trophoblast;syncytiotrophoblast cell;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell, human",IL4,1.319,1.046,1.319,6123,2527,-0.336,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
CSF2RB,,,no,ENSG00000100368,Cytokine receptor common subunit beta (CDw131) (GM-CSF/IL-3/IL-5 receptor common beta subunit) (CD antigen CD131),Membrane,follicular dendritic cell;granulocyte;basophil;eosinophil;plasmacytoid dendritic cell;basophil mast progenitor cell,IL4,1.762,2.063,2.063,8178,4987,0.228,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
CSK,,,no,ENSG00000103653,Tyrosine-protein kinase CSK,Cytoplasm,"CD141-positive myeloid dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;B-1a B cell;B-1b B cell;germinal center B cell;non-classical monocyte;CD14-low, CD16-positive monocyte;DN4 thymocyte;B cell;group 2 innate lymphoid cell",,11.752,8.758,11.752,54540,21168,-0.424,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
CUL3,,,no,ENSG00000036257,Cullin-3 (CUL-3),Nucleus,,,4.14,3.122,4.14,19214,7546,-0.407,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
DLG1,,,no,ENSG00000075711,Disks large homolog 1 (Synapse-associated protein 97) (SAP-97) (SAP97) (hDlg),Membrane,corneal endothelial cell;oligodendrocyte,,1.363,1.255,1.363,6325,3033,-0.119,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
DUSP5,,,no,ENSG00000138166,Dual specificity protein phosphatase 5,Nucleus,epithelial cell of lacrimal sac;urothelial cell;bladder urothelial cell;club cell;epithelial cell of urethra;conjunctival epithelial cell;IgA plasma cell;bladder cell,,0.619,0.451,0.619,2874,1090,-0.457,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
DUSP6,,,no,ENSG00000139318,Dual specificity protein phosphatase 6,Cytoplasm,classical monocyte;monocyte;group 2 innate lymphoid cell,,0.721,1.708,1.708,3344,4128,1.245,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
EGF,,,no,ENSG00000138798,Pro-epidermal growth factor (EGF),Membrane,kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney cell,EGF,0.081,0.088,0.088,377,212,0.111,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
