gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
ANAPC1,,,no,ENSG00000153107,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),,,,3.825,3.491,3.825,17751,8438,-0.132,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
ATG7,,,no,ENSG00000197548,Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (hAGP7) (Ubiquitin-activating enzyme E1-like protein),Cytoplasm,Kupffer cell;immature innate lymphoid cell,,1.501,1.25,1.501,6965,3021,-0.264,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
B2M,,,no,,,,,,63.118,52.943,63.118,292926,127957,-0.254,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
BECN1,,,no,ENSG00000126581,Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197),Cytoplasm,,,5.496,3.778,5.496,25506,9131,-0.541,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
BTK,,,no,ENSG00000010671,Tyrosine-protein kinase BTK,Cytoplasm,basophil;eosinophil;B-1a B cell;B-1b B cell;small pre-B-II cell;pre-B-I cell,,2.919,2.369,2.919,13545,5725,-0.301,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
BTRC,,,no,ENSG00000166167,F-box/WD repeat-containing protein 1A (E3RSIkappaB) (Epididymis tissue protein Li 2a) (F-box and WD repeats protein beta-TrCP) (pIkappaBalpha-E3 receptor subunit),Cytoplasm,,,1.88,1.689,1.88,8727,4082,-0.155,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
CANX,,,no,ENSG00000127022,Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90),Endoplasmic reticulum membrane,fallopian tube secretory epithelial cell;IgG plasmablast;IgA plasmablast;serous cell of epithelium of bronchus,,7.354,4.775,7.354,34127,11541,-0.623,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
CBLB,,,no,ENSG00000114423,E3 ubiquitin-protein ligase CBL-B,Cytoplasm,pigmented epithelial cell;podocyte;muscle precursor cell;cardiac muscle myoblast;alveolar type 2 fibroblast cell;preadipocyte;brown preadipocyte;fibro/adipogenic progenitor cell,,3.958,2.343,3.958,18370,5663,-0.756,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
CD207,,,no,ENSG00000116031,C-type lectin domain family 4 member K (Langerin) (CD antigen CD207),Membrane,mononuclear phagocyte;Langerhans cell,,0.063,0.149,0.149,292,360,1.243,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
CD36,,,no,ENSG00000135218,Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36),Cell membrane,"vein endothelial cell;capillary endothelial cell;dermis microvascular lymphatic vessel endothelial cell;Hofbauer cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast;dendritic cell, human;erythroid lineage cell;erythroblast;fat cell;white fat cell;adipocyte of breast",THBS,2.591,2.569,2.591,12024,6209,-0.012,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
CDC20,,,no,ENSG00000117399,Cell division cycle protein 20 homolog (p55CDC),Cytoplasm,,,0.644,0.347,0.644,2990,839,-0.892,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
CDC27,,,no,ENSG00000004897,Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC),Nucleus,enucleate erythrocyte;erythroblast,,3.214,4.181,4.181,14918,10106,0.379,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
CDC34,,,no,ENSG00000099804,Ubiquitin-conjugating enzyme E2 R1,Cytoplasm;Nucleus,,,4.554,2.669,4.554,21136,6451,-0.771,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
CHUK,,,no,ENSG00000213341,Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase),Cytoplasm,,,1.238,1.36,1.36,5747,3288,0.136,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
CTSL,,,no,ENSG00000135047,Procathepsin L,Lysosome,elicited macrophage;inflammatory macrophage;alternatively activated macrophage;lung macrophage;Hofbauer cell;extravillous trophoblast;placental villous trophoblast;syncytiotrophoblast cell;leukocyte;myeloid leukocyte;mast cell;mucosal type mast cell;myeloid cell;fibroblast;pancreatic stellate cell;fibroblast of mammary gland;fibroblast of breast,,7.976,6.736,7.976,37016,16281,-0.244,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
CUL1,,,no,ENSG00000055130,Cullin-1 (CUL-1),,,,6.355,4.883,6.355,29495,11802,-0.38,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
CUL2,,,no,ENSG00000108094,Cullin-2 (CUL-2),Nucleus,,,1.119,1.119,1.119,5194,2704,-0.0,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
CUL3,,,no,ENSG00000036257,Cullin-3 (CUL-3),Nucleus,,,4.14,3.122,4.14,19214,7546,-0.407,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
CUL5,,,no,ENSG00000166266,Cullin-5 (CUL-5) (Vasopressin-activated calcium-mobilizing receptor 1) (VACM-1),Nucleus,,,1.935,1.777,1.935,8981,4296,-0.123,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
CYBA,,,no,ENSG00000051523,Cytochrome b-245 light chain (Cytochrome b(558) alpha chain) (Cytochrome b558 subunit alpha) (Neutrophil cytochrome b 22 kDa polypeptide) (Superoxide-generating NADPH oxidase light chain subunit) (p22 phagocyte B-cytochrome) (p22-phox) (p22phox),Cell membrane,"plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;activated CD8-positive, alpha-beta T cell, human;plasma cell;IgG plasma cell;IgA plasma cell",,10.279,9.046,10.279,47703,21862,-0.184,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
CYBB,,,no,ENSG00000165168,Cytochrome b-245 heavy chain,Cell membrane,"phagocyte;macrophage;alveolar macrophage;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;immature neutrophil;leukocyte;professional antigen presenting cell;plasmacytoid dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;myeloid cell;promonocyte;myelocyte;granulocytopoietic cell",,3.863,4.441,4.441,17929,10733,0.201,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
DCAF1,,,no,ENSG00000145041,DDB1- and CUL4-associated factor 1 (HIV-1 Vpr-binding protein) (VprBP) (Serine/threonine-protein kinase VPRBP),Cytoplasm,,,2.186,1.73,2.186,10143,4181,-0.337,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
ELOB,,,no,ENSG00000103363,Elongin-B (EloB) (Elongin 18 kDa subunit) (RNA polymerase II transcription factor SIII subunit B) (SIII p18) (Transcription elongation factor B polypeptide 2),Nucleus,microfold cell of epithelium of small intestine;serous cell of epithelium of bronchus,,0.179,0.224,0.224,831,541,0.322,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
ELOC,,,no,ENSG00000154582,Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Transcription elongation factor B polypeptide 1),Nucleus,prostate gland microvascular endothelial cell;mesothelial cell of pleura,,1.153,0.947,1.153,5353,2288,-0.285,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
ERAP1,,,no,ENSG00000164307,Endoplasmic reticulum aminopeptidase 1,Endoplasmic reticulum membrane,skeletal muscle fiber;cell of skeletal muscle,,6.917,4.776,6.917,32099,11542,-0.534,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
FBXO27,,,no,,,,,,0.77,0.25,0.77,3572,604,-1.623,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
FBXW11,,,no,ENSG00000072803,F-box/WD repeat-containing protein 11 (F-box and WD repeats protein beta-TrCP2) (F-box/WD repeat-containing protein 1B) (Homologous to Slimb protein) (HOS),Cytoplasm,,,2.039,1.707,2.039,9461,4126,-0.256,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
FBXW7,,,no,ENSG00000109670,F-box/WD repeat-containing protein 7 (Archipelago homolog) (hAgo) (F-box and WD-40 domain-containing protein 7) (F-box protein FBX30) (SEL-10) (hCdc4),Nucleus,basal cell of epidermis,,0.75,0.612,0.75,3483,1479,-0.294,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
FCGR1A,,,no,ENSG00000150337,High affinity immunoglobulin gamma Fc receptor I (IgG Fc receptor I) (Fc-gamma RI) (FcRI) (Fc-gamma RIA) (FcgammaRIa) (CD antigen CD64),Cell membrane,phagocyte;macrophage;microglial cell;Hofbauer cell;classical monocyte;immature neutrophil;professional antigen presenting cell;myeloid leukocyte;mast cell;mucosal type mast cell;myeloid cell,,0.1,0.142,0.142,465,344,0.506,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
FZR1,,,no,ENSG00000105325,Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1),Cytoplasm,,,4.495,5.923,5.923,20859,14316,0.398,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
HERC2,,,no,ENSG00000128731,E3 ubiquitin-protein ligase HERC2,Cytoplasm;Cytoplasm,,,5.42,5.615,5.615,25156,13570,0.051,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
HERC6,,,no,ENSG00000138642,Probable E3 ubiquitin-protein ligase HERC6,Cytoplasm,"activated CD4-positive, alpha-beta T cell, human",,3.26,2.621,3.26,15131,6335,-0.315,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
HUWE1,,,no,ENSG00000086758,E3 ubiquitin-protein ligase HUWE1,Cytoplasm,Sertoli cell,,6.666,6.033,6.666,30938,14580,-0.144,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
IKBKB,,,no,ENSG00000104365,Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB),Cytoplasm,,,6.533,5.319,6.533,30318,12855,-0.297,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
IKBKG,,,no,ENSG00000269335,NF-kappa-B essential modulator (NEMO) (FIP-3) (IkB kinase-associated protein 1) (IKKAP1) (Inhibitor of nuclear factor kappa-B kinase subunit gamma) (I-kappa-B kinase subunit gamma) (IKK-gamma) (IKKG) (IkB kinase subunit gamma) (NF-kappa-B essential modifier),Cytoplasm,,,5.586,2.413,5.586,25926,5831,-1.211,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
ITCH,,,no,ENSG00000078747,E3 ubiquitin-protein ligase Itchy homolog (Itch),Cell membrane,preadipocyte,,5.147,4.62,5.147,23887,11167,-0.156,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
