gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,4.956,3.876,4.956,23000,9367,-0.355,KEGG,PI3K-Akt signaling pathway,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,11.782,8.423,11.782,54677,20357,-0.484,KEGG,PI3K-Akt signaling pathway,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,3.288,3.692,3.692,15260,8923,0.167,KEGG,PI3K-Akt signaling pathway,True
ANGPT1,,,no,ENSG00000154188,Angiopoietin-1 (ANG-1),Secreted,preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell,ANGPT,0.517,0.291,0.517,2401,704,-0.829,KEGG,PI3K-Akt signaling pathway,False
ANGPT2,,,no,ENSG00000091879,Angiopoietin-2 (ANG-2),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;endothelial cell of artery;capillary endothelial cell;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus;surface ectodermal cell;muscle cell;smooth muscle cell;trophoblast giant cell,ANGPT,1.659,0.429,1.659,7697,1036,-1.952,KEGG,PI3K-Akt signaling pathway,False
ATF2,,,no,ENSG00000115966,Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (Activating transcription factor 2) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (HB16) (cAMP response element-binding protein CRE-BP1),Nucleus;Cytoplasm;Mitochondrion outer membrane,,,3.756,3.685,3.756,17429,8907,-0.027,KEGG,PI3K-Akt signaling pathway,True
ATF4,,,no,ENSG00000128272,Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67),Nucleus,pancreatic PP cell;pancreatic acinar cell;PP cell,,27.592,20.66,27.592,128053,49933,-0.417,KEGG,PI3K-Akt signaling pathway,True
BAD,,,no,ENSG00000002330,Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death),Mitochondrion outer membrane;Cytoplasm,,,1.013,0.479,1.013,4702,1158,-1.08,KEGG,PI3K-Akt signaling pathway,False
BCL2,,,no,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,3.767,2.743,3.767,17483,6629,-0.458,KEGG,PI3K-Akt signaling pathway,False
BCL2L1,,,no,ENSG00000171552,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),Mitochondrion inner membrane,erythrocyte;enucleate erythrocyte;reticulocyte;enucleated reticulocyte,,5.766,4.478,5.766,26759,10823,-0.365,KEGG,PI3K-Akt signaling pathway,True
BCL2L11,,,no,ENSG00000153094,Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death),Endomembrane system,,,1.843,0.807,1.843,8555,1951,-1.191,KEGG,PI3K-Akt signaling pathway,False
BDNF,,,no,ENSG00000176697,Brain-derived neurotrophic factor (BDNF) (Abrineurin),Secreted,,NT,0.101,0.138,0.138,470,333,0.444,KEGG,PI3K-Akt signaling pathway,True
BRCA1,,,no,ENSG00000012048,Breast cancer type 1 susceptibility protein,Nucleus,,,0.335,0.46,0.46,1556,1111,0.455,KEGG,PI3K-Akt signaling pathway,True
CASP9,,,no,ENSG00000132906,Caspase-9 (CASP-9),,,,0.967,0.979,0.979,4488,2367,0.018,KEGG,PI3K-Akt signaling pathway,False
CCND1,,,no,ENSG00000110092,G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene),Nucleus,glioblast;Schwann cell precursor;epithelial cell;type I pneumocyte;epithelial cell of uterus;epithelial cell of thymus;cortical thymic epithelial cell,,0.821,1.147,1.147,3809,2772,0.483,KEGG,PI3K-Akt signaling pathway,False
CCND2,,,no,ENSG00000118971,G1/S-specific cyclin-D2,Nucleus,"intestinal crypt stem cell of small intestine;IgG plasmablast;IgA plasmablast;activated CD4-positive, alpha-beta T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;neural progenitor cell",,3.517,5.864,5.864,16320,14172,0.738,KEGG,PI3K-Akt signaling pathway,False
