gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
ACKR3,,,no,ENSG00000144476,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),Cell membrane,mesenchymal stem cell;endothelial cell of lymphatic vessel;endocardial cell;endosteal cell;surface ectodermal cell;keratocyte;fibroblast of breast;myofibroblast cell,CXCL;MIF,0.461,0.65,0.65,2141,1570,0.494,KEGG,Cytokine-cytokine receptor interaction,False
ACVR1,,,no,ENSG00000115170,Activin receptor type-1,Membrane,,TGFb;BMP;AMH,0.938,0.837,0.938,4352,2022,-0.165,KEGG,Cytokine-cytokine receptor interaction,True
ACVR1B,,,no,ENSG00000135503,Activin receptor type-1B,Cell membrane,,TGFb;GDF;MSTN;NODAL;ACTIVIN,3.302,2.494,3.302,15323,6027,-0.405,KEGG,Cytokine-cytokine receptor interaction,True
ACVR2A,,,no,ENSG00000121989,Activin receptor type-2A,Cell membrane,,BMP;BMP10;GDF;MSTN;NODAL;ACTIVIN,1.403,1.076,1.403,6510,2601,-0.382,KEGG,Cytokine-cytokine receptor interaction,True
ACVRL1,,,no,ENSG00000139567,Serine/threonine-protein kinase receptor R3 (SKR3),Cell membrane,mesenchymal stem cell;epithelial cell;blood vessel endothelial cell;endothelial cell of umbilical vein;vasa recta descending limb cell;endothelial cell of artery;capillary endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;fibroblast of breast,BMP10,0.962,1.069,1.069,4463,2583,0.152,KEGG,Cytokine-cytokine receptor interaction,False
BMP2,,,no,ENSG00000125845,Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A),Secreted,endothelial cell of lymphatic vessel,BMP,0.232,0.248,0.248,1078,600,0.096,KEGG,Cytokine-cytokine receptor interaction,False
BMP4,,,no,ENSG00000125378,Bone morphogenetic protein 4 (BMP-4) (Bone morphogenetic protein 2B) (BMP-2B),Secreted,mesodermal cell;connective tissue cell;fibroblast;fibroblast of lung;bronchus fibroblast of lung;mesenchymal cell,BMP,0.319,0.374,0.374,1479,903,0.229,KEGG,Cytokine-cytokine receptor interaction,False
BMP5,,,no,ENSG00000112175,Bone morphogenetic protein 5 (BMP-5),Secreted,fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;chondrocyte;pericyte,BMP,0.146,0.198,0.198,678,478,0.437,KEGG,Cytokine-cytokine receptor interaction,False
BMP6,,,no,ENSG00000153162,Bone morphogenetic protein 6 (BMP-6) (VG-1-related protein) (VG-1-R) (VGR-1),Secreted,cardiac endothelial cell,BMP,0.255,0.257,0.257,1183,620,0.009,KEGG,Cytokine-cytokine receptor interaction,False
BMP7,,,no,ENSG00000101144,Bone morphogenetic protein 7 (BMP-7) (Osteogenic protein 1) (OP-1) (Eptotermin alfa),Secreted,,BMP,0.723,1.042,1.042,3357,2518,0.526,KEGG,Cytokine-cytokine receptor interaction,True
BMP8A,,,no,ENSG00000183682,Bone morphogenetic protein 8A (BMP-8A),Secreted,,BMP,0.243,0.213,0.243,1130,516,-0.19,KEGG,Cytokine-cytokine receptor interaction,True
BMP8B,,,no,ENSG00000116985,Bone morphogenetic protein 8B (BMP-8) (BMP-8B) (Osteogenic protein 2) (OP-2),Secreted,,BMP,0.058,0.062,0.062,271,150,0.088,KEGG,Cytokine-cytokine receptor interaction,True
BMPR1A,,,no,ENSG00000107779,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A),Cell membrane,smooth muscle cell of sphincter of pupil;ciliary muscle cell,BMP;AMH,1.105,1.11,1.11,5127,2683,0.007,KEGG,Cytokine-cytokine receptor interaction,False
BMPR1B,,,no,ENSG00000138696,Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B),Cell membrane,kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney collecting duct intercalated cell;neuroendocrine cell;chromaffin cell;renal principal cell;renal beta-intercalated cell;lung goblet cell;taste receptor cell;luminal cell of prostate epithelium;kidney connecting tubule epithelial cell;astrocyte;Bergmann glial cell;sympathetic neuron;fibroblast;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell;kidney collecting duct cell,BMP,0.04,0.056,0.056,185,135,0.487,KEGG,Cytokine-cytokine receptor interaction,False
BMPR2,,,no,ENSG00000204217,Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2),Cell membrane,epithelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;cardiac endothelial cell,BMP;BMP10;GDF,4.503,3.858,4.503,20896,9325,-0.223,KEGG,Cytokine-cytokine receptor interaction,False
CCL1,,,no,ENSG00000108702,C-C motif chemokine 1 (Small-inducible cytokine A1) (T lymphocyte-secreted protein I-309),Secreted,,CCL,0.076,0.076,0.076,355,183,-0.015,KEGG,Cytokine-cytokine receptor interaction,True
CCL11,,,no,ENSG00000172156,Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11),Secreted,,CCL,0.078,0.141,0.141,360,340,0.859,KEGG,Cytokine-cytokine receptor interaction,True
CCL13,,,no,ENSG00000181374,C-C motif chemokine 13 (CK-beta-10) (Monocyte chemoattractant protein 4) (Monocyte chemotactic protein 4) (MCP-4) (NCC-1) (Small-inducible cytokine A13),Secreted,,CCL,0.203,0.406,0.406,942,981,1.0,KEGG,Cytokine-cytokine receptor interaction,True
CCL14,,,no,ENSG00000276409,C-C motif chemokine 14 (Chemokine CC-1/CC-3) (HCC-1/HCC-3) (HCC-1(1-74)) (NCC-2) (Small-inducible cytokine A14),Secreted,epithelial cell;squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta ascending limb cell;retinal blood vessel endothelial cell;kidney capillary endothelial cell;lung microvascular endothelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;basal cell of prostate epithelium;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus,CCL,2.418,1.408,2.418,11221,3403,-0.78,KEGG,Cytokine-cytokine receptor interaction,False
CCL15,,,no,ENSG00000275718,C-C motif chemokine 15 (Chemokine CC-2) (HCC-2) (Leukotactin-1) (LKN-1) (MIP-1 delta) (Macrophage inflammatory protein 5) (MIP-5) (Mrp-2b) (NCC-3) (Small-inducible cytokine A15),Secreted,enterocyte of epithelium of large intestine;enterocyte of colon;intestine goblet cell;large intestine goblet cell;colon goblet cell;paneth cell;paneth cell of colon;microfold cell of epithelium of small intestine;epithelial cell of large intestine;colon epithelial cell,CCL,0.059,0.064,0.064,275,155,0.114,KEGG,Cytokine-cytokine receptor interaction,True
CCL16,,,no,ENSG00000275152,C-C motif chemokine 16 (Chemokine CC-4) (HCC-4) (Chemokine LEC) (IL-10-inducible chemokine) (LCC-1) (Liver-expressed chemokine) (Lymphocyte and monocyte chemoattractant) (LMC) (Monotactin-1) (MTN-1) (NCC-4) (Small-inducible cytokine A16),Secreted,,CCL,0.243,0.163,0.243,1130,393,-0.582,KEGG,Cytokine-cytokine receptor interaction,True
CCL17,,,no,ENSG00000102970,C-C motif chemokine 17 (CC chemokine TARC) (Small-inducible cytokine A17) (Thymus and activation-regulated chemokine),Secreted,"mononuclear phagocyte;myeloid dendritic cell, human",CCL,0.354,0.127,0.354,1642,307,-1.478,KEGG,Cytokine-cytokine receptor interaction,False
CCL18,,,no,ENSG00000275385,C-C motif chemokine 18 (Alternative macrophage activation-associated CC chemokine 1) (AMAC-1) (CC chemokine PARC) (Dendritic cell chemokine 1) (DC-CK1) (Macrophage inflammatory protein 4) (MIP-4) (Pulmonary and activation-regulated chemokine) (Small-inducible cytokine A18),Secreted,macrophage;alternatively activated macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;basophil;professional antigen presenting cell,CCL,2.623,2.624,2.624,12171,6343,0.001,KEGG,Cytokine-cytokine receptor interaction,False
CCL19,,,no,ENSG00000172724,C-C motif chemokine 19 (Beta-chemokine exodus-3) (CK beta-11) (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Macrophage inflammatory protein 3 beta) (MIP-3-beta) (Small-inducible cytokine A19),Secreted,epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;follicular dendritic cell;smooth muscle cell of prostate;connective tissue cell;fibroblast;fibroblast of lung;pericyte;mural cell;inflammatory cell,CCL,4.95,7.824,7.824,22972,18910,0.661,KEGG,Cytokine-cytokine receptor interaction,False
CCL20,,,no,ENSG00000115009,C-C motif chemokine 20 (Beta-chemokine exodus-1) (CC chemokine LARC) (Liver and activation-regulated chemokine) (Macrophage inflammatory protein 3 alpha) (MIP-3-alpha) (Small-inducible cytokine A20),Secreted,epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;paneth cell;M cell of gut;club cell;epithelial cell of urethra;inflammatory macrophage;T-helper 1 cell;lung secretory cell,CCL,0.178,0.15,0.178,827,362,-0.251,KEGG,Cytokine-cytokine receptor interaction,False
CCL21,,,no,,,,,,0.79,0.616,0.79,3664,1490,-0.357,KEGG,Cytokine-cytokine receptor interaction,False
CCL22,,,no,ENSG00000102962,C-C motif chemokine 22 (CC chemokine STCP-1) (MDC(1-69)) (Macrophage-derived chemokine) (Small-inducible cytokine A22) (Stimulated T-cell chemotactic protein 1),Secreted,"Langerhans cell;myeloid dendritic cell, human;mature conventional dendritic cell;type I NK T cell",CCL,1.272,0.892,1.272,5903,2155,-0.512,KEGG,Cytokine-cytokine receptor interaction,False
CCL23,,,no,ENSG00000274736,C-C motif chemokine 23 (CK-beta-8) (CKB-8) (Macrophage inflammatory protein 3) (MIP-3) (Myeloid progenitor inhibitory factor 1) (MPIF-1) (Small-inducible cytokine A23),Secreted,endothelial cell of uterus,CCL,0.108,0.137,0.137,502,332,0.345,KEGG,Cytokine-cytokine receptor interaction,False
CCL24,,,no,ENSG00000106178,C-C motif chemokine 24 (CK-beta-6) (Eosinophil chemotactic protein 2) (Eotaxin-2) (Myeloid progenitor inhibitory factor 2) (MPIF-2) (Small-inducible cytokine A24),Secreted,,CCL,0.302,0.764,0.764,1402,1847,1.339,KEGG,Cytokine-cytokine receptor interaction,True
CCL25,,,no,ENSG00000131142,C-C motif chemokine 25 (Chemokine TECK) (Small-inducible cytokine A25) (Thymus-expressed chemokine),Secreted,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;columnar/cuboidal epithelial cell;intestine goblet cell;M cell of gut;microfold cell of epithelium of small intestine;intestinal epithelial cell;epithelial cell of small intestine;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;transit amplifying cell of small intestine,CCL,6.693,0.938,6.693,31062,2267,-2.835,KEGG,Cytokine-cytokine receptor interaction,False
CCL26,,,no,ENSG00000006606,C-C motif chemokine 26 (CC chemokine IMAC) (Eotaxin-3) (Macrophage inflammatory protein 4-alpha) (MIP-4-alpha) (Small-inducible cytokine A26) (Thymic stroma chemokine-1) (TSC-1),Secreted,,CCL,0.125,0.198,0.198,582,479,0.66,KEGG,Cytokine-cytokine receptor interaction,True
CCL27,,,no,ENSG00000213927,C-C motif chemokine 27 (CC chemokine ILC) (Cutaneous T-cell-attracting chemokine) (CTACK) (ESkine) (IL-11 R-alpha-locus chemokine) (Skinkine) (Small-inducible cytokine A27),Secreted,stem cell of epidermis;keratinocyte;epidermal cell,CCL,0.4,0.171,0.4,1857,414,-1.224,KEGG,Cytokine-cytokine receptor interaction,True
CCL28,,,no,ENSG00000151882,C-C motif chemokine 28 (Mucosae-associated epithelial chemokine) (MEC) (Protein CCK1) (Small-inducible cytokine A28),Secreted,duct epithelial cell;luminal epithelial cell of mammary gland;acinar cell;acinar cell of salivary gland;mammary gland epithelial cell;salivary gland cell;tracheobronchial serous cell;serous cell of epithelium of trachea,CCL,0.368,0.453,0.453,1709,1094,0.298,KEGG,Cytokine-cytokine receptor interaction,True
CCL5,,,no,,,,,,93.621,96.949,96.949,434488,234313,0.05,KEGG,Cytokine-cytokine receptor interaction,True
CCL7,,,no,ENSG00000108688,C-C motif chemokine 7 (Monocyte chemoattractant protein 3) (Monocyte chemotactic protein 3) (MCP-3) (NC28) (Small-inducible cytokine A7),Secreted,,CCL,0.055,0.091,0.091,253,220,0.74,KEGG,Cytokine-cytokine receptor interaction,True
CCL8,,,no,ENSG00000108700,C-C motif chemokine 8 (HC14) (Monocyte chemoattractant protein 2) (Monocyte chemotactic protein 2) (MCP-2) (Small-inducible cytokine A8),Secreted,vasa recta descending limb cell;vascular associated smooth muscle cell;pericyte;mural cell,CCL,0.089,0.257,0.257,415,620,1.52,KEGG,Cytokine-cytokine receptor interaction,False
CCR1,,,no,ENSG00000163823,C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (HM145) (LD78 receptor) (Macrophage inflammatory protein 1-alpha receptor) (MIP-1alpha-R) (RANTES-R) (CD antigen CD191),Cell membrane,phagocyte;elicited macrophage;alternatively activated macrophage;intermediate monocyte,CCL,1.834,1.363,1.834,8510,3293,-0.428,KEGG,Cytokine-cytokine receptor interaction,False
CCR2,,,no,ENSG00000121807,C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192),Cell membrane,classical monocyte;IgG plasmablast;IgA plasmablast;monocyte,CCL,0.517,1.124,1.124,2401,2716,1.119,KEGG,Cytokine-cytokine receptor interaction,False
CCR3,,,no,ENSG00000183625,C-C chemokine receptor type 3 (C C CKR3) (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR 3) (CKR3) (Eosinophil eotaxin receptor) (CD antigen CD193),Cell membrane,"CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell",CCL,0.038,0.065,0.065,175,158,0.794,KEGG,Cytokine-cytokine receptor interaction,False
CCR4,,,no,ENSG00000183813,C-C chemokine receptor type 4 (C-C CKR-4) (CC-CKR-4) (CCR-4) (CCR4) (K5-5) (CD antigen CD194),Cell membrane,"CD4-positive helper T cell;T follicular helper cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;memory T cell;regulatory T cell",CCL,1.19,0.793,1.19,5522,1917,-0.585,KEGG,Cytokine-cytokine receptor interaction,False
CCR5,,,no,ENSG00000160791,C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CHEMR13) (HIV-1 fusion coreceptor) (CD antigen CD195),Cell membrane,,CCL,0.158,0.118,0.158,732,286,-0.415,KEGG,Cytokine-cytokine receptor interaction,True
CCR6,,,no,ENSG00000112486,C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (Chemokine receptor-like 3) (CKR-L3) (DRY6) (G-protein coupled receptor 29) (GPR-CY4) (GPRCY4) (LARC receptor) (CD antigen CD196),Cell membrane,"Langerhans cell;T cell;CD4-positive helper T cell;T-helper 1 cell;T-helper 17 cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;effector memory CD4-positive, alpha-beta T cell;mucosal invariant T cell;memory T cell;regulatory T cell;group 3 innate lymphoid cell",CCL,1.509,0.817,1.509,7004,1975,-0.885,KEGG,Cytokine-cytokine receptor interaction,False
CCR7,,,no,ENSG00000126353,C-C chemokine receptor type 7 (C-C CKR-7) (CC-CKR-7) (CCR-7) (BLR2) (CDw197) (Epstein-Barr virus-induced G-protein coupled receptor 1) (EBI1) (EBV-induced G-protein coupled receptor 1) (MIP-3 beta receptor) (CD antigen CD197),Cell membrane,"leukocyte;myeloid dendritic cell, human;mature conventional dendritic cell;IgG-negative class switched memory B cell;B-1a B cell;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;effector CD4-positive, alpha-beta T cell;naive thymus-derived CD8-positive, alpha-beta T cell;mature T cell;regulatory T cell;naive T cell;DN3 thymocyte",CCL,2.61,0.992,2.61,12114,2398,-1.396,KEGG,Cytokine-cytokine receptor interaction,False
CCR8,,,no,ENSG00000179934,C-C chemokine receptor type 8 (C-C CKR-8) (CC-CKR-8) (CCR-8) (CC chemokine receptor CHEMR1) (CMKBRL2) (Chemokine receptor-like 1) (CKR-L1) (GPR-CY6) (GPRCY6) (TER1) (CD antigen CDw198),Cell membrane,"effector memory CD8-positive, alpha-beta T cell",CCL,0.261,0.125,0.261,1213,303,-1.06,KEGG,Cytokine-cytokine receptor interaction,False
CCR9,,,no,ENSG00000173585,C-C chemokine receptor type 9 (C-C CKR-9) (CC-CKR-9) (CCR-9) (G-protein coupled receptor 28) (GPR-9-6) (CD antigen CDw199),Cell membrane,"immature alpha-beta T cell;CD8-positive, alpha-beta memory T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;intraepithelial lymphocyte;immature T cell;thymocyte",CCL,3.038,1.99,3.038,14101,4809,-0.611,KEGG,Cytokine-cytokine receptor interaction,False
CD27,,,no,ENSG00000139193,CD27 antigen (CD27L receptor) (T-cell activation antigen CD27) (T14) (Tumor necrosis factor receptor superfamily member 7) (CD antigen CD27),Membrane,"leukocyte;mature B cell;follicular B cell;germinal center B cell;plasmablast;mononuclear cell;lymphocyte;T cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human;naive thymus-derived CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature T cell;regulatory T cell;naive T cell;exhausted T cell;intraepithelial lymphocyte;DN3 thymocyte;DN4 thymocyte;double negative T regulatory cell;late pro-B cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell",CD70,3.733,3.641,3.733,17324,8799,-0.036,KEGG,Cytokine-cytokine receptor interaction,False
CD4,,,no,ENSG00000010610,T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4),Cell membrane,"macrophage;colon macrophage;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;lymphocyte;T cell;T-helper 1 cell;T follicular helper cell;effector memory CD4-positive, alpha-beta T cell;regulatory T cell;cytotoxic T cell",IL16;MHC-II,11.554,6.913,11.554,53620,16707,-0.741,KEGG,Cytokine-cytokine receptor interaction,False
