gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
ADCY2,,,no,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,,0.366,0.169,0.366,1700,408,-1.118,KEGG,Chemokine signaling pathway,False
ADCY3,,,no,,,,,,8.191,4.7,8.191,38016,11359,-0.802,KEGG,Chemokine signaling pathway,True
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,4.956,3.876,4.956,23000,9367,-0.355,KEGG,Chemokine signaling pathway,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,11.782,8.423,11.782,54677,20357,-0.484,KEGG,Chemokine signaling pathway,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,3.288,3.692,3.692,15260,8923,0.167,KEGG,Chemokine signaling pathway,True
ARRB1,,,no,ENSG00000137486,Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2),Cytoplasm;Nucleus;Cell membrane;Membrane,,,2.412,3.219,3.219,11193,7780,0.417,KEGG,Chemokine signaling pathway,True
ARRB2,,,no,ENSG00000141480,Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3),Cytoplasm;Nucleus;Cell membrane;Membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;granulocyte;neutrophil;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;myeloid cell",,9.649,7.288,9.649,44780,17614,-0.405,KEGG,Chemokine signaling pathway,False
BAD,,,no,ENSG00000002330,Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death),Mitochondrion outer membrane;Cytoplasm,,,1.013,0.479,1.013,4702,1158,-1.08,KEGG,Chemokine signaling pathway,False
BCAR1,,,no,ENSG00000050820,Breast cancer anti-estrogen resistance protein 1 (CRK-associated substrate) (Cas scaffolding protein family member 1) (p130cas),Cell junction,,,0.287,0.434,0.434,1332,1049,0.597,KEGG,Chemokine signaling pathway,True
BRAF,,,no,ENSG00000157764,Serine/threonine-protein kinase B-raf,Nucleus,,,4.781,4.622,4.781,22187,11172,-0.049,KEGG,Chemokine signaling pathway,True
CCL1,,,no,ENSG00000108702,C-C motif chemokine 1 (Small-inducible cytokine A1) (T lymphocyte-secreted protein I-309),Secreted,,CCL,0.076,0.076,0.076,355,183,-0.015,KEGG,Chemokine signaling pathway,True
CCL11,,,no,ENSG00000172156,Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11),Secreted,,CCL,0.078,0.141,0.141,360,340,0.859,KEGG,Chemokine signaling pathway,True
CCL13,,,no,ENSG00000181374,C-C motif chemokine 13 (CK-beta-10) (Monocyte chemoattractant protein 4) (Monocyte chemotactic protein 4) (MCP-4) (NCC-1) (Small-inducible cytokine A13),Secreted,,CCL,0.203,0.406,0.406,942,981,1.0,KEGG,Chemokine signaling pathway,True
CCL14,,,no,ENSG00000276409,C-C motif chemokine 14 (Chemokine CC-1/CC-3) (HCC-1/HCC-3) (HCC-1(1-74)) (NCC-2) (Small-inducible cytokine A14),Secreted,epithelial cell;squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta ascending limb cell;retinal blood vessel endothelial cell;kidney capillary endothelial cell;lung microvascular endothelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;basal cell of prostate epithelium;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus,CCL,2.418,1.408,2.418,11221,3403,-0.78,KEGG,Chemokine signaling pathway,False
