gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
AIFM1,,,no,ENSG00000156709,"Apoptosis-inducing factor 1, mitochondrial",Mitochondrion intermembrane space,,,2.888,2.23,2.888,13401,5390,-0.373,KEGG,Apoptosis,True
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,4.956,3.876,4.956,23000,9367,-0.355,KEGG,Apoptosis,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,11.782,8.423,11.782,54677,20357,-0.484,KEGG,Apoptosis,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,3.288,3.692,3.692,15260,8923,0.167,KEGG,Apoptosis,True
APAF1,,,no,ENSG00000120868,Apoptotic protease-activating factor 1 (APAF-1),Cytoplasm,,,1.167,1.348,1.348,5418,3257,0.207,KEGG,Apoptosis,True
ATF4,,,no,ENSG00000128272,Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67),Nucleus,pancreatic PP cell;pancreatic acinar cell;PP cell,,27.592,20.66,27.592,128053,49933,-0.417,KEGG,Apoptosis,True
ATM,,,no,ENSG00000149311,Serine-protein kinase ATM,Nucleus,"central nervous system macrophage;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;mucosal invariant T cell;mature T cell",,8.935,8.097,8.935,41468,19570,-0.142,KEGG,Apoptosis,False
BAD,,,no,ENSG00000002330,Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death),Mitochondrion outer membrane;Cytoplasm,,,1.013,0.479,1.013,4702,1158,-1.08,KEGG,Apoptosis,False
BAK1,,,no,ENSG00000030110,Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK) (Bcl-2-like protein 7) (Bcl2-L-7),Mitochondrion outer membrane,,,1.89,2.317,2.317,8771,5601,0.294,KEGG,Apoptosis,True
BAX,,,no,ENSG00000087088,Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4),Cytoplasm,,,2.609,1.904,2.609,12106,4602,-0.454,KEGG,Apoptosis,False
BBC3,,,no,ENSG00000105327,"Bcl-2-binding component 3, isoforms 3/4 (JFY-1) (p53 up-regulated modulator of apoptosis)",,duct epithelial cell;luminal epithelial cell of mammary gland;epithelial cell of uterus;mammary gland epithelial cell,,2.248,0.913,2.248,10434,2206,-1.301,KEGG,Apoptosis,True
BCL2,,,no,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,3.767,2.743,3.767,17483,6629,-0.458,KEGG,Apoptosis,False
BCL2A1,,,no,ENSG00000140379,Bcl-2-related protein A1 (Bcl-2-like protein 5) (Bcl2-L-5) (Hemopoietic-specific early response protein) (Protein BFL-1) (Protein GRS),Cytoplasm,"phagocyte;macrophage;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;colon macrophage;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;follicular dendritic cell;hematopoietic cell;blood cell;granulocyte;neutrophil;leukocyte;professional antigen presenting cell;myeloid dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;myeloid cell;myelocyte",,0.402,0.518,0.518,1864,1251,0.366,KEGG,Apoptosis,False
BCL2L1,,,no,ENSG00000171552,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),Mitochondrion inner membrane,erythrocyte;enucleate erythrocyte;reticulocyte;enucleated reticulocyte,,5.766,4.478,5.766,26759,10823,-0.365,KEGG,Apoptosis,True
BCL2L11,,,no,ENSG00000153094,Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death),Endomembrane system,,,1.843,0.807,1.843,8555,1951,-1.191,KEGG,Apoptosis,False
BECN1,,,no,ENSG00000126581,Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197),Cytoplasm,,,5.496,3.778,5.496,25506,9131,-0.541,KEGG,Apoptosis,True
BID,,,no,ENSG00000015475,BH3-interacting domain death agonist (p22 BID) (BID),Cytoplasm,"CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;non-classical monocyte;pre-conventional dendritic cell",,0.9,1.172,1.172,4178,2833,0.381,KEGG,Apoptosis,False
BIRC2,,,no,ENSG00000110330,Baculoviral IAP repeat-containing protein 2,Cytoplasm;Nucleus,,,5.748,5.06,5.748,26675,12230,-0.184,KEGG,Apoptosis,True
BIRC5,,,no,ENSG00000089685,Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin),Cytoplasm,"double-positive, alpha-beta thymocyte;large pre-B-II cell",,0.559,0.511,0.559,2594,1234,-0.131,KEGG,Apoptosis,False
BIRC7,,,no,ENSG00000101197,Baculoviral IAP repeat-containing protein 7,Nucleus,,,0.136,0.506,0.506,631,1223,1.896,KEGG,Apoptosis,True
CAPN1,,,no,ENSG00000014216,Calpain-1 catalytic subunit,Cytoplasm,club cell,,2.081,1.517,2.081,9658,3667,-0.456,KEGG,Apoptosis,False
CASP10,,,no,ENSG00000003400,Caspase-10 (CASP-10),,,,1.731,1.67,1.731,8032,4036,-0.052,KEGG,Apoptosis,True
CASP2,,,no,ENSG00000106144,Caspase-2 (CASP-2),,,,5.403,5.34,5.403,25076,12905,-0.017,KEGG,Apoptosis,True
CASP3,,,no,ENSG00000164305,Caspase-3 (CASP-3),Cytoplasm,"erythroid progenitor cell;erythroid progenitor cell, mammalian",,3.016,3.198,3.198,13998,7729,0.084,KEGG,Apoptosis,False
CASP6,,,no,ENSG00000138794,Caspase-6 (CASP-6) (CSP-6),Cytoplasm,intestinal tuft cell;tuft cell of colon,,1.519,1.247,1.519,7051,3013,-0.285,KEGG,Apoptosis,False
CASP7,,,no,ENSG00000165806,Caspase-7 (CASP-7),Cytoplasm,respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell,,0.798,1.029,1.029,3703,2488,0.368,KEGG,Apoptosis,False
CASP8,,,no,ENSG00000064012,Caspase-8 (CASP-8),Cytoplasm,"memory regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell",,3.354,2.655,3.354,15566,6418,-0.337,KEGG,Apoptosis,False
CASP9,,,no,ENSG00000132906,Caspase-9 (CASP-9),,,,0.967,0.979,0.979,4488,2367,0.018,KEGG,Apoptosis,False
CFLAR,,,no,ENSG00000003402,CASP8 and FADD-like apoptosis regulator (Caspase homolog) (CASH) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (Cellular FLICE-like inhibitory protein) (c-FLIP) (FADD-like antiapoptotic molecule 1) (FLAME-1) (Inhibitor of FLICE) (I-FLICE) (MACH-related inducer of toxicity) (MRIT) (Usurpin),,epithelial cell of lacrimal sac;inflammatory macrophage,,14.127,7.631,14.127,65561,18444,-0.888,KEGG,Apoptosis,False
CHUK,,,no,ENSG00000213341,Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase),Cytoplasm,,,1.238,1.36,1.36,5747,3288,0.136,KEGG,Apoptosis,True
CSF2RB,,,no,ENSG00000100368,Cytokine receptor common subunit beta (CDw131) (GM-CSF/IL-3/IL-5 receptor common beta subunit) (CD antigen CD131),Membrane,follicular dendritic cell;granulocyte;basophil;eosinophil;plasmacytoid dendritic cell;basophil mast progenitor cell,IL4,1.762,2.063,2.063,8178,4987,0.228,KEGG,Apoptosis,False
CTSC,,,no,ENSG00000109861,Dipeptidyl peptidase 1,Lysosome,"type II pneumocyte;club cell;alveolar macrophage;lung macrophage;Hofbauer cell;plasmacytoid dendritic cell, human;lung secretory cell",,4.986,4.393,4.986,23141,10618,-0.183,KEGG,Apoptosis,False
CTSH,,,no,ENSG00000103811,Pro-cathepsin H,Lysosome,"intrahepatic cholangiocyte;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;urothelial cell;bladder urothelial cell;follicular dendritic cell;conventional dendritic cell;myeloid dendritic cell, human;mature conventional dendritic cell;lung secretory cell;bladder cell",,4.149,2.891,4.149,19255,6986,-0.521,KEGG,Apoptosis,False
CTSK,,,no,ENSG00000143387,Cathepsin K,Lysosome,endosteal cell;osteoclast;preosteoblast;decidual cell;connective tissue cell;fibroblast;keratocyte;reticular cell;fibroblast of mammary gland;skin fibroblast;fibroblast of breast;myofibroblast cell;stromal cell;tendon cell;adventitial cell;inflammatory cell,,1.131,1.498,1.498,5249,3621,0.406,KEGG,Apoptosis,False
CTSL,,,no,ENSG00000135047,Procathepsin L,Lysosome,elicited macrophage;inflammatory macrophage;alternatively activated macrophage;lung macrophage;Hofbauer cell;extravillous trophoblast;placental villous trophoblast;syncytiotrophoblast cell;leukocyte;myeloid leukocyte;mast cell;mucosal type mast cell;myeloid cell;fibroblast;pancreatic stellate cell;fibroblast of mammary gland;fibroblast of breast,,7.976,6.736,7.976,37016,16281,-0.244,KEGG,Apoptosis,False
CYCS,,,no,ENSG00000172115,Cytochrome c,Mitochondrion intermembrane space,epithelial cell of urethra;osteoclast;fibroblast of connective tissue of nonglandular part of prostate,,1.368,1.938,1.938,6349,4684,0.502,KEGG,Apoptosis,False
DAXX,,,no,ENSG00000204209,Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein),Cytoplasm,,,3.872,3.193,3.872,17971,7717,-0.278,KEGG,Apoptosis,True
DDIT3,,,no,ENSG00000175197,DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153),Cytoplasm,epithelial cell of uterus;B cell;Mueller cell,,0.739,0.738,0.739,3428,1783,-0.002,KEGG,Apoptosis,False
DIABLO,,,no,ENSG00000184047,"Diablo IAP-binding mitochondrial protein (Diablo homolog, mitochondrial) (Direct IAP-binding protein with low pI) (Second mitochondria-derived activator of caspase) (Smac)",Mitochondrion,,,0.388,0.342,0.388,1800,826,-0.183,KEGG,Apoptosis,True
EIF2AK3,,,no,ENSG00000172071,Eukaryotic translation initiation factor 2-alpha kinase 3,Endoplasmic reticulum membrane,,,2.351,2.02,2.351,10911,4881,-0.219,KEGG,Apoptosis,True
EIF2S1,,,no,ENSG00000134001,Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha) (eIF2-alpha),Cytoplasm,,,2.456,2.274,2.456,11397,5496,-0.111,KEGG,Apoptosis,True
ERN1,,,no,ENSG00000178607,Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a),Endoplasmic reticulum membrane,mucosal invariant T cell;plasma cell;IgG plasma cell;IgA plasma cell,,2.625,1.648,2.625,12182,3983,-0.672,KEGG,Apoptosis,False
FADD,,,no,ENSG00000168040,FAS-associated death domain protein (FAS-associating death domain-containing protein) (Growth-inhibiting gene 3 protein) (Mediator of receptor induced toxicity),,,,2.684,1.754,2.684,12456,4239,-0.614,KEGG,Apoptosis,True
FAS,,,no,ENSG00000026103,Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95),Secreted,basal cell of prostate epithelium;medullary thymic epithelial cell,FASLG,2.323,1.828,2.323,10781,4418,-0.346,KEGG,Apoptosis,False
FASLG,,,no,ENSG00000117560,Tumor necrosis factor ligand superfamily member 6 (Apoptosis antigen ligand) (APTL) (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178),Cell membrane,"activated CD8-positive, alpha-beta T cell;gamma-delta T cell;intraepithelial lymphocyte;CD16-negative, CD56-bright natural killer cell, human",,0.073,0.132,0.132,340,319,0.849,KEGG,Apoptosis,False
GADD45A,,,no,ENSG00000116717,Growth arrest and DNA damage-inducible protein GADD45 alpha (DNA damage-inducible transcript 1 protein) (DDIT-1),Nucleus,myoepithelial cell of mammary gland;urothelial cell;bladder urothelial cell;epithelial cell of uterus;epithelial cell of prostate;basal cell of prostate epithelium;epithelial cell of urethra;myometrial cell;bladder cell,,3.576,2.255,3.576,16594,5450,-0.665,KEGG,Apoptosis,True
GADD45G,,,no,ENSG00000130222,Growth arrest and DNA damage-inducible protein GADD45 gamma (Cytokine-responsive protein CR6) (DNA damage-inducible transcript 2 protein) (DDIT-2),,intestinal crypt stem cell of large intestine;Sertoli cell;mesothelial cell;Leydig cell;lung secretory cell,,0.614,0.353,0.614,2850,853,-0.799,KEGG,Apoptosis,True
GZMB,,,no,ENSG00000100453,Granzyme B,Secreted,"hematopoietic cell;leukocyte;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;CD8-positive, alpha-beta thymocyte;mature alpha-beta T cell;activated CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;cytotoxic T cell;exhausted T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;ILC1, human",,0.07,0.113,0.113,325,274,0.695,KEGG,Apoptosis,False
HRAS,,,no,ENSG00000174775,GTPase HRas,Cell membrane,,,2.705,1.498,2.705,12553,3620,-0.853,KEGG,Apoptosis,True
HRK,,,no,,,,,,0.19,0.307,0.307,881,741,0.692,KEGG,Apoptosis,False
