gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,4.956,3.876,4.956,23000,9367,-0.355,KEGG,mTOR signaling pathway,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,11.782,8.423,11.782,54677,20357,-0.484,KEGG,mTOR signaling pathway,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,3.288,3.692,3.692,15260,8923,0.167,KEGG,mTOR signaling pathway,True
ATP6V1B1,,,no,ENSG00000116039,"V-type proton ATPase subunit B, kidney isoform (V-ATPase subunit B 1) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 1)",Apical cell membrane,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;ionocyte,,0.195,0.153,0.195,905,370,-0.349,KEGG,mTOR signaling pathway,False
ATP6V1H,,,no,ENSG00000047249,V-type proton ATPase subunit H (V-ATPase subunit H) (Nef-binding protein 1) (NBP1) (Protein VMA13 homolog) (V-ATPase 50/57 kDa subunits) (Vacuolar proton pump subunit H) (Vacuolar proton pump subunit SFD),Cytoplasmic vesicle,renal beta-intercalated cell;renal alpha-intercalated cell;osteoclast,,2.787,2.265,2.787,12933,5475,-0.299,KEGG,mTOR signaling pathway,True
BRAF,,,no,ENSG00000157764,Serine/threonine-protein kinase B-raf,Nucleus,,,4.781,4.622,4.781,22187,11172,-0.049,KEGG,mTOR signaling pathway,True
CHUK,,,no,ENSG00000213341,Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase),Cytoplasm,,,1.238,1.36,1.36,5747,3288,0.136,KEGG,mTOR signaling pathway,True
DEPTOR,,,no,ENSG00000155792,DEP domain-containing mTOR-interacting protein (DEP domain-containing protein 6),,kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle epithelial cell;kidney loop of Henle thin descending limb epithelial cell;skeletal muscle fiber,,2.38,1.154,2.38,11044,2788,-1.045,KEGG,mTOR signaling pathway,True
DVL1,,,no,ENSG00000107404,Segment polarity protein dishevelled homolog DVL-1 (Dishevelled-1) (DSH homolog 1),Cell membrane,,,1.725,1.266,1.725,8004,3059,-0.446,KEGG,mTOR signaling pathway,True
DVL2,,,no,ENSG00000004975,Segment polarity protein dishevelled homolog DVL-2 (Dishevelled-2) (DSH homolog 2),Cell membrane,,,4.006,3.528,4.006,18592,8526,-0.183,KEGG,mTOR signaling pathway,True
DVL3,,,no,ENSG00000161202,Segment polarity protein dishevelled homolog DVL-3 (Dishevelled-3) (DSH homolog 3),Cytoplasm,,,5.393,3.117,5.393,25028,7533,-0.791,KEGG,mTOR signaling pathway,True
EIF4E,,,no,ENSG00000151247,Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein),Cytoplasm,,,1.733,1.907,1.907,8044,4608,0.137,KEGG,mTOR signaling pathway,True
EIF4EBP1,,,no,ENSG00000187840,Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I),,endothelial cell of umbilical vein;osteoclast,,2.207,1.418,2.207,10242,3427,-0.638,KEGG,mTOR signaling pathway,False
FLCN,,,no,ENSG00000154803,Folliculin (BHD skin lesion fibrofolliculoma protein) (Birt-Hogg-Dube syndrome protein),Lysosome membrane,,,4.736,3.362,4.736,21978,8126,-0.494,KEGG,mTOR signaling pathway,True
FZD1,,,no,ENSG00000157240,Frizzled-1 (Fz-1) (hFz1) (FzE1),Cell membrane,mesangial cell,WNT;ncWNT,0.345,0.367,0.367,1599,887,0.091,KEGG,mTOR signaling pathway,True
FZD10,,,no,ENSG00000111432,Frizzled-10 (Fz-10) (hFz10) (FzE7) (CD antigen CD350),Cell membrane,,WNT;ncWNT,0.241,0.224,0.241,1117,541,-0.105,KEGG,mTOR signaling pathway,True
FZD2,,,no,,,,,,0.175,0.178,0.178,810,429,0.024,KEGG,mTOR signaling pathway,True
FZD3,,,no,ENSG00000104290,Frizzled-3 (Fz-3) (hFz3),Membrane,,WNT;ncWNT,0.911,1.12,1.12,4226,2708,0.299,KEGG,mTOR signaling pathway,True
FZD4,,,no,ENSG00000174804,Frizzled-4 (Fz-4) (hFz4) (FzE4) (CD antigen CD344),Cell membrane,white fat cell;subcutaneous fat cell,WNT;ncWNT,2.022,1.864,2.022,9382,4504,-0.117,KEGG,mTOR signaling pathway,True
FZD6,,,no,ENSG00000164930,Frizzled-6 (Fz-6) (hFz6),Membrane,basal cell of epithelium of bronchus;basal epithelial cell of tracheobronchial tree,WNT;ncWNT,1.195,0.68,1.195,5548,1644,-0.813,KEGG,mTOR signaling pathway,True
FZD9,,,no,ENSG00000188763,Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349),Cell membrane,paneth cell,WNT;ncWNT,0.077,0.065,0.077,359,156,-0.261,KEGG,mTOR signaling pathway,True
GRB2,,,no,ENSG00000177885,Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2),Nucleus,inflammatory macrophage;hematopoietic cell;leukocyte;conventional dendritic cell;intermediate monocyte,,11.697,11.184,11.697,54287,27030,-0.065,KEGG,mTOR signaling pathway,False
GSK3B,,,no,ENSG00000082701,Glycogen synthase kinase-3 beta (GSK-3 beta),Cytoplasm,brown fat cell,,1.651,1.489,1.651,7661,3598,-0.149,KEGG,mTOR signaling pathway,True
HRAS,,,no,ENSG00000174775,GTPase HRas,Cell membrane,,,2.705,1.498,2.705,12553,3620,-0.853,KEGG,mTOR signaling pathway,True
IGF1,,,no,ENSG00000017427,Insulin-like growth factor I (IGF-I) (Mechano growth factor) (MGF) (Somatomedin-C),Secreted,mesenchymal stem cell;pulmonary ionocyte;ionocyte;tracheobronchial smooth muscle cell;decidual cell;neuron;connective tissue cell;fibroblast;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle;myofibroblast cell;stromal cell;stromal cell of ovary;adventitial cell,IGF,0.799,0.571,0.799,3708,1380,-0.485,KEGG,mTOR signaling pathway,False
IGF1R,,,no,ENSG00000140443,Insulin-like growth factor 1 receptor,Cell membrane,corneal endothelial cell;pigmented epithelial cell;smooth muscle cell of sphincter of pupil,IGF,5.904,3.809,5.904,27401,9206,-0.632,KEGG,mTOR signaling pathway,False
IKBKB,,,no,ENSG00000104365,Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB),Cytoplasm,,,6.533,5.319,6.533,30318,12855,-0.297,KEGG,mTOR signaling pathway,True
INSR,,,no,ENSG00000171105,Insulin receptor (IR),Cell membrane,secondary lens fiber,,3.174,1.523,3.174,14729,3681,-1.059,KEGG,mTOR signaling pathway,True
IRS1,,,no,ENSG00000169047,Insulin receptor substrate 1 (IRS-1),,tracheobronchial smooth muscle cell,,5.473,2.255,5.473,25399,5449,-1.279,KEGG,mTOR signaling pathway,False
