gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
AIRE,,,no,ENSG00000160224,Autoimmune regulator (Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein) (APECED protein),Nucleus,medullary thymic epithelial cell,,1.029,0.641,1.029,4777,1549,-0.684,KEGG,Ubiquitin mediated proteolysis,False
ANAPC1,,,no,ENSG00000153107,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),,,,3.825,3.491,3.825,17751,8438,-0.132,KEGG,Ubiquitin mediated proteolysis,True
BIRC2,,,no,ENSG00000110330,Baculoviral IAP repeat-containing protein 2,Cytoplasm;Nucleus,,,5.748,5.06,5.748,26675,12230,-0.184,KEGG,Ubiquitin mediated proteolysis,True
BIRC7,,,no,ENSG00000101197,Baculoviral IAP repeat-containing protein 7,Nucleus,,,0.136,0.506,0.506,631,1223,1.896,KEGG,Ubiquitin mediated proteolysis,True
BRCA1,,,no,ENSG00000012048,Breast cancer type 1 susceptibility protein,Nucleus,,,0.335,0.46,0.46,1556,1111,0.455,KEGG,Ubiquitin mediated proteolysis,True
BTRC,,,no,ENSG00000166167,F-box/WD repeat-containing protein 1A (E3RSIkappaB) (Epididymis tissue protein Li 2a) (F-box and WD repeats protein beta-TrCP) (pIkappaBalpha-E3 receptor subunit),Cytoplasm,,,1.88,1.689,1.88,8727,4082,-0.155,KEGG,Ubiquitin mediated proteolysis,True
CBL,,,no,ENSG00000110395,E3 ubiquitin-protein ligase CBL,Cytoplasm;Cell membrane;Cell projection,,,3.889,2.524,3.889,18049,6099,-0.624,KEGG,Ubiquitin mediated proteolysis,True
CBLB,,,no,ENSG00000114423,E3 ubiquitin-protein ligase CBL-B,Cytoplasm,pigmented epithelial cell;podocyte;muscle precursor cell;cardiac muscle myoblast;alveolar type 2 fibroblast cell;preadipocyte;brown preadipocyte;fibro/adipogenic progenitor cell,,3.958,2.343,3.958,18370,5663,-0.756,KEGG,Ubiquitin mediated proteolysis,False
CDC20,,,no,ENSG00000117399,Cell division cycle protein 20 homolog (p55CDC),Cytoplasm,,,0.644,0.347,0.644,2990,839,-0.892,KEGG,Ubiquitin mediated proteolysis,True
CDC27,,,no,ENSG00000004897,Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC),Nucleus,enucleate erythrocyte;erythroblast,,3.214,4.181,4.181,14918,10106,0.379,KEGG,Ubiquitin mediated proteolysis,True
CDC34,,,no,ENSG00000099804,Ubiquitin-conjugating enzyme E2 R1,Cytoplasm;Nucleus,,,4.554,2.669,4.554,21136,6451,-0.771,KEGG,Ubiquitin mediated proteolysis,True
CUL1,,,no,ENSG00000055130,Cullin-1 (CUL-1),,,,6.355,4.883,6.355,29495,11802,-0.38,KEGG,Ubiquitin mediated proteolysis,True
CUL2,,,no,ENSG00000108094,Cullin-2 (CUL-2),Nucleus,,,1.119,1.119,1.119,5194,2704,-0.0,KEGG,Ubiquitin mediated proteolysis,True
CUL3,,,no,ENSG00000036257,Cullin-3 (CUL-3),Nucleus,,,4.14,3.122,4.14,19214,7546,-0.407,KEGG,Ubiquitin mediated proteolysis,True
CUL4A,,,no,ENSG00000139842,Cullin-4A (CUL-4A),,,,3.914,3.291,3.914,18163,7953,-0.25,KEGG,Ubiquitin mediated proteolysis,True
CUL4B,,,no,ENSG00000158290,Cullin-4B (CUL-4B),Cytoplasm,,,4.395,3.916,4.395,20399,9465,-0.167,KEGG,Ubiquitin mediated proteolysis,True
CUL5,,,no,ENSG00000166266,Cullin-5 (CUL-5) (Vasopressin-activated calcium-mobilizing receptor 1) (VACM-1),Nucleus,,,1.935,1.777,1.935,8981,4296,-0.123,KEGG,Ubiquitin mediated proteolysis,True
DDB1,,,no,ENSG00000167986,DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a) (DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1) (XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1) (UV-DDB 1) (XPE-binding factor) (XPE-BF) (Xeroderma pigmentosum group E-complementing protein) (XPCe),Cytoplasm,Leydig cell;placental villous trophoblast,,6.607,3.812,6.607,30662,9214,-0.793,KEGG,Ubiquitin mediated proteolysis,True
DDB2,,,no,ENSG00000134574,DNA damage-binding protein 2 (DDB p48 subunit) (DDBb) (Damage-specific DNA-binding protein 2) (UV-damaged DNA-binding protein 2) (UV-DDB 2),Nucleus,,,2.149,2.007,2.149,9974,4850,-0.099,KEGG,Ubiquitin mediated proteolysis,True
