gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABL1,,,no,ENSG00000097007,Tyrosine-protein kinase ABL1,Cytoplasm,brown preadipocyte,,4.255,3.473,4.255,19747,8394,-0.293,KEGG,Cell cycle,True
ANAPC1,,,no,ENSG00000153107,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),,,,3.825,3.491,3.825,17751,8438,-0.132,KEGG,Cell cycle,True
ATM,,,no,ENSG00000149311,Serine-protein kinase ATM,Nucleus,"central nervous system macrophage;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;mucosal invariant T cell;mature T cell",,8.935,8.097,8.935,41468,19570,-0.142,KEGG,Cell cycle,False
ATR,,,no,ENSG00000175054,Serine/threonine-protein kinase ATR,Nucleus,,,1.705,1.691,1.705,7911,4087,-0.012,KEGG,Cell cycle,True
BUB1,,,no,ENSG00000169679,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1),Nucleus;Chromosome,,,0.451,0.357,0.451,2092,862,-0.338,KEGG,Cell cycle,True
BUB1B,,,no,ENSG00000156970,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,Cytoplasm;Nucleus;Chromosome,,,0.223,0.196,0.223,1036,473,-0.19,KEGG,Cell cycle,True
CCNA1,,,no,ENSG00000133101,Cyclin-A1,Nucleus,,,0.124,0.105,0.124,574,254,-0.235,KEGG,Cell cycle,True
CCNA2,,,no,ENSG00000145386,Cyclin-A2 (Cyclin-A) (Cyclin A),Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;fraction A pre-pro B cell",,0.277,0.271,0.277,1287,655,-0.033,KEGG,Cell cycle,False
CCNB1,,,no,ENSG00000134057,G2/mitotic-specific cyclin-B1,Cytoplasm;Nucleus;Cytoplasm,enucleated reticulocyte,,0.715,0.48,0.715,3319,1160,-0.575,KEGG,Cell cycle,True
CCNB2,,,no,ENSG00000157456,G2/mitotic-specific cyclin-B2,,"double-positive, alpha-beta thymocyte;DN4 thymocyte",,0.312,0.206,0.312,1449,498,-0.6,KEGG,Cell cycle,False
CCNB3,,,no,ENSG00000147082,G2/mitotic-specific cyclin-B3,Nucleus,,,0.083,0.085,0.085,385,206,0.039,KEGG,Cell cycle,True
