gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
ACOXL,,,no,,,,,,0.285,0.287,0.287,1321,693,0.011
ACTA2,,,no,,,,,,2.811,2.156,2.811,13046,5212,-0.382
ADCY3,,,no,,,,,,8.191,4.7,8.191,38016,11359,-0.802
AFF3,,,no,,,,,,2.844,1.676,2.844,13200,4050,-0.763
ALDH1A2,,,no,,,,,,0.371,0.372,0.372,1721,899,0.004
B2M,,,no,,,,,,63.118,52.943,63.118,292926,127957,-0.254
BMF,,,no,,,,,,4.771,3.45,4.771,22142,8339,-0.468
CAMK4,,,no,,,,,,8.577,6.329,8.577,39807,15296,-0.439
CCL21,,,no,,,,,,0.79,0.616,0.79,3664,1490,-0.357
CCL5,,,no,,,,,,93.621,96.949,96.949,434488,234313,0.05
CD24,,,no,,,,,,5.321,5.001,5.321,24694,12088,-0.089
CD69,,,no,,,,,,4.95,3.819,4.95,22972,9230,-0.374
CD74,,,no,,,,,,46.075,30.027,46.075,213830,72571,-0.618
CD9,,,no,,,,,,6.846,5.546,6.846,31773,13405,-0.304
CHGA,,,no,,,,,,0.311,0.24,0.311,1444,580,-0.375
CHRNA1,,,no,,,,,,0.405,0.442,0.442,1879,1068,0.126
CHST4,,,no,,,,,,0.137,0.127,0.137,635,308,-0.103
COBL,,,no,,,,,,0.437,0.418,0.437,2026,1011,-0.062
COL6A1,,,no,,,,,,9.285,8.151,9.285,43091,19699,-0.188
COLEC11,,,no,,,,,,0.9,0.874,0.9,4175,2112,-0.042
DENND3,,,no,,,,,,4.231,2.895,4.231,19636,6996,-0.548
ENTPD3,,,no,,,,,,0.145,0.162,0.162,675,392,0.157
ETS2,,,no,,,,,,8.418,5.241,8.418,39067,12667,-0.684
FBN1,,,no,,,,,,2.489,3.625,3.625,11552,8760,0.542
FBXO27,,,no,,,,,,0.77,0.25,0.77,3572,604,-1.623
FZD2,,,no,,,,,,0.175,0.178,0.178,810,429,0.024
GC,,,no,,,,,,0.142,0.122,0.142,659,295,-0.218
GDF10,,,no,,,,,,0.159,0.206,0.206,739,498,0.372
GLIS3,,,no,,,,,,0.521,0.185,0.521,2418,447,-1.494
GNG4,,,no,,,,,,0.267,0.632,0.632,1240,1527,1.242
GPC5-AS1,,,no,,,,,,0.053,0.086,0.086,246,207,0.692
GRIA4,,,no,,,,,,0.189,0.317,0.317,879,767,0.745
HAS1,,,no,,,,,,0.034,0.058,0.058,159,141,0.768
HIVEP3,,,no,,,,,,4.512,6.648,6.648,20941,16067,0.559
HRK,,,no,,,,,,0.19,0.307,0.307,881,741,0.692
IFI6,,,no,,,,,,12.154,9.482,12.154,56407,22918,-0.358
IFITM2,,,no,,,,,,5.655,4.643,5.655,26244,11221,-0.285
IFITM3,,,no,,,,,,11.453,11.183,11.453,53151,27027,-0.034
IFNA5,,,no,,,,,,0.081,0.162,0.162,378,392,0.994
IL27RA,,,no,,,,,,4.894,4.486,4.894,22712,10842,-0.126
IL32,,,no,,,,,,4.324,5.168,5.168,20066,12491,0.257
IL7R,,,no,,,,,,27.132,10.793,27.132,125919,26085,-1.33
IRF9,,,no,,,,,,15.125,12.902,15.125,70194,31182,-0.229
ISG15,,,no,,,,,,7.171,6.29,7.171,33279,15203,-0.189
ITGB8,,,no,,,,,,1.734,1.306,1.734,8048,3156,-0.409
JAG2,,,no,,,,,,4.28,3.376,4.28,19863,8160,-0.342
KLF2,,,no,,,,,,8.001,7.005,8.001,37131,16931,-0.192
KRT1,,,no,,,,,,8.811,8.175,8.811,40889,19759,-0.108
KRT14,,,no,,,,,,11.92,8.983,11.92,55319,21712,-0.408
KRT19,,,no,,,,,,14.504,11.452,14.504,67310,27678,-0.341
LTB,,,no,,,,,,7.189,6.784,7.189,33364,16396,-0.084
LY6H,,,no,,,,,,0.153,0.055,0.153,712,132,-1.49
LYVE1,,,no,,,,,,0.29,0.245,0.29,1347,593,-0.242
MED14,,,no,,,,,,8.323,5.202,8.323,38627,12572,-0.678
MIR155HG,,,no,,,,,,1.018,0.892,1.018,4726,2157,-0.19
MT2A,,,no,,,,,,12.879,5.237,12.879,59772,12657,-1.298
NKG7,,,no,,,,,,1.222,0.837,1.222,5670,2024,-0.545
NKX6-2,,,no,,,,,,0.036,0.072,0.072,168,174,0.992
NPTXR,,,no,,,,,,0.47,0.588,0.588,2183,1421,0.322
PIAS1,,,no,,,,,,6.804,5.413,6.804,31578,13082,-0.33
PSMB10,,,no,,,,,,14.328,8.84,14.328,66497,21365,-0.697
PSMB11,,,no,,,,,,0.17,0.109,0.17,787,264,-0.635
PSMB6,,,no,,,,,,7.317,4.869,7.317,33958,11768,-0.588
PSMB7,,,no,,,,,,10.271,5.831,10.271,47669,14094,-0.817
PSMB8,,,no,,,,,,8.06,5.111,8.06,37404,12352,-0.657
