gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio,HALLMARK,REACTOME,KEGG,n_pathways
A2ML1,,,no,ENSG00000166535,Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9),Secreted,stem cell;basal cell;epithelial cell of stratum germinativum of esophagus;keratinocyte;stratified epithelial cell;epidermal cell,,2.053,1.472,9529,3557,-0.48,,,,0
AAR2,,,no,ENSG00000131043,Protein AAR2 homolog (AAR2 splicing factor homolog),,,,1.141,1.117,5297,2700,-0.031,,,,0
AARSD1,,,no,ENSG00000266967,Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1),Cytoplasm,,,1.308,1.177,6068,2844,-0.152,,,,0
ABCF3,,,no,ENSG00000161204,ATP-binding cassette sub-family F member 3,,,,2.945,2.129,13667,5146,-0.468,,,,0
ABHD11,,,no,ENSG00000106077,Protein ABHD11,,fallopian tube secretory epithelial cell,,0.67,0.372,3108,900,-0.847,,,,0
ABTB1,,,no,ENSG00000114626,Ankyrin repeat and BTB/POZ domain-containing protein 1 (Elongation factor 1A-binding protein),Cytoplasm,blood cell;granulocyte;neutrophil,,3.208,1.987,14886,4803,-0.691,,,,0
ABTB2,,,no,ENSG00000166016,Ankyrin repeat and BTB/POZ domain-containing protein 2,,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;cortical cell of adrenal gland;kidney connecting tubule epithelial cell;kidney collecting duct cell,,1.176,0.604,5459,1459,-0.962,,,,0
ACPP,,,no,ENSG00000014257,ACPP protein,,,,0.237,0.228,1102,552,-0.056,,,,0
ACTBL2,,,no,ENSG00000169067,Beta-actin-like protein 2 (Kappa-actin),Cytoplasm,,,0.042,0.095,195,229,1.173,,,,0
ACTL7A,,,no,ENSG00000187003,Actin-like protein 7A (Actin-like-7-alpha),Cytoplasm,,,0.026,0.043,121,104,0.723,,,,0
ADGRA1,,,no,ENSG00000197177,Adhesion G protein-coupled receptor A1 (G-protein coupled receptor 123),Membrane,,,0.028,0.049,130,118,0.802,,,,0
ADGRB2,,,no,ENSG00000121753,Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2),Cell membrane,,ADGRB,1.74,0.698,8076,1687,-1.318,,,,0
ADGRD2,,,no,ENSG00000180264,Adhesion G-protein coupled receptor D2 (G-protein coupled receptor 144) (G-protein coupled receptor PGR24),Membrane,ependymal cell,,0.028,0.098,128,238,1.836,,,,0
ADGRG5,,,no,ENSG00000159618,Adhesion G-protein coupled receptor G5 (G-protein coupled receptor 114) (G-protein coupled receptor PGR27),Cell membrane,,,1.067,0.6,4954,1451,-0.83,,,,0
