gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
ADAR,,,no,ENSG00000160710,Double-stranded RNA-specific adenosine deaminase (DRADA),Cytoplasm,epithelial cell;endothelial cell;endothelial cell of vascular tree;IgA plasmablast,,14.564,11.289,14.564,67589,27283,-0.368,HALLMARK,Interferon Gamma Response,False
APOL6,,,no,ENSG00000221963,Apolipoprotein L6 (Apolipoprotein L-VI) (ApoL-VI),Cytoplasm,respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell,,5.999,4.737,5.999,27842,11448,-0.341,HALLMARK,Interferon Gamma Response,False
B2M,,,no,,,,,,63.118,52.943,63.118,292926,127957,-0.254,HALLMARK,Interferon Gamma Response,False
BANK1,,,no,ENSG00000153064,B-cell scaffold protein with ankyrin repeats,,professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1b B cell;follicular B cell;germinal center B cell;mononuclear cell;lymphocyte;B cell;immature B cell;transitional stage B cell;plasma cell,,2.031,1.507,2.031,9424,3642,-0.43,HALLMARK,Interferon Gamma Response,False
CASP1,,,no,ENSG00000137752,Caspase-1 (CASP-1),Cytoplasm,"classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell;transit amplifying cell of small intestine",,2.138,2.158,2.158,9923,5215,0.013,HALLMARK,Interferon Gamma Response,False
CASP3,,,no,ENSG00000164305,Caspase-3 (CASP-3),Cytoplasm,"erythroid progenitor cell;erythroid progenitor cell, mammalian",,3.016,3.198,3.198,13998,7729,0.084,HALLMARK,Interferon Gamma Response,False
CASP7,,,no,ENSG00000165806,Caspase-7 (CASP-7),Cytoplasm,respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell,,0.798,1.029,1.029,3703,2488,0.368,HALLMARK,Interferon Gamma Response,False
CASP8,,,no,ENSG00000064012,Caspase-8 (CASP-8),Cytoplasm,"memory regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell",,3.354,2.655,3.354,15566,6418,-0.337,HALLMARK,Interferon Gamma Response,False
CCL5,,,no,,,,,,93.621,96.949,96.949,434488,234313,0.05,HALLMARK,Interferon Gamma Response,True
CCL7,,,no,ENSG00000108688,C-C motif chemokine 7 (Monocyte chemoattractant protein 3) (Monocyte chemotactic protein 3) (MCP-3) (NC28) (Small-inducible cytokine A7),Secreted,,CCL,0.055,0.091,0.091,253,220,0.74,HALLMARK,Interferon Gamma Response,True
