gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio
ABCB1,,,no,True,ENSG00000085563,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1),Cell membrane,renal principal cell;cardiac endothelial cell,,0.968,1.187,1.187,4493,2870,0.295
ABCC9,,,no,True,ENSG00000069431,ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2),Membrane,capillary endothelial cell;pancreatic PP cell;ciliary muscle cell;pericyte;mural cell,,0.776,1.155,1.155,3600,2791,0.574
ABCG2,,,no,True,ENSG00000118777,Broad substrate specificity ATP-binding cassette transporter ABCG2,Cell membrane,prostate gland microvascular endothelial cell;cerebral cortex endothelial cell,,0.227,0.145,0.227,1053,350,-0.648
ABI3BP,,,no,True,ENSG00000154175,Target of Nesh-SH3 (Tarsh) (ABI gene family member 3-binding protein) (Nesh-binding protein) (NeshBP),Secreted,non-pigmented ciliary epithelial cell;anterior lens cell;endosteal cell;lens fiber cell;secondary lens fiber;muscle cell;smooth muscle cell;fibroblast;keratocyte;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;skin fibroblast;mesothelial fibroblast;adventitial cell;fibro/adipogenic progenitor cell,,0.573,0.628,0.628,2659,1517,0.132
ACE,,,no,True,ENSG00000159640,Angiotensin-converting enzyme (ACE),Cell membrane,epithelial cell;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;columnar/cuboidal epithelial cell;lung endothelial cell;M cell of gut;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;endothelial cell;endothelial cell of vascular tree,,0.325,0.537,0.537,1507,1299,0.727
ACKR3,,,no,True,ENSG00000144476,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),Cell membrane,mesenchymal stem cell;endothelial cell of lymphatic vessel;endocardial cell;endosteal cell;surface ectodermal cell;keratocyte;fibroblast of breast;myofibroblast cell,CXCL;MIF,0.461,0.65,0.65,2141,1570,0.494
ACTA2,,,no,False,,,,,,2.811,2.156,2.811,13046,5212,-0.382
ACTN1,,,no,True,ENSG00000072110,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),Cytoplasm,myoepithelial cell;myoepithelial cell of mammary gland;retinal blood vessel endothelial cell;smooth muscle cell;smooth muscle cell of sphincter of pupil;enteric smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell,,3.927,2.79,3.927,18227,6743,-0.493
ACVRL1,,,no,True,ENSG00000139567,Serine/threonine-protein kinase receptor R3 (SKR3),Cell membrane,mesenchymal stem cell;epithelial cell;blood vessel endothelial cell;endothelial cell of umbilical vein;vasa recta descending limb cell;endothelial cell of artery;capillary endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;fibroblast of breast,BMP10,0.962,1.069,1.069,4463,2583,0.152
ADAM33,,,no,True,ENSG00000149451,Disintegrin and metalloproteinase domain-containing protein 33 (ADAM 33),Membrane,smooth muscle cell of prostate;skin fibroblast,,0.098,0.302,0.302,453,730,1.63
ADAMTS1,,,no,True,ENSG00000154734,A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1),Secreted,vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;lung microvascular endothelial cell;lung endothelial cell;muscle cell;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;smooth muscle cell of prostate;myofibroblast cell;pericyte;mural cell,,1.521,0.92,1.521,7061,2224,-0.725
ADAMTS12,,,no,True,ENSG00000151388,A disintegrin and metalloproteinase with thrombospondin motifs 12 (ADAM-TS 12) (ADAM-TS12) (ADAMTS-12),Secreted,hepatic stellate cell;alveolar type 2 fibroblast cell;kidney interstitial fibroblast;fat cell;adipocyte of breast;adipocyte of epicardial fat of left ventricle;pericyte;kidney interstitial cell,,0.242,0.331,0.331,1123,799,0.45
ADAMTS4,,,no,True,ENSG00000158859,A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta ascending limb cell;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;smooth muscle cell of prostate;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;myofibroblast cell;pericyte;mural cell,,0.111,0.139,0.139,516,335,0.318
