gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,HALLMARK,REACTOME,KEGG,n_pathways
A2ML1,,,no,True,ENSG00000166535,Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9),Secreted,stem cell;basal cell;epithelial cell of stratum germinativum of esophagus;keratinocyte;stratified epithelial cell;epidermal cell,,2.053,1.472,9529,3557,-0.48,,,,0
AAMP,,,no,True,ENSG00000127837,Angio-associated migratory cell protein,Cell membrane;Cytoplasm,pancreatic A cell,,5.934,3.543,27538,8562,-0.744,,"Hemostasis R-HSA-109582; Immune System R-HSA-168256; Innate Immune System R-HSA-168249; NOD1/2 Signaling Pathway R-HSA-168638; Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643; Platelet Activation, Signaling And Aggregation R-HSA-76002; Signal Amplification R-HSA-392518; Signal Transduction R-HSA-162582; Signaling By EGFR R-HSA-177929; Signaling By Receptor Tyrosine Kinases R-HSA-9006934; Signaling By VEGF R-HSA-194138; Thromboxane Signaling Thru TP Receptor R-HSA-428930",,12
AAR2,,,no,True,ENSG00000131043,Protein AAR2 homolog (AAR2 splicing factor homolog),,,,1.141,1.117,5297,2700,-0.031,,,,0
AARSD1,,,no,True,ENSG00000266967,Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1),Cytoplasm,,,1.308,1.177,6068,2844,-0.152,,,,0
ABAT,,,no,True,ENSG00000183044,"4-aminobutyrate aminotransferase, mitochondrial",Mitochondrion matrix,,,1.47,0.668,6822,1615,-1.137,Estrogen Response Early; p53 Pathway,"GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590; Neuronal System R-HSA-112316; Neurotransmitter Release Cycle R-HSA-112310; Transmission Across Chemical Synapses R-HSA-112315","Alanine, aspartate and glutamate metabolism; Butanoate metabolism; GABAergic synapse; Propanoate metabolism; Valine, leucine and isoleucine degradation; beta-Alanine metabolism",12
ABCA3,,,no,True,ENSG00000167972,Phospholipid-transporting ATPase ABCA3,Endosome,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;lung secretory cell,,1.981,0.957,9194,2312,-1.05,Bile Acid Metabolism; Estrogen Response Early; Estrogen Response Late,ABC Transporter Disorders R-HSA-5619084; ABC Transporters In Lipid Homeostasis R-HSA-1369062; ABC-family Proteins Mediated Transport R-HSA-382556; Disease R-HSA-1643685; Diseases Associated With Surfactant Metabolism R-HSA-5687613; Diseases Of Metabolism R-HSA-5668914; Disorders Of Transmembrane Transporters R-HSA-5619115; Metabolism Of Proteins R-HSA-392499; Surfactant Metabolism R-HSA-5683826; Transport Of Small Molecules R-HSA-382551,ABC transporters,14
ABCA7,,,no,True,ENSG00000064687,Phospholipid-transporting ATPase ABCA7,Cell membrane,extravillous trophoblast,,6.652,5.121,30872,12376,-0.377,,ABC Transporters In Lipid Homeostasis R-HSA-1369062; ABC-family Proteins Mediated Transport R-HSA-382556; Transport Of Small Molecules R-HSA-382551,ABC transporters,4
ABCB6,,,no,True,ENSG00000115657,ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6),Cell membrane,,,0.965,0.85,4478,2055,-0.182,Glycolysis; heme Metabolism,ABC Transporter Disorders R-HSA-5619084; ABC-family Proteins Mediated Transport R-HSA-382556; Disease R-HSA-1643685; Disorders Of Transmembrane Transporters R-HSA-5619115; Transport Of Small Molecules R-HSA-382551,ABC transporters,8
ABCC1,,,no,True,ENSG00000103222,Multidrug resistance-associated protein 1,Cell membrane,,,11.345,4.957,52649,11981,-1.194,Reactive Oxygen Species Pathway; UV Response Dn,"ABC-family Proteins Mediated Transport R-HSA-382556; Arachidonic Acid Metabolism R-HSA-2142753; Cellular Response To Chemical Stress R-HSA-9711123; Cellular Responses To Stimuli R-HSA-8953897; Cellular Responses To Stress R-HSA-2262752; Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741; Cytoprotection By HMOX1 R-HSA-9707564; Drug ADME R-HSA-9748784; Fatty Acid Metabolism R-HSA-8978868; Heme Degradation R-HSA-189483; Metabolism Of Lipids R-HSA-556833; Metabolism Of Porphyrins R-HSA-189445; Metabolism Of Vitamins And Cofactors R-HSA-196854; Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849; Metabolism R-HSA-1430728; Paracetamol ADME R-HSA-9753281; Synthesis Of Leukotrienes (LT) And Eoxins (EX) R-HSA-2142691; Transport Of RCbl Within Body R-HSA-9758890; Transport Of Small Molecules R-HSA-382551",ABC transporters; MicroRNAs in cancer; Sphingolipid signaling pathway; Vitamin digestion and absorption,25
ABCC12,,,no,True,ENSG00000140798,ATP-binding cassette sub-family C member 12 (Multidrug resistance-associated protein 9),Endoplasmic reticulum membrane,,,0.054,0.121,251,292,1.16,,,ABC transporters,1
ABCC2,,,no,True,ENSG00000023839,ATP-binding cassette sub-family C member 2,Apical cell membrane,hepatocyte;centrilobular region hepatocyte,,0.183,0.267,850,645,0.543,Xenobiotic Metabolism,ABC Transporter Disorders R-HSA-5619084; ABC-family Proteins Mediated Transport R-HSA-382556; Aspirin ADME R-HSA-9749641; Atorvastatin ADME R-HSA-9754706; Disease R-HSA-1643685; Disorders Of Transmembrane Transporters R-HSA-5619115; Drug ADME R-HSA-9748784; Heme Degradation R-HSA-189483; Metabolism Of Porphyrins R-HSA-189445; Metabolism R-HSA-1430728; Paracetamol ADME R-HSA-9753281; Transport Of Small Molecules R-HSA-382551,ABC transporters; Bile secretion,15
ABCC3,,,no,True,ENSG00000108846,ATP-binding cassette sub-family C member 3,Basolateral cell membrane,cholangiocyte;intrahepatic cholangiocyte;basal epithelial cell of prostatic duct;paneth cell of epithelium of small intestine;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;papillary tips cell,,0.287,0.338,1332,818,0.238,Xenobiotic Metabolism,ABC-family Proteins Mediated Transport R-HSA-382556; Aspirin ADME R-HSA-9749641; Bile Acid And Bile Salt Metabolism R-HSA-194068; Drug ADME R-HSA-9748784; Metabolism Of Lipids R-HSA-556833; Metabolism Of Steroids R-HSA-8957322; Metabolism R-HSA-1430728; Paracetamol ADME R-HSA-9753281; Recycling Of Bile Acids And Salts R-HSA-159418; Transport Of Small Molecules R-HSA-382551,ABC transporters; Bile secretion,13
ABCC6,,,no,True,ENSG00000091262,ATP-binding cassette sub-family C member 6,Basal cell membrane,hepatoblast,,0.304,0.186,1413,450,-0.71,,ABC Transporter Disorders R-HSA-5619084; ABC-family Proteins Mediated Transport R-HSA-382556; Disease R-HSA-1643685; Disorders Of Transmembrane Transporters R-HSA-5619115; Transport Of Small Molecules R-HSA-382551,ABC transporters,6
ABCC8,,,no,True,ENSG00000006071,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),Cell membrane,pancreatic endocrine cell;type B pancreatic cell;pancreatic D cell;pancreatic PP cell;glandular epithelial cell;enteroendocrine cell;PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;endocrine cell,,0.05,0.07,233,168,0.469,Pancreas Beta Cells; Pperoxisome,ABC Transporter Disorders R-HSA-5619084; Disease R-HSA-1643685; Disorders Of Transmembrane Transporters R-HSA-5619115; Integration Of Energy Metabolism R-HSA-163685; Inwardly Rectifying K+ Channels R-HSA-1296065; Metabolism R-HSA-1430728; Neuronal System R-HSA-112316; Potassium Channels R-HSA-1296071; Regulation Of Insulin Secretion R-HSA-422356,ABC transporters; Insulin secretion; Type II diabetes mellitus,14
ABCD1,,,no,True,ENSG00000101986,ATP-binding cassette sub-family D member 1,Peroxisome membrane,,,1.646,1.377,7640,3327,-0.258,Bile Acid Metabolism; Pperoxisome,ABC Transporter Disorders R-HSA-5619084; ABC Transporters In Lipid Homeostasis R-HSA-1369062; ABC-family Proteins Mediated Transport R-HSA-382556; Alpha-Linolenic (Omega3) And Linoleic (Omega6) Acid Metabolism R-HSA-2046104; Beta-oxidation Of Very Long Chain Fatty Acids R-HSA-390247; Class I Peroxisomal Membrane Protein Import R-HSA-9603798; Disease R-HSA-1643685; Disorders Of Transmembrane Transporters R-HSA-5619115; Fatty Acid Metabolism R-HSA-8978868; Linoleic Acid (LA) Metabolism R-HSA-2046105; Metabolism Of Lipids R-HSA-556833; Metabolism R-HSA-1430728; Peroxisomal Lipid Metabolism R-HSA-390918; Protein Localization R-HSA-9609507; Transport Of Small Molecules R-HSA-382551,ABC transporters; Peroxisome,19
ABCD3,,,no,True,ENSG00000117528,ATP-binding cassette sub-family D member 3,Peroxisome membrane,epithelial cell of lung;centrilobular region hepatocyte;lung secretory cell,,3.368,1.488,15631,3596,-1.179,Bile Acid Metabolism; Pperoxisome,"ABC Transporters In Lipid Homeostasis R-HSA-1369062; ABC-family Proteins Mediated Transport R-HSA-382556; Class I Peroxisomal Membrane Protein Import R-HSA-9603798; Protein Localization R-HSA-9609507; RHO GTPase Cycle R-HSA-9012999; RHOA GTPase Cycle R-HSA-8980692; RHOC GTPase Cycle R-HSA-9013106; Signal Transduction R-HSA-162582; Signaling By Rho GTPases R-HSA-194315; Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542; Transport Of Small Molecules R-HSA-382551",ABC transporters; Peroxisome,15
