gene_name,gene_id,num_codewords,num_probesets,full_name,location,cell_type,cellchat_pathway
A2ML1,ENSG00000166535,2,2,Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9),Secreted,stem cell;basal cell;epithelial cell of stratum germinativum of esophagus;keratinocyte;stratified epithelial cell;epidermal cell,
AAMP,ENSG00000127837,3,3,Angio-associated migratory cell protein,Cell membrane;Cytoplasm,pancreatic A cell,
AAR2,ENSG00000131043,3,3,Protein AAR2 homolog (AAR2 splicing factor homolog),,,
AARSD1,ENSG00000266967,3,3,Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1),Cytoplasm,,
ABAT,ENSG00000183044,3,3,"4-aminobutyrate aminotransferase, mitochondrial",Mitochondrion matrix,,
ABCA1,ENSG00000165029,3,3,Phospholipid-transporting ATPase ABCA1,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;alternatively activated macrophage;Kupffer cell;immature innate lymphoid cell;medium spiny neuron;connective tissue cell;fibroblast;hepatic stellate cell;fibroblast of lung;mesothelial fibroblast;fat cell;white fat cell;brown fat cell;epicardial adipocyte,ApoA
ABCA3,ENSG00000167972,3,3,Phospholipid-transporting ATPase ABCA3,Endosome,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;lung secretory cell,
ABCA4,ENSG00000198691,3,3,Retinal-specific phospholipid-transporting ATPase ABCA4,Membrane,pigmented ciliary epithelial cell;non-pigmented ciliary epithelial cell;small intestine goblet cell;kidney loop of Henle thin ascending limb epithelial cell;retinal pigment epithelial cell;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;retinal rod cell,
ABCA7,ENSG00000064687,3,3,Phospholipid-transporting ATPase ABCA7,Cell membrane,extravillous trophoblast,
ABCB1,ENSG00000085563,2,2,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1),Cell membrane,renal principal cell;cardiac endothelial cell,
ABCB4,ENSG00000005471,3,3,Phosphatidylcholine translocator ABCB4,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell,
ABCB6,ENSG00000115657,3,3,ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6),Cell membrane,,
ABCC1,ENSG00000103222,3,3,Multidrug resistance-associated protein 1,Cell membrane,,
ABCC12,ENSG00000140798,3,3,ATP-binding cassette sub-family C member 12 (Multidrug resistance-associated protein 9),Endoplasmic reticulum membrane,,
ABCC2,ENSG00000023839,3,3,ATP-binding cassette sub-family C member 2,Apical cell membrane,hepatocyte;centrilobular region hepatocyte,
ABCC3,ENSG00000108846,3,3,ATP-binding cassette sub-family C member 3,Basolateral cell membrane,cholangiocyte;intrahepatic cholangiocyte;basal epithelial cell of prostatic duct;paneth cell of epithelium of small intestine;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;papillary tips cell,
ABCC4,ENSG00000125257,2,2,ATP-binding cassette sub-family C member 4,Basolateral cell membrane,kidney collecting duct intercalated cell;renal intercalated cell;renal alpha-intercalated cell;luminal cell of prostate epithelium;tissue-resident macrophage;central nervous system macrophage;enucleate erythrocyte;epidermal Langerhans cell,
ABCC6,ENSG00000091262,3,3,ATP-binding cassette sub-family C member 6,Basal cell membrane,hepatoblast,
ABCC8,ENSG00000006071,3,3,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),Cell membrane,pancreatic endocrine cell;type B pancreatic cell;pancreatic D cell;pancreatic PP cell;glandular epithelial cell;enteroendocrine cell;PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;endocrine cell,
ABCC9,ENSG00000069431,2,2,ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2),Membrane,capillary endothelial cell;pancreatic PP cell;ciliary muscle cell;pericyte;mural cell,
ABCD1,ENSG00000101986,3,3,ATP-binding cassette sub-family D member 1,Peroxisome membrane,,
ABCD3,ENSG00000117528,3,3,ATP-binding cassette sub-family D member 3,Peroxisome membrane,epithelial cell of lung;centrilobular region hepatocyte;lung secretory cell,
ABCD4,ENSG00000119688,2,2,Lysosomal cobalamin transporter ABCD4,Endoplasmic reticulum membrane,,
ABCF3,ENSG00000161204,3,3,ATP-binding cassette sub-family F member 3,,,
ABCG1,ENSG00000160179,3,3,ATP-binding cassette sub-family G member 1,Endoplasmic reticulum membrane,alveolar macrophage;lung macrophage,
ABCG2,ENSG00000118777,2,2,Broad substrate specificity ATP-binding cassette transporter ABCG2,Cell membrane,prostate gland microvascular endothelial cell;cerebral cortex endothelial cell,
ABHD11,ENSG00000106077,2,2,Protein ABHD11,,fallopian tube secretory epithelial cell,
ABHD6,ENSG00000163686,3,3,Monoacylglycerol lipase ABHD6,Late endosome membrane,,
ABI3,ENSG00000108798,3,3,ABI gene family member 3 (New molecule including SH3) (Nesh),Cytoplasm,"colon macrophage;Langerhans cell;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;peripheral blood mononuclear cell;pre-conventional dendritic cell",
ABI3BP,ENSG00000154175,3,3,Target of Nesh-SH3 (Tarsh) (ABI gene family member 3-binding protein) (Nesh-binding protein) (NeshBP),Secreted,non-pigmented ciliary epithelial cell;anterior lens cell;endosteal cell;lens fiber cell;secondary lens fiber;muscle cell;smooth muscle cell;fibroblast;keratocyte;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;skin fibroblast;mesothelial fibroblast;adventitial cell;fibro/adipogenic progenitor cell,
ABL1,ENSG00000097007,3,3,Tyrosine-protein kinase ABL1,Cytoplasm,brown preadipocyte,
ABL2,ENSG00000143322,3,3,Tyrosine-protein kinase ABL2,Cytoplasm,,
ABO,ENSG00000175164,3,3,Histo-blood group ABO system transferase (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase),Golgi apparatus,,
ABTB1,ENSG00000114626,2,2,Ankyrin repeat and BTB/POZ domain-containing protein 1 (Elongation factor 1A-binding protein),Cytoplasm,blood cell;granulocyte;neutrophil,
ABTB2,ENSG00000166016,3,3,Ankyrin repeat and BTB/POZ domain-containing protein 2,,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;cortical cell of adrenal gland;kidney connecting tubule epithelial cell;kidney collecting duct cell,
ACAA2,ENSG00000167315,3,3,"3-ketoacyl-CoA thiolase, mitochondrial",Mitochondrion,intrahepatic cholangiocyte;transit amplifying cell of colon;transit amplifying cell of small intestine,
ACACA,ENSG00000278540,3,3,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,preadipocyte;brown preadipocyte;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,
ACACB,ENSG00000076555,3,3,Acetyl-CoA carboxylase 2,Mitochondrion,skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;preadipocyte;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
ACAP1,ENSG00000072818,3,3,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)",Recycling endosome membrane,"hematopoietic cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector CD4-positive, alpha-beta T cell;DN3 thymocyte;decidual natural killer cell, human;group 2 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;DN1 thymic pro-T cell",
ACAP2,ENSG00000114331,2,2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)",Endosome membrane,,
ACAT1,ENSG00000075239,3,3,"Acetyl-CoA acetyltransferase, mitochondrial",Mitochondrion,kidney collecting duct intercalated cell;renal intercalated cell,
